title,include1,include2,source,include_final
"Predicting landscape sensitivity to present and future floods in the Pacific Northwest, USA",Yes,Yes,wos,Yes
Climate change impact on the roles of temperature and precipitation in western US snowpack variability,Yes,Yes,wos,Yes
Microclimate predicts within-season distribution dynamics of montane forest birds,Yes,No,wos,Yes
The relative influences of climate and competition on tree growth along montane ecotones in the Rocky Mountains,Yes,Yes,wos,Yes
Do insect outbreaks reduce the severity of subsequent forest fires?,Yes,Yes,wos,Yes
Implications of projected climate change for groundwater recharge in the western United States,Yes,Yes,wos,Yes
The effects of climate change and extreme wildfire events on runoff erosion over a mountain watershed,Yes,Yes,wos,Yes
Testing the recent snow drought as an analog for climate warming sensitivity of Cascades snowpacks,Yes,Yes,wos,Yes
A NEW METHOD COMPARING SNOWMELT TIMING WITH ANNUAL AREA BURNED,Yes,Yes,wos,Yes
"Assessing the potential for pocket agriculture in mountainous regions: A case study in West Kootenay, British Columbia, Canada",Yes,NA,wos,Yes
Verbenone Decreases Whitebark Pine Mortaliiy Throughout a Mountain Pine Beetle Outbreak,Yes,NA,wos,Yes
Large carbon release legacy from bark beetle outbreaks across Western United States,Yes,NA,wos,Yes
Effects of temperature and precipitation on snowpack variability in the Central Rocky Mountains as a function of elevation,Yes,NA,wos,Yes
Cattle grazing in semiarid forestlands: Habitat selection during periods of drought,Yes,NA,wos,Yes
Multiscale Relationships Between Alpine Treeline Elevation and Hypothesized Environmental Controls in the Western United States,Yes,NA,wos,Yes
Stochastic Method for Examining Vulnerability of Hydropower Generation and Reservoir Operations to Climate Change: Case Study of the Dworshak Reservoir in Idaho,Yes,NA,wos,Yes
The Importance of Biologically Relevant Microclimates in Habitat Suitability Assessments,Yes,NA,wos,Yes
Forest Development and Carbon Dynamics after Mountain Pine Beetle Outbreaks,Yes,NA,wos,Yes
Relative effects of climate change and wildfires on stream temperatures: a simulation modeling approach in a Rocky Mountain watershed,Yes,NA,wos,Yes
Sensitivity of summer stream temperatures to climate variability in the Pacific Northwest,Yes,NA,wos,Yes
What is the importance of climate model bias when projecting the impacts of climate change on land surface processes?,Yes,NA,wos,Yes
"Exotic Plant Colonization and Occupancy Within Riparian Areas of the Interior Columbia River and Upper Missouri River Basins, USA",Yes,NA,wos,Yes
Changes in Snow Mass Balance in the Canadian Rocky Mountains Caused by CO2 Rise: Regional Atmosphere Model Results,Yes,NA,wos,Yes
"An Overview of the Columbia Basin Climate Change Scenarios Project: Approach, Methods, and Summary of Key Results",Yes,NA,wos,Yes
Effect of crown class and habitat type on climate-growth relationships of ponderosa pine and Douglas-fir,Yes,NA,wos,Yes
Postfire Downy Brome (Bromus tectorum) Invasion at High Elevations in Wyoming,Yes,NA,wos,Yes
Uncertainties in Hydrologic and Climate Change Impact Analyses in Headwater Basins of British Columbia,Yes,NA,wos,Yes
SECONDARY CONTROLS OF ALPINE TREELINE ELEVATIONS IN THE WESTERN USA,Yes,NA,wos,Yes
"Future Water Supply and Demand in the Okanagan Basin, British Columbia: A Scenario-Based Analysis of Multiple, Interacting Stressors",Yes,NA,wos,Yes
"Area change of glaciers in the Canadian Rocky Mountains, 1919 to 2006",Yes,NA,wos,Yes
A Landsat time series approach to characterize bark beetle and defoliator impacts on tree mortality and surface fuels in conifer forests,Yes,NA,wos,Yes
Influence of the PNA on declining mountain snowpack in the Western United States,Yes,NA,wos,Yes
Density-dependent population dynamics of mountain pine beetle in thinned and unthinned stands,Yes,NA,wos,Yes
"Effects of wildfire on stream temperatures in the Bitterroot River Basin, Montana",Yes,NA,wos,Yes
Decline of planted lodgepole pine in the southern interior of British Columbia,Yes,NA,wos,Yes
Prescribed Fire As a Means of Reducing Forest Carbon Emissions in the Western United States,Yes,NA,wos,Yes
Growth responses of three coexisting conifer species to climate across wide geographic and climate ranges in Yukon and British Columbia,Yes,NA,wos,Yes
Landsliding and Its Multiscale Influence on Mountainscapes,Yes,NA,wos,Yes
Spatial variation of snowmelt and sublimation in a high-elevation semi-desert basin of western Canada,Yes,NA,wos,Yes
"Connecting phenological predictions with population growth rates for mountain pine beetle, an outbreak insect",Yes,NA,wos,Yes
"ESTIMATING LAND COVER-INDUCED INCREASES IN DAYTIME SUMMER TEMPERATURES NEAR MT. ADAMS, WASHINGTON",Yes,NA,wos,Yes
Influence of bioclimatic variables on tree-line conifer distribution in the Greater Yellowstone Ecosystem: implications for species of conservation concern,Yes,NA,wos,Yes
"Assessing community vulnerability: A study of the mountain pine beetle outbreak in British Columbia, Canada",Yes,NA,wos,Yes
"Conifer cover increase in the greater yellowstone ecosystem: Frequency, rates, and spatial variation",Yes,NA,wos,Yes
Inbreeding and conservation genetics in whitebark pine,Yes,NA,wos,Yes
Linking observed and general circulation model upper air circulation patterns to current and future snow runoff for the Rocky Mountains,Yes,NA,wos,Yes
Pacific northwest climate sensitivity simulated by a regional climate model driven by a GCM. Part II: 2xCO(2) simulations,Yes,NA,wos,Yes
Phenology-mediated effects of climatic change on some simulated British Columbia forests,Yes,NA,wos,Yes
High-temperature tolerance of Artemisia tridentata and Potentilla gracilis under a climate change manipulation,Yes,NA,wos,Yes
AREAL EXTENT OF SEASONAL SNOW COVER IN A CHANGED CLIMATE,Yes,NA,wos,Yes
Distribution models for mountain plant species: The value of elevation,Yes,NA,wos,Yes
Projected changes in snowfall extremes and interannual variability of snowfall in the western United States,Yes,NA,wos,Yes
"Epiphytic lichen indication of nitrogen deposition and climate in the northern rocky mountains, USA",Yes,NA,wos,Yes
Recent tree mortality and recruitment in mature and old-growth forests in western Washington,Yes,NA,wos,Yes
Projections of Contemporary and Future Climate Niche for Wyoming Big Sagebrush (Artemisia tridentata subsp wyomingensis): A Guide for Restoration,Yes,NA,wos,Yes
Patterns of regional hydroclimatic shifts: An analysis of changing hydrologic regimes,Yes,NA,wos,Yes
Dietary plasticity in pikas as a strategy for atypical resource landscapes,Yes,NA,wos,Yes
Forest response to cumulative disturbance and stress: Two decades of change in whitebark pine ecosystems of west-central British Columbia,Yes,NA,wos,Yes
Modulation of linear and nonlinear hydroclimatic dynamics by mountain glaciers in Canada and Norway: Results from information-theoretic polynomial selection,Yes,NA,wos,Yes
The Missing Mountain Water: Slower Westerlies Decrease Orographic Enhancement in the Pacific Northwest USA,Yes,NA,wos,Yes
RESTORING SALMON HABITAT FOR A CHANGING CLIMATE,Yes,NA,wos,Yes
Bed stability in unconfined gravel bed mountain streams: With implications for salmon spawning viability in future climates,Yes,NA,wos,Yes
Spatial Heterogeneity in Ecologically Important Climate Variables at Coarse and Fine Scales in a High-Snow Mountain Landscape,Yes,NA,wos,Yes
Upper Thermal Tolerance of Mountain Whitefish Eggs and Fry,Yes,NA,wos,Yes
Evaluating the temperature sensitivity of radial growth patterns from whitebark pine in the western Canadian Cordillera,Yes,NA,wos,Yes
"Dynamically downscaled winter precipitation over complex terrain of the Central Rockies of Western Montana, USA",Yes,NA,wos,Yes
Using Expert Judgments to Explore Robust Alternatives for Forest Management under Climate Change,Yes,NA,wos,Yes
Impacts of climate change on August stream discharge in the Central-Rocky Mountains,Yes,NA,wos,Yes
Interactions of White Pine Blister Rust and Mountain Pine Beetle in Whitebark Pine Ecosystems in the Southern Greater Yellowstone Area,Yes,NA,wos,Yes
"Forest structure altered by mountain pine beetle outbreaks affects subsequent attack in a Wyoming lodgepole pine forest, USA",Yes,NA,wos,Yes
Unraveling driving factors for large rock-ice avalanche mobility,Yes,NA,wos,Yes
Modeling the occurrence of 15 coniferous tree species throughout the Pacific Northwest of North America using a hybrid approach of a generic process-based growth model and decision tree analysis,Yes,NA,wos,Yes
Adequacies and deficiencies of alpine and subalpine treeline studies in the national parks of the western USA,Yes,NA,wos,Yes
"Biology, Status, and Management of the Yellowstone Cutthroat Trout",Yes,NA,wos,Yes
"Influences of climate, fire, grazing, and logging on woody species composition along an elevation gradient in the eastern Cascades, Washington",Yes,NA,wos,Yes
Implications of 21st century climate change for the hydrology of Washington State,Yes,NA,wos,Yes
Future quantities and spatial distribution of harvesting residue and dead wood from natural disturbances in Canada,Yes,NA,wos,Yes
Impacts of climate change from 2000 to 2050 on wildfire activity and carbonaceous aerosol concentrations in the western United States,Yes,NA,wos,Yes
"Trace element and major ion concentrations and dynamics in glacier snow and melt: Eliot Glacier, Oregon Cascades",Yes,NA,wos,Yes
Structure and Detectability of Trends in Hydrological Measures over the Western United States,Yes,NA,wos,Yes
Groundwater dynamics mediate low-flow response to global warming in snow-dominated alpine regions,Yes,NA,wos,Yes
Global greenhouse to icehouse and back again: The origin and future of the Boreal Forest biome,Yes,NA,wos,Yes
Climate indices and mountain pine beetle-killing temperatures,Yes,NA,wos,Yes
"A 2000-YEAR ENVIRONMENTAL HISTORY OF JACKSON HOLE, WYOMING, INFERRED FROM LAKE-SEDIMENT RECORDS",Yes,NA,wos,Yes
Lakes and forests as determinants of downstream nutrient concentrations in small mountain watersheds,Yes,NA,wos,Yes
Ice thickness and topographic relief in glaciated landscapes of the western USA,Yes,NA,wos,Yes
Western Canadian glaciers advance in concert with climate change circa 4.2 ka,Yes,NA,wos,Yes
"Midge-inferred Holocene summer temperatures in Southeastern British Columbia, Canada",Yes,NA,wos,Yes
Alpine treeline of Western North America: Linking organism-to-landscape dynamics,Yes,NA,wos,Yes
"Twentieth-century trends in runoff, evapotranspiration, and soil moisture in the western United States",Yes,NA,wos,Yes
Changing temperatures influence suitability for modeled mountain pine beetle (Dendroctonus ponderosae) outbreaks in the western United States,Yes,NA,wos,Yes
"Postglacial record of diatom assemblage changes related to climate in an alpine lake in the northern Rocky Mountains, Canada",Yes,NA,wos,Yes
Twentieth-century decline in streamflows from the hydrographic apex of North America,Yes,NA,wos,Yes
Insect seasonality: circle map analysis of temperature-driven life cycles,Yes,NA,wos,Yes
Changes in snowmelt runoff timing in western North America under a 'business as usual' climate change scenario,Yes,NA,wos,Yes
Hydroclimate of the western United States based on observations and regional climate simulation of 1981-2000. part II: Mesoscale ENSO anomalies,Yes,NA,wos,Yes
Statistical precipitation downscaling over the Northwestern United States using numerically simulated precipitation as a predictor,Yes,NA,wos,Yes
Spatial varlability in water-balance model performance in the conterminous United States,Yes,NA,wos,Yes
A comparison of delta change and downscaled GCM scenarios for three mountainous basins in the United States,Yes,NA,wos,Yes
Potential climate chance impacts on mountain watersheds in the Pacific Northwest,Yes,NA,wos,Yes
Influence of late-Holocene climate on northern Rocky Mountain mammals,Yes,NA,wos,Yes
"Changes in glacier and alpine runoff in the north Cascade range, Washington, USA 1985-1993",Yes,NA,wos,Yes
Effects of N management on N2O and CH4 fluxes and N-15 - Recovery in an irrigated mountain meadow,Yes,NA,wos,Yes
CORRELATION OF LATE PLEISTOCENE GLACIATION IN THE WESTERN UNITED-STATES WITH NORTH-ATLANTIC HEINRICH EVENTS,Yes,NA,wos,Yes
EFFECT OF SIMULATED CLIMATE-CHANGE ON SNOWMELT RUNOFF MODELING IN SELECTED BASINS,Yes,NA,wos,Yes
SENSITIVITY OF PACIFIC-NORTHWEST WATER-RESOURCES TO GLOBAL WARMING,Yes,NA,wos,Yes
"Tree mortality from drought, insects, and their interactions in a changing climate",Yes,NA,wos,Yes
Contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,Yes,NA,wos,Yes
"Vegetative and climatic controls on Holocene wildfire and erosion recorded in alluvial fans of the Middle Fork Salmon River, Idaho",Yes,NA,wos,Yes
Patterns of terrestrial and limnologic development in the northern Greater Yellowstone Ecosystem (USA) during the late-glacial/early-Holocene transition,Yes,NA,wos,Yes
Baseflow recession analysis in the inland Pacific Northwest of the United States,Yes,NA,wos,Yes
The controversial management of fire in the national forests of Idaho and western Montana,Yes,NA,wos,Yes
Responses of Tree-killing Bark Beetles to a Changing Climate,Maybe,NA,wos,Maybe
"Managing for climate change on federal lands of the western United States: perceived usefulness of climate science, effectiveness of adaptation strategies, and barriers to implementation",Yes,NA,wos,Yes
"Debris flow initiation in proglacial gullies on Mount Rainier, Washington",Yes,NA,wos,Yes
Diversifying managed forests to increase resilience,Yes,NA,wos,Yes
Harvesting the dead and decaying forests: Potential carbon storage in harvested wood products,Yes,NA,wos,Yes
An Assessment of Methods and Remote-Sensing Derived Covariates for Regional Predictions of 1 km Daily Maximum Air Temperature,Yes,NA,wos,Yes
Behavior and nutritional condition buffer a large-bodied endotherm against direct and indirect effects of climate,Yes,NA,wos,Yes
Idiosyncratic responses of grizzly bear habitat to climate change based on projected food resource changes,Yes,NA,wos,Yes
"Evidence of Climate-Induced Range Contractions in Bull Trout Salvelinus confluentus in a Rocky Mountain Watershed, USA",Yes,NA,wos,Yes
"Hydrologic landscape classification evaluates streamflow vulnerability to climate change in Oregon, USA",Yes,NA,wos,Yes
Disturbance Regimes and Stressors,Yes,NA,wos,Yes
"Determinants of moth diversity and community in a temperate mountain landscape: vegetation, topography, and seasonality",Yes,NA,wos,Yes
The Uneven Response of Different Snow Measures to Human-Induced Climate Warming,Yes,NA,wos,Yes
Tree species selection revisited for plantations in the Interior Cedar Hemlock zone of southern British Columbia,Yes,NA,wos,Yes
Influence of spatial temperature estimation method in ecohydrologic modeling in the Western Oregon Cascades,Yes,NA,wos,Yes
"Climate change or climate cycles? Snowpack trends in the Olympic and Cascade Mountains, Washington, USA",Yes,NA,wos,Yes
Multi-scale Drivers of Spatial Variation in Old-Growth Forest Carbon Density Disentangled with Lidar and an Individual-Based Landscape Model,Yes,NA,wos,Yes
Climate and weather influences on spatial temporal patterns of mountain pine beetle populations in Washington and Oregon,Yes,NA,wos,Yes
Projecting future distributions of ecosystem climate niches: Uncertainties and management applications,Yes,NA,wos,Yes
Climate effects on red alder growth in the Pacific Northwest of North America,Yes,NA,wos,Yes
Spatial genetic structure of the mountain pine beetle (Dendroctonus ponderosae) outbreak in western Canada: historical patterns and contemporary dispersal,Yes,NA,wos,Yes
"Climate change impacts on spatial patterns in drought risk in the Willamette River Basin, Oregon, USA",Yes,NA,wos,Yes
What explains landscape patterns of tree mortality caused by bark beetle outbreaks in Greater Yellowstone?,Yes,NA,wos,Yes
"Simulating the effects of climate change on population connectivity of American marten (Martes americana) in the northern Rocky Mountains, USA",Yes,NA,wos,Yes
"Root architecture of riparian trees: river cut-banks provide natural hydraulic excavation, revealing that cottonwoods are facultative phreatophytes",Yes,NA,wos,Yes
Mesoscale Temperature Patterns in the Rocky Mountains and Foothills Region of Southern Alberta,Yes,NA,wos,Yes
Seasonal versus transient snow and the elevation dependence of climate sensitivity in maritime mountainous regions,Yes,NA,wos,Yes
"Is the health of British Columbia's forests being influenced by climate change? If so, was this predictable?",Yes,NA,wos,Yes
Genetic differences in the elevational limits of native and introduced Lactuca serriola populations,Yes,NA,wos,Yes
"Investigating the influence of climate, site, location, and treatment factors on damage to young lodgepole pine in southern British Columbia",Yes,NA,wos,Yes
The Sensitivity of Mountain Snowpack Accumulation to Climate Warming,Yes,NA,wos,Yes
Phylogeography of Douglas-fir based on mitochondrial and chloroplast DNA sequences: testing hypotheses from the fossil record,Yes,NA,wos,Yes
Isolation and introgression in the Intermountain West: contrasting gene genealogies reveal the complex biogeographic history of the American pika (Ochotona princeps),Yes,NA,wos,Yes
Spatial variations of effective moisture in the western United States,Yes,NA,wos,Yes
Climate-Streamflow Linkages in the North-Central Rocky Mountains: Implications for a Changing Climate,Yes,NA,wos,Yes
"Climate and wildfire area burned in western U. S. ecoprovinces, 1916-2003",Yes,NA,wos,Yes
"Holocene beaver damming, fluvial geomorphology, and climate in Yellowstone National Park, Wyoming",Yes,NA,wos,Yes
The Response of Northern Hemisphere Snow Cover to a Changing Climate,Yes,NA,wos,Yes
The effects of topography on forest soil characteristics in the Oregon Cascade Mountains (USA): Implications for the effects of climate change on soil properties,Yes,NA,wos,Yes
Attribution of Declining Western US Snowpack to Human Effects,Yes,NA,wos,Yes
Climatic influences on streamflow timing in the headwaters of the Mackenzie River Basin,Yes,NA,wos,Yes
"Growth-climate relations of lodgepole pine in the North Cascades National Park, Washington",Yes,NA,wos,Yes
Phylogeography of Iris missouriensis (Iridaceae) based on nuclear and chloroplast markers,Yes,NA,wos,Yes
Invasive pathogens at alpine treeline: Consequences for treeline dynamics,Yes,NA,wos,Yes
Natural and anthropogenic influences on the scaling of discharge with drainage area for multiple watersheds,Yes,NA,wos,Yes
Postfire logging in riparian areas,Yes,NA,wos,Yes
Stand structural dynamics of North American boreal forests,Yes,NA,wos,Yes
Organic contaminants in mountains,Yes,NA,wos,Yes
A projection of the effects of the climate change induced by increased CO2 on extreme hydrologic events in the western US,Yes,NA,wos,Yes
"Landscape patterns of sapling density, leaf area, and aboveground net primary production in postfire lodgepole pine forests, Yellowstone National Park (USA)",Yes,NA,wos,Yes
"Spring snow conditions, laying date, and clutch size in an alpine population of American Pipits",Maybe,NA,wos,Maybe
"Hydrologic regimes of forested, mountainous, headwater basins in New Hampshire, North Carolina, Oregon, and Puerto Rico",Yes,NA,wos,Yes
Potential effects on the water resources of two watersheds due to future climate change,Yes,NA,wos,Yes
"Paleoecology and its application to fire and vegetation management in Kootenay National Park, British Columbia",Yes,NA,wos,Yes
"Twentieth-century fire patterns in the Selway-Bitterroot Wilderness Area, Idaho/Montana, and the Gila/Aldo Leopold Wilderness Complex, New Mexico",Yes,NA,wos,Yes
Water resources implications of global warming: A US regional perspective,Yes,NA,wos,Yes
EFFECTS OF CLIMATE ON RADIAL GROWTH OF SUB-ALPINE CONIFERS IN THE NORTH CASCADE MOUNTAINS,Yes,NA,wos,Yes
POLICY IMPLICATIONS OF GLOBAL WARMING FOR THE NORTHWEST,Yes,NA,wos,Yes
Using CERES SYN Surface Irradiance Data as Forcing for Snowmelt Simulation in Complex Terrain,Maybe,NA,wos,Maybe
Landscape-level analysis of mountain goat population connectivity in Washington and southern British Columbia,Yes,NA,wos,Yes
A coupled hierarchical modeling approach to simulating the geomorphic response of river systems to anthropogenic climate change,Yes,NA,wos,Yes
Local Variability Mediates Vulnerability of Trout Populations to Land Use and Climate Change,Yes,NA,wos,Yes
"Summer Stream Temperatures Influence Sculpin Distributions and Spatial Partitioning in the Upper Clark Fork River Basin, Montana",Yes,NA,wos,Yes
Genetic diversity is related to climatic variation and vulnerability in threatened bull trout,Yes,NA,wos,Yes
Geographically variable response of Dendroctonus ponderosae to winter warming in the western United States,Yes,NA,wos,Yes
Projected deglaciation of western Canada in the twenty-first century,Yes,NA,wos,Yes
"A spatiotemporal pattern analysis of potential mountain pine beetle emergence in British Columbia, Canada",Yes,NA,wos,Yes
"Cascading effects of feedbacks, disease, and climate change on alpine treeline dynamics",Yes,NA,wos,Yes
Patch size but not short-term isolation influences occurrence of westslope cutthroat trout above human-made barriers,Yes,NA,wos,Yes
Landsat Time Series and Lidar as Predictors of Live and Dead Basal Area Across Five Bark Beetle-Affected Forests,Yes,NA,wos,Yes
Relative Abundance and Functional Role of Whitebark Pine at Treeline in the Northern Rocky Mountains,Yes,NA,wos,Yes
Phenology and density-dependent dispersal predict patterns of mountain pine beetle (Dendroctonus ponderosae) impact,Yes,NA,wos,Yes
Nitrogen Deposition Effects on Diatom Communities in Lakes from Three National Parks in Washington State,Yes,NA,wos,Yes
Modeling the effects of dispersal and patch size on predicted fisher (Pekania [Martes] pennanti) distribution in the US Rocky Mountains,Yes,NA,wos,Yes
Numerical simulation of the impact of sediment supply and streamflow variations on channel grain sizes and Chinook salmon habitat in mountain drainage networks,Yes,NA,wos,Yes
Variability Common to First Leaf Dates and Snowpack in the Western Conterminous United States,Yes,NA,wos,Yes
Will Future Climate Favor More Erratic Wildfires in the Western United States?,Yes,NA,wos,Yes
Increasing synchrony of high temperature and low flow in western North American streams: double trouble for coldwater biota?,Yes,NA,wos,Yes
Aquatic insect assemblages associated with subalpine stream segment types in relict glaciated headwaters,Yes,NA,wos,Yes
"Spatial variability of the response to climate change in regional groundwater systems - Examples from simulations in the Deschutes Basin, Oregon",Yes,NA,wos,Yes
Pest outbreak distribution and forest management impacts in a changing climate in British Columbia,Yes,NA,wos,Yes
Effects of Widespread Drought-Induced Aspen Mortality on Understory Plants,Yes,NA,wos,Yes
A Stochastic Conceptual Modeling Approach for Examining the Effects of Climate Change on Streamflows in Mountain Basins,Yes,NA,wos,Yes
Sensitivity of the snowcover energetics in a mountain basin to variations in climate,Yes,NA,wos,Yes
"The ecology of mixed severity fire regimes in Washington, Oregon, and Northern California",Yes,NA,wos,Yes
"Biogeochemical responses of two alpine lakes to climate change and atmospheric deposition, Jasper and Banff National parks, Canadian Rocky Mountains",Yes,NA,wos,Yes
"Climatology of winter transition days for the contiguous USA, 1951-2007",Yes,NA,wos,Yes
"Evaluating the use of a gridded climate surface for modelling groundwater recharge in a semi-arid region (Okanagan Basin, Canada)",Maybe,NA,wos,Maybe
"Climate change impacts on water management and irrigated agriculture in the Yakima River Basin, Washington, USA",Yes,NA,wos,Yes
"Implications of climate-driven variability and trends for the hydrologic assessment of the Reynolds Creek Experimental Watershed, Idaho",Yes,NA,wos,Yes
Quantifying Recent Ecological Changes in Remote Lakes of North America and Greenland Using Sediment Diatom Assemblages,Maybe,NA,wos,Maybe
"Spatial-temporal analysis of species range expansion: the case of the mountain pine beetle, Dendroctonus ponderosae",Yes,NA,wos,Yes
Freshwater Ecosystems and Resilience of Pacific Salmon: Habitat Management Based on Natural Variability,Yes,NA,wos,Yes
"Glacier change in western North America: influences on hydrology, geomorphic hazards and water quality",Maybe,NA,wos,Maybe
"Impact of climate change on north cascade alpine glaciers, and alpine runoff",Yes,NA,wos,Yes
Integrating climate change into forest management in South-Central British Columbia: An assessment of landscape vulnerability and development of a climate-smart framework,Yes,NA,wos,Yes
Spring drought regulates summer net ecosystem CO2 exchange in a sagebrush-steppe ecosystem,Maybe,NA,wos,Maybe
A tree and climate assessment tool for modelling ecosystem response to climate change,Yes,NA,wos,Yes
Analysis of the impact of snow on daily weather variability in mountainous regions using MM5,Yes,NA,wos,Yes
Influence of fire regimes on lodgepole pine stand age and density across the Yellowstone National Park (USA) landscape,Yes,NA,wos,Yes
"Long-duration drought variability and impacts on ecosystem services: A case study from Glacier National Park, Montana",Yes,NA,wos,Yes
"Atmospheric, climatic, and ecological controls on extreme wildfire years in the northwestern United States",Yes,NA,wos,Yes
Enhanced growth of sagebrush (Artemisia tridentata) in response to manipulated ecosystem warming,Maybe,NA,wos,Maybe
Post-fire aspen seedling recruitment across the Yellowstone (USA) Landscape,Yes,NA,wos,Yes
"Postglacial midge community change and Holocene palaeotemperature reconstructions near treeline, southern British Columbia (Canada)",Yes,NA,wos,Yes
"Postglacial paleoecology and inferred paleoclimate in the Engelmann spruce-subalpine fir forest of south-central British Columbia, Canada",Yes,NA,wos,Yes
Reconstruction of the surface warming history of western interior Canada from borehole temperature profiles and other climate information,Yes,NA,wos,Yes
The effect of climate change on floods in British Columbia,Yes,NA,wos,Yes
"Effects of environment and grazing disturbance on tree establishment in meadows of the central Cascade Range, Oregon, USA",Yes,NA,wos,Yes
EFFECT OF CLIMATE CHANGE ON HYDROLOGIC REGIME OF TWO CLIMATICALLY DIFFERENT WATERSHEDS,Yes,NA,wos,Yes
Thermal limits to salmonid distributions in the rocky mountain region and potential habitat loss due to global warming: A geographic information system (GIS) approach,Yes,NA,wos,Yes
The cold-water climate shield: delineating refugia for preserving salmonid fishes through the 21st century,Yes,NA,wos,Yes
Artificial amplification of warming trends across the mountains of the western United States,Yes,NA,wos,Yes
Representative regional models of post-disturbance forest carbon accumulation: Integrating inventory data and a growth and yield model,Yes,NA,wos,Yes
GRACE storage-runoff hystereses reveal the dynamics of regional watersheds,Maybe,NA,wos,Maybe
Pyrogenic carbon controls across a soil catena in the Pacific Northwest,Yes,NA,wos,Yes
"Climate change, water rights, and water supply: The case of irrigated agriculture in Idaho",Maybe,NA,wos,Maybe
"Climate, fire size, and biophysical setting control fire severity and spatial pattern in the northern Cascade Range, USA",Yes,NA,wos,Yes
Role of extreme snowfall events in interannual variability of snowfall accumulation in the western United States,Yes,NA,wos,Yes
"Periodicity of western spruce budworm in Southern British Columbia, Canada",Yes,NA,wos,Yes
"Climate, weather, and recent mountain pine beetle outbreaks in the western United States",Yes,NA,wos,Yes
Climate change and stream temperature projections in the Columbia River basin: habitat implications of spatial variation in hydrologic drivers,Yes,NA,wos,Yes
Assessing possible shifts in wildfire regimes under a changing climate in mountainous landscapes,Yes,NA,wos,Yes
Ensemble projections of wildfire activity and carbonaceous aerosol concentrations over the western United States in the mid-21st century,Yes,NA,wos,Yes
Charred forests increase snowmelt: Effects of burned woody debris and incoming solar radiation on snow ablation,Yes,NA,wos,Yes
Sensitivity of salmonid freshwater life history in western US streams to future climate conditions,Yes,NA,wos,Yes
Anticipating Stream Ecosystem Responses to Climate Change: Toward Predictions that Incorporate Effects Via Land-Water Linkages,Yes,NA,wos,Yes
History of Pacific Northwest Heat Waves: Synoptic Pattern and Trends,Yes,NA,wos,Yes
Novel genomic resources for a climate change sensitive mammal: characterization of the American pika transcriptome,Yes,NA,wos,Yes
Characterizing the Thermal Suitability of Instream Habitat for Salmonids: A Cautionary Example from the Rocky Mountains,Yes,NA,wos,Yes
Potential effects of climate change on streambed scour and risks to salmonid survival in snow-dominated mountain basins,Yes,NA,wos,Yes
Oregon Hydrologic Landscapes: A Classification Framework,Yes,NA,wos,Yes
"Glacier change of the Columbia Icefield, Canadian Rocky Mountains, 1919-2009",Yes,NA,wos,Yes
Climate and Streamflow Trends in the Columbia River Basin: Evidence for Ecological and Engineering Resilience to Climate Change,Yes,NA,wos,Yes
Landscape-scale analysis of aboveground tree carbon stocks affected by mountain pine beetles in Idaho,Yes,NA,wos,Yes
