,authors,title,journal,language,type,keywords,keywords2 (assigned by web of science),abstract,year,doi,disciplines,wos_id,Assignment Round 1,Round 1: CRB headwaters?,Round 1: Topically appropriate?,Round 1: Include?,Round 1: Geographic scale,Round 1 Notes,Round 2: Assignment,Round 2: CRB headwaters?,Round 2: Topically appropriate?,Round 2: Include?,Round 2: Geographic scale,Round 2: Notes,Round 3: Assignment,Round 3: Mountainous CRB headwaters?,Round 3: Topically appropriate? ,Round 3: Include?,Round 3: Notes,Round 4: Assignment,Round 4: Mountainous CRB headwaters?,Round 4: Topically appropriate?,Round 4: Inlude?,Round 4: Notes,Mountainous quality questionable?
1128,"Beaty, R. Matthew; Taylor, Alan H.","A 14 000 year sedimentary charcoal record of fire from the northern Sierra Nevada, Lake Tahoe Basin, California, USA",HOLOCENE,English,Article,Charcoal; climate change; Holocene; fire history; Sierra; Nevada; california,MIXED-CONIFER FOREST; YELLOWSTONE-NATIONAL-PARK; EASTERN KLAMATH MOUNTAINS; TREE-RING RECORDS; POSTGLACIAL VEGETATION; NEW-MEXICO; HISTORY; CLIMATE; HOLOCENE; REGIMES,"This research examines how the controls of fire episode frequency in the northern Sierra Nevada have varied at different temporal scales through the Holocene. A 5.5 m long sediment core was collected from Lily Pond, a similar to 2.5 ha lake in the General Creek Watershed on the west shore of Lake Tahoe in the northern Sierra Nevada in California, USA Dendrochronology was used to reconstruct the recent history of fire, and high-resolution charcoal analysis was used to reconstruct fire episodes for the last 14 000 cal. yr BP. Fire episode frequency was low during the Lateglacial period but increased through the middle Holocene to a maximum frequency around 6500 cal. yr BP. During the late Holocene fire episode frequency generally declined except for noted peaks around 3000 cal. yr BP and 1000-800 cal. yr BP. These variations track major climatic and vegetation changes driven by millennial-timescale variation in the seasonal cycle of insolation and regional decadal- and centennial-scale variation in effective moisture in the mid and late Holocene in the Sierra Nevada. tire episode frequency during the Holocene in the Lake Tahoe Basin varied in response to decadal-, centennial-and millennial-scale climatic variability Current fire episode frequency on the west shore of lake Tahoe is at one of its lowest points in at least the last 14 000 years. Given the strong relationship between climate and fire episode frequency, warming due to increased levels of greenhouse gases in the atmosphere may increase fire episode frequency to levels experienced during the 'Mediaeval Warm-Period' or the early-Holocene summer insolation maximum as periods of drought intensify.",2009,10.1177/0959683608101386,Physical Geography; Geology,WOS:000265513100001,Courtney,No,,No,,Sierra Nevada,NA,,,,,,NA,,,,,Courtney,No,Yes,No,tahoe,
1173,"Wilkie, Kenna; Clague, John J.","Fluvial response to Holocene glacier fluctuations in the Nostetuko River valley, southern Coast Mountains, British Columbia",PERIGLACIAL AND PARAGLACIAL PROCESSES AND ENVIRONMENTS,English,Proceedings Paper,,ICE-AGE; CANADIAN CORDILLERA; NEOGLACIAL HISTORY; RADIOCARBON CALIBRATION; ENVIRONMENTAL-CHANGE; WADDINGTON AREA; PROVINCIAL-PARK; LAKE-SEDIMENTS; HECTOR LAKE; RECORD,"Mountain rivers, like alpine glaciers, are sensitive indicators of climate change. Some rivers may provide a more complete record of Holocene climate change than the glaciers in their headwaters. We illustrate these points by examining the record preserved in the upper part of the alluvial fill in the Nostetuko River valley in the southern Coast Mountains, British Columbia (Canada). Glacier advances in the upper part of the watershed triggered valley-wide aggradation and complex changes in river planform. Periods when glaciers were restricted in extent coincide with periods of incision of the valley fill and floodplain stability. As many as 10 overbank aggradation units are separated by peat layers containing tree roots and stems in growth position. Twenty-five radiocarbon ages on roots, tree stems and woody plant detritus in several of the peat layers closely delimit periods of aggradation. The oldest phase of aggradation occurred about 6500 years BP and coincides with the Garibaldi Advance documented elsewhere in the southern Coast Mountains. A second phase of aggradation, recorded by several units of clastic sediment, dates to about 2500 years BP, near the peak of the middle Neoglacial Tiedemann Advance. The third phase occurred shortly after 1400 years BP during or shortly after the First Millennium Advance, which has been recently documented in coastal British Columbia and Alaska. The most recent phase of aggradation began about 800 years BP and continued until recently. It coincides with the Little Ice Age, when glaciers in the Nostetuko River basin and elsewhere in the southern Coast Mountains attained their greatest Holocene size. Several periods of peat deposition during the Little Ice Age indicate periods of floodplain stability separated by brief intervals of floodplain aggradation that coincide with Little Ice Age glacier advances in western Canada. The results imply that the west fork of Nostetuko River is sensitive to upvalley glacier fluctuations and, indirectly, to relatively minor changes in climate.",2009,10.1144/SP320.13,Physical Geography; Geology,WOS:000278010300013,Courtney,No,Yes,No,Biome/National,Coast Range BC,NA,,,,,,NA,,,,,Courtney,No,Yes,No,Coast range BC ,
1192,"Miller, W. Paul; Piechota, Thomas C.",Regional Analysis of Trend and Step Changes Observed in Hydroclimatic Variables around the Colorado River Basin,JOURNAL OF HYDROMETEOROLOGY,English,Article,,WESTERN UNITED-STATES; MOUNTAIN SNOWPACK; WATER-RESOURCES; CLIMATE-CHANGE; US STREAMFLOW; NORTH-AMERICA; PRECIPITATION; VARIABILITY; HYDROLOGY; INCREASE,"Recent research has suggested that changes in temperature and precipitation events due to climate change have had a significant impact on the availability and timing of streamflow. In this study, monthly temperature and precipitation data collected over 29 climate divisions covering the entire Colorado River basin and monthly natural flow data from 29 U. S. Geological Survey (USGS) gauge locations along the Colorado River are investigated for trend or step changes using parametric and nonparametric statistical tests. Temperature increases are persistent (at least 10 climate divisions over 6 months in trend analysis) throughout the year over the Colorado River basin, whereas precipitation only notably increased over 17 climate divisions (during trend analysis) during February and remained relatively unchanged otherwise. These results correspond with changes in naturalized streamflow throughout the year. Streamflow increases are recorded between November and February but exhibit a decreasing trend over the traditional peak runoff season (April through July). Under trend analysis, 18 flow stations exhibited increasing trends in January and 19 flow stations exhibited decreasing trends in June. It is likely that increasing temperature trends have affected the character of precipitation in the Colorado River basin, causing a change in the timing of runoff events.",2008,10.1175/2008JHM988.1,Meteorology & Atmospheric Sciences,WOS:000260012500013,Courtney,No,Yes,No,,Colorado River Basin,Paris,No,Yes,No,,CO Basin,NA,,,,,Courtney,No,Yes,No,Colorado River Basin,
1020,"Gugger, Paul F.; Sugita, Shinya",Glacial populations and postglacial migration of Douglas-fir based on fossil pollen and macrofossil evidence,QUATERNARY SCIENCE REVIEWS,English,Article,,LATE QUATERNARY VEGETATION; WISCONSIN RADIOCARBON-DATES; QUEEN-CHARLOTTE-ISLANDS; JASPER-NATIONAL-PARK; SAN-JUAN MOUNTAINS; SOUTHERN VANCOUVER-ISLAND; CANADIAN ROCKY-MOUNTAINS; SOUTHEASTERN BRITISH-COLUMBIA; LATE PLEISTOCENE VEGETATION; LATE HOLOCENE VEGETATION,"To understand how temperate forests might respond to future episodes of global warming, it is important to study the effects of large-scale climate change brought about by rapid postglacial warming. Compilations of fossil evidence have provided the best evidence of past plant range shifts, especially in eastern North America and Europe, and provide a context for interpreting new molecular datasets from modern forests. In western North America, however, such reviews have lagged even for common, widespread taxa. Here, we synthesize fossil evidence for Douglas-fir (Pseudotsuga menziesii) from nearly 550 fossil pollen, sedimentary macrofossil, and packrat midden macrofossil sites to develop hypotheses about the species' late Quaternary history that can be tested with molecular phylogeographic studies. For both the coastal and interior varieties, we identified alternative hypotheses on the number of glacial populations and postglacial migration patterns that can be characterized as single-population versus multiple-population hypotheses. Coastal Douglas-fir may have been subdivided into two populations at the Last Glacial Maximum (LGM) and colonized British Columbia from populations in Washington and Oregon. Interior Douglas-fir could have been subdivided along major topographic barriers into at least three LGM populations and colonized British Columbia and Alberta from populations in northwest Wyoming and/or northeast Utah. For both varieties, we calculated migration rates lower than previous studies, which could have been as high as 100-220 m/yr if Douglas-fir reached its modern distribution 9000 cal yr BP, or as low as 50 m/yr if it reached its modern range at present. The elevational range of populations in California and the southern Rockies shifted upslope by 700-1000 m. If there were multiple LGM populations, these elevational shifts suggest that those populations did not contribute to the colonization of Canada. Our findings emphasize the possibility of low-density northern LGM populations and that populations within species react individualistically in response to large-scale climate change. (C) 2010 Elsevier Ltd. All rights reserved.",2010,10.1016/j.quascirev.2010.04.022,Physical Geography; Geology,WOS:000280974300009,Courtney,Maybe,Yes,Yes,Biome/National,"Western US, paleoclimate, douglas fir",NA,,,,,,Paris,Yes,Yes,Yes,,Courtney,Yes,Yes,No,Too broad- global analysis,
1111,"Seidel, Thomas M.; Weihrauch, Douglas M.; Kimball, Kenneth D.; Pszenny, Alexander A. P.; Soboleski, Rita; Crete, Elena; Murray, Georgia","Evidence of Climate Change Declines with Elevation Based on Temperature and Snow Records from 1930s to 2006 on Mount Washington, New Hampshire, USA",ARCTIC ANTARCTIC AND ALPINE RESEARCH,English,Article,,EARLY SPRING MICROCLIMATE; NEW-ENGLAND; AIR-TEMPERATURE; MINIMUM TEMPERATURES; NORTHERN-HEMISPHERE; PRESIDENTIAL RANGE; PLANT-COMMUNITIES; WHITE MOUNTAINS; UNITED-STATES; FOREST CANOPY,"Mount Washington, New Hampshire, has the longest northeastern U.S. mountain climatological record (1930s to present), both at the summit (1914 m) and at Pinkham Notch (612 in). Pinkham's homogenized daily temperature exhibits annual (mean = +0.07 degrees C/decade, p = 0.07 min +0.11 degrees C/decade, p = 0.01), winter (min = +0.18 degrees C/decade, p = 0.07), spring (max +0.13 degrees C/decade, p = 0.10), and summer (min = +0.11 degrees C/decade, p = 0.01) warming trends. Though suggesting annual, winter, and spring warming (0.05 to 0.12 degrees C/decade), mean summit temperature trends were not significant. Pinkham shows no significant change in date of first and last snow, however, the summit does but its period of record is shorter. Onset of continuous snow cover has not changed significantly at either site. Thawing degree days trended earlier at the summit (2.8 days/decade; p = 0.01) and Pinkham Notch (1.6 days/decade, p < 0.01), but end of continuous snow cover trended significantly earlier (1.6 days/decade; p = 0.02) only at Pinkham. Growing degree days showed no significant trends at either location. Pinkham exhibits more climatic change than the summit but less than regional lower elevations. Thermal inversions and high incidence of cloud fog commonly at or above the regional atmospheric boundary layer may explain the summit's resistance to climate warming. Caution is needed when extrapolating climate change trends from other Mountains or proximate lower elevation climate data to upper elevations.",2009,10.1657/1938-4246-41.3.362,Environmental Sciences & Ecology; Physical Geography,WOS:000269019100009,Courtney,No,,No,,Mount Washington New Hampshire,NA,,,,,,NA,,,,,Courtney,,,No,eastern US,
849,"Briles, Christy E.; Whitlock, Cathy; Meltzer, David J.","Last glacial-interglacial environments in the southern Rocky Mountains, USA and implications for Younger Dryas-age human occupation",QUATERNARY RESEARCH,English,Article,Last glacial-interglacial transition; Younger Dryas Chronozone; Vegetation and fire history; Abrupt climate change; Folsom-age Paleoindians,SAN-JUAN MOUNTAINS; EASTERN NORTH-AMERICA; MIXED-CONIFER FOREST; LATE-PLEISTOCENE; MILLENNIAL-SCALE; LATE QUATERNARY; MODERN POLLEN; FIRE-HISTORY; NEW-MEXICO; KLAMATH MOUNTAINS,"The last glacial-interglacial transition (LGIT; 19-9 ka) was characterized by rapid climate changes and significant ecosystem reorganizations worldwide. In western Colorado, one of the coldest locations in the continental US today, mountain environments during the late-glacial period are poorly known. Yet, archaeological evidence from the Mountaineer site (2625 m elev.) indicates that Folsom-age Paleoindians were over-wintering in the Gunnison Basin during the Younger Dryas Chronozone (YDC; 12.9-11.7 ka). To determine the vegetation and fire history during the LGIT, and possible explanations for occupation during a period thought to be harsher than today, a 17-ka-old sediment core from Lily Pond (3208 m elev.) was analyzed for pollen and charcoal and compared with other high-resolution records from the southern Rocky Mountains. Widespread tundra and Picea parkland and low fire activity in the cold wet late-glacial period transitioned to open subalpine forest and increased fire activity in the Belling-Allerod period as conditions became warmer and drier. During the YDC, greater winter snowpack than today and prolonged wet springs likely expanded subalpine forest to lower elevations than today, providing construction material and fuel for the early inhabitants. In the early to middle Holocene, arid conditions resulted in xerophytic vegetation and frequent fire. (C) 2011 University of Washington. Published by Elsevier Inc. All rights reserved.",2012,10.1016/j.yqres.2011.10.002,Physical Geography; Geology,WOS:000299242600010,Danny,No,Yes,No,Ecosystem/Municipal,Klamath,NA,,,,,,NA,,,,,Courtney,No,,No,Colorado,
860,"Das, Tapash; Dettinger, Michael D.; Cayan, Daniel R.; Hidalgo, Hugo G.",Potential increase in floods in California's Sierra Nevada under future climate projections,CLIMATIC CHANGE,English,Article,,WESTERN UNITED-STATES; NORTH-AMERICA; ATMOSPHERIC RIVERS; CHANGE SCENARIOS; PRECIPITATION; HYDROLOGY; IMPACTS; TEMPERATURE; TRENDS; MODEL,"California's mountainous topography, exposure to occasional heavily moisture-laden storm systems, and varied communities and infrastructures in low lying areas make it highly vulnerable to floods. An important question facing the state-in terms of protecting the public and formulating water management responses to climate change-is ""how might future climate changes affect flood characteristics in California?"" To help address this, we simulate floods on the western slopes of the Sierra Nevada Mountains, the state's primary catchment, based on downscaled daily precipitation and temperature projections from three General Circulation Models (GCMs). These climate projections are fed into the Variable Infiltration Capacity (VIC) hydrologic model, and the VIC-simulated streamflows and hydrologic conditions, from historical and from projected climate change runs, allow us to evaluate possible changes in annual maximum 3-day flood magnitudes and frequencies of floods. By the end of the 21st Century, all projections yield larger-than-historical floods, for both the Northern Sierra Nevada (NSN) and for the Southern Sierra Nevada (SSN). The increases in flood magnitude are statistically significant (at p <= 0.01) for all the three GCMs in the period 2051-2099. The frequency of flood events above selected historical thresholds also increases under projections from CNRM CM3 and NCAR PCM1 climate models, while under the third scenario, GFDL CM2.1, frequencies remain constant or decline slightly, owing to an overall drying trend. These increases appear to derive jointly from increases in heavy precipitation amount, storm frequencies, and days with more precipitation falling as rain and less as snow. Increases in antecedent winter soil moisture also play a role in some areas. Thus, a complex, as-yet unpredictable interplay of several different climatic influences threatens to cause increased flood hazards in California's complex western Sierra landscapes.",2011,10.1007/s10584-011-0298-z,Environmental Sciences & Ecology; Meteorology & Atmospheric Sciences,WOS:000298757300004,Danny,No,Yes,No,Ecosystem/Municipal,Sierra Nevada of CA,NA,,,,,,NA,,,,,Courtney,No,,No,"SN, California",
885,"Laabs, Benjamin J. C.; Marchetti, David W.; Munroe, Jeffrey S.; Refsnider, Kurt A.; Gosse, John C.; Lips, Elliott W.; Becker, Richard A.; Mickelson, David M.; Singer, Brad S.","Chronology of latest Pleistocene mountain glaciation in the western Wasatch Mountains, Utah, USA",QUATERNARY RESEARCH,English,Article,Mountain glaciation; Great Basin; Wasatch Mountains; Lake Bonneville; Cosmogenic exposure dating,EQUILIBRIUM-LINE ALTITUDES; SITU COSMOGENIC NUCLIDES; UINTA MOUNTAINS; LAKE BONNEVILLE; LAST DEGLACIATION; UNITED-STATES; PRODUCTION-RATES; CLIMATE-CHANGE; GREAT-BASIN; MAXIMUM,"Understanding the timing of mountain glacier and paleolake expansion and retraction in the Great Basin region of the western United States has important implications for regional-scale climate change during the last Pleistocene glaciation. The relative timing of mountain glacier maxima and the well-studied Lake Bonneville highstand has been unclear, however, owing to poor chronological limits on glacial deposits. Here, this problem is addressed by applying terrestrial cosmogenic Be-10 exposure dating to a classic set of terminal moraines in Little Cottonwood and American Fork Canyons in the western Wasatch Mountains. The exposure ages indicate that the main phase of deglaciation began at 15.7 +/- 1.3 ka in both canyons. This update to the glacial chronology of the western Wasatch Mountains can be reconciled with previous stratigraphic observations of glacial and paleolake deposits in this area, and indicates that the start of deglaciation occurred during or at the end of the Lake Bonneville hydrologic maximum. The glacial chronology reported here is consistent with the growing body of data suggesting that mountain glaciers in the western U.S. began retreating as many as 4 ka after the start of northern hemisphere deglaciation (at ca. 19 ka). (C) 2011 University of Washington. Published by Elsevier Inc. All rights reserved.",2011,10.1016/j.yqres.2011.06.016,Physical Geography; Geology,WOS:000294532700011,Danny,No,Yes,No,Ecosystem/Municipal,"Western Wasatch, UT",NA,,,,,,NA,,,,,Courtney,No,Yes,No,Great Basin,
910,"Rasmussen, Roy; Liu, Changhai; Ikeda, Kyoko; Gochis, David; Yates, David; Chen, Fei; Tewari, Mukul; Barlage, Michael; Dudhia, Jimy; Yu, Wei; Miller, Kathleen; Arsenault, Kristi; Grubisic, Vanda; Thompson, Greg; Gutmann, Ethan",High-Resolution Coupled Climate Runoff Simulations of Seasonal Snowfall over Colorado: A Process Study of Current and Warmer Climate,JOURNAL OF CLIMATE,English,Article,,WESTERN UNITED-STATES; ASSIMILATION SYSTEM NLDAS; TELEMETRY SNOTEL DATA; GREENLAND ICE-SHEET; WATER EQUIVALENT; STORM TRACKS; MODEL; PRECIPITATION; SNOWPACK; PARAMETERIZATION,"Climate change is expected to accelerate the hydrologic cycle, increase the fraction of precipitation that is rain, and enhance snowpack melting. The enhanced hydrological cycle is also expected to increase snowfall amounts due to increased moisture availability. These processes are examined in this paper in the Colorado Headwaters region through the use of a coupled high-resolution climate-runoff model. Four high-resolution simulations of annual snowfall over Colorado are conducted. The simulations are verified using Snowpack Telemetry (SNOTEL) data. Results are then presented regarding the grid spacing needed for appropriate simulation of snowfall. Finally, climate sensitivity is explored using a pseudo-global warming approach. The results show that the proper spatial and temporal depiction of snowfall adequate for water resource and climate change purposes can be achieved with the appropriate choice of model grid spacing and parameterizations. The pseudo-global warming simulations indicate enhanced snowfall on the order of 10%-25% over the Colorado Headwaters region, with the enhancement being less in the core headwaters region due to the topographic reduction of precipitation upstream of the region (rain-shadow effect). The main climate change impacts are in the enhanced melting at the lower-elevation bound of the snowpack and the increased snowfall at higher elevations. The changes in peak snow mass are generally near zero due to these two compensating effects, and simulated wintertime total runoff is above current levels. The 1 April snow water equivalent (SWE) is reduced by 25% in the warmer climate, and the date of maximum SWE occurs 2-17 days prior to current climate results, consistent with previous studies.",2011,10.1175/2010JCLI3985.1,Meteorology & Atmospheric Sciences,WOS:000291585800008,Danny,No,Yes,No,Landscape/State-Province,Colorado,NA,,,,,,NA,,,,,Courtney,No,,No,Colorado River,
913,"Poulsen, Christopher J.; Jeffery, M. Louise",Climate change imprinting on stable isotopic compositions of high-elevation meteoric water cloaks past surface elevations of major orogens,GEOLOGY,English,Article,,SIERRA-NEVADA; PALEOALTIMETRY; PRECIPITATION; PALEOELEVATION; SIMULATION; PALEOGENE; MODEL,"Stable isotope paleoaltimetry has been widely used to estimate Cenozoic surface elevation of major orogens. The influence of global climate change on stable isotope paleoaltimetry is uncertain, with proposals that warming could cause either overestimates or underestimates of past surface elevations. In this study we increase atmospheric pCO(2) by two and four times in an isotope-tracking atmospheric general circulation model to investigate the effect of global warming on oxygen isotopic compositions of precipitation (delta O-18(p)) over the continents. As in other climate models, the response in the GENESIS version 3 model to global warming is an amplification of upper troposphere temperatures through enhanced infrared absorption and a reduction in the surface to upper-level temperature gradient. Due to the temperature dependence of isotopic fractionation, vapor delta O-18 (delta O-18(v)) follows suit, leading to a reduction in the surface to upper troposphere delta O-18(v) gradient. In regions of subsidence, including the major orogens and deserts, downward mixing of O-18-enriched vapor from the troposphere to the near surface further reduces the lapse rate of delta O-18(v). As a consequence of these effects, the isotopic composition of precipitation in high-elevation regions, including the Tibetan Plateau, Rocky Mountains, European Alps, and Andean Plateau, increases by 3%-6% relative to that at low elevations. Neglect of this climate effect on high-elevation delta O-18(p) has likely led to underestimates of the surface elevation of Cenozoic orogens.",2011,10.1130/G32052.1,Geology,WOS:000291096300021,Danny,No,Yes,No,Landscape/State-Province,Colorado,NA,,,,,,NA,,,,,Courtney,No,,No,Big Mtn Ranges globally,
920,"Dobrowski, Solomon Z.; Thorne, James H.; Greenberg, Jonathan A.; Safford, Hugh D.; Mynsberge, Alison R.; Crimmins, Shawn M.; Swanson, Alan K.","Modeling plant ranges over 75 years of climate change in California, USA: temporal transferability and species traits",ECOLOGICAL MONOGRAPHS,English,Article,California; climate change; endemism; fire adaptation; forecasting; hindcasting; historical data; species distribution models (SDM); species traits; transferability; Vegetation Type Map (VTM),HABITAT DISTRIBUTION MODELS; SAMPLE SELECTION BIAS; WESTERN UNITED-STATES; FUNCTIONAL TRAITS; SOUTHERN CALIFORNIA; DISPERSAL CAPACITY; ENVELOPE MODELS; POTENTIAL RANGE; DISTRIBUTIONS; PREDICTION,"Species distribution model (SDM) projections under future climate scenarios are increasingly being used to inform resource management and conservation strategies. A critical assumption for projecting climate change responses is that SDMs are transferable through time, an assumption that is largely untested because investigators often lack temporally independent data for assessing transferability. Further, understanding how the ecology of species influences temporal transferability is critical yet almost wholly lacking. This raises two questions. (1) Are SDM projections transferable in time? (2) Does temporal transferability relate to species ecological traits? To address these questions we developed SDMs for 133 vascular plant species using data from the mountain ranges of California (USA) from two time periods: the 1930s and the present day. We forecast historical models over 75 years of measured climate change and assessed their projections against current distributions. Similarly, we hindcast contemporary models and compared their projections to historical data. We quantified transferability and related it to species ecological traits including physiognomy, endemism, dispersal capacity, fire adaptation, and commonness. We found that non-endemic species with greater dispersal capacity, intermediate levels of prevalence, and little fire adaptation had higher transferability than endemic species with limited dispersal capacity that rely on fire for reproduction. We demonstrate that variability in model performance was driven principally by differences among species as compared to model algorithms or time period of model calibration. Further, our results suggest that the traits correlated with prediction accuracy in a single time period may not be related to transferability between time periods. Our findings provide a priori guidance for the suitability of SDM as an approach for forecasting climate change responses for certain taxa.",NA,,,,Danny,No,Yes,No,Landscape/State-Province,SoCal,NA,,,,,,NA,,,,,Courtney,No,,No,CA,
931,"Franklin, Janet; Bergman, Erin","Patterns of pine regeneration following a large, severe wildfire in the mountains of southern California",CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,English,Article,,MIXED-CONIFER FORESTS; WESTERN UNITED-STATES; HIGH-INTENSITY FIRE; CASCADE MOUNTAINS; SEED-DISPERSAL; CLIMATE-CHANGE; SIERRA-NEVADA; JEFFREY PINE; LANDSCAPE; USA,"We examined establishment patterns of pines following a large, severe wildfire in the Peninsular Ranges of southern California, USA. The October 2003 Cedar Fire caused 98% pine mortality. In this study, we asked (i) where did seedlings establish and survive in formerly forested areas of the Cuyamaca Mountains 5 years following the high severity fire and (ii) what factors were associated with the spatial pattern of seedling establishment? Factors analyzed were pre-fire vegetation type, fire severity, post-fire vegetation characteristics, topography (slope, aspect, and elevation), and mapped soil type. We used a unique belt-transect survey method following the existing trail network that resulted in a representative sample of post-fire environments. Almost 1300 100 m x 20 m quadrats were searched in 2008-2009, one third of which supported juvenile pines. Regeneration primarily consisted of Coulter pine (Pinus coulteri D. Don), a weakly serotinous pine that was establishing at densities of 5-2320/ha on half of the quadrats where it had occurred pre-fire. Pinus coulteri regenerated in areas burned at high severity where pre-fire pine cover was high and its abundance was positively associated with higher elevation and cover of bare soil. In contrast, minimal regeneration of nonserotinous pines occurred patchily in areas that were not severely burned.",2011,10.1139/X11-024,Forestry,WOS:000291185700014,Danny,No,No,No,Landscape/State-Province,SoCal,NA,,,,,,NA,,,,,Courtney,No,,No,CA,
980,"Paces, James B.; Neymark, Leonid A.; Whelan, Joseph F.; Wooden, Joseph L.; Lund, Steven P.; Marshall, Brian D.","Limited hydrologic response to Pleistocene climate change in deep vadose zones - Yucca Mountain, Nevada",EARTH AND PLANETARY SCIENCE LETTERS,English,Article,vadose zone; paleohydrogeology; paleoclimate; U-series dating; secondary ion mass spectrometry; Yucca Mountain,PAST INFILTRATION FLUXES; SECONDARY MINERAL RECORD; TOPOPAH SPRING TUFF; UNSATURATED-ZONE; VIABLE METHODOLOGY; CENTRAL TEXAS; DEATH-VALLEY; CRATER FLAT; DEVILS-HOLE; CALCITE,"Understanding the movement of water through thick vadose zones, especially on time scales encompassing long-term climate change, is increasingly important as societies utilize semi-arid environments for both water resources and sites viewed as favorable for long-term disposal or storage of hazardous waste. Hydrologic responses to Pleistocene climate change within a deep vadose zone in the eastern Mojave Desert at Yucca Mountain, Nevada, were evaluated by uranium-series dating of finely layered hyalitic opal using secondary ion mass spectrometry. Opal is present within cm-thick secondary hydrogenic mineral crusts coating floors of lithophysal cavities in fractured volcanic rocks at depths of 200 to 300 m below land surface. Uranium concentrations in opal fluctuate systematically between 5 and 550 mu g/g. Age-calibrated profiles of uranium concentration correlate with regional climate records over the last 300,000 years and produce time-series spectral peaks that have distinct periodicities of 100- and 41-ka, consistent with planetary orbital parameters. These results indicate that the chemical compositions of percolating solutions varied in response to near-surface, climate-driven processes. However, slow (micrometers per thousand years), relatively uniform growth rates of secondary opal and calcite deposition spanning several glacial-interglacial climate cycles imply that water fluxes in the deep vadose zone remained low and generally buffered from the large fluctuations in available surface moisture during different climates. Published by Elsevier B.V.",2010,10.1016/j.epsl.2010.10.006,Geochemistry & Geophysics,WOS:000286284600011,Danny,No,Yes,No,Ecosystem/Municipal,"Yucca Mtns, NV",NA,,,,,,NA,,,,,Courtney,No,,No,Nevada,
982,"Fernandez Calzado, Ma Rosa; Molero Mesa, Joaquin",Vegetation biodiversity in the cryoromediterranean belt of Sierra Nevada,ACTA BOTANICA GALLICA,English,Article,vegetation; high mountain; bioindicators; plant associations; climate change,,"Some of the results from the Digital cartography of the cryoromediterranean vegetation to scale 1:10000 are shown in this paper. It was done on the extension of 8788.6 ha and includes the cryoromediterranean and a part of the oromediterranean belt. The first one represents a territorial domain with an extension of 3875.7 ha and its limits range between 2750 m, in the northern and western zones, and 3290 m, in the southern and oriental zones. We have realised that mainly through the study of the distribution in climatophilous plant associations, which have served as references to draw the line that frames the current cryoromediterranean conditions. In this respect, we gathered data about the area that each association occupied and some additional information.",2010,,Plant Sciences,WOS:000285855600005,Danny,No,Yes,No,Ecosystem/Municipal,sierra Nevada,Danny,No,Yes,No,Ecosystem/Municipal,Sierra Nevada,NA,,,,,Courtney,No,,No,CA,
