reviewer,title,paper_id,inclusion_IAM,extent,location,biome,discipline,concerns,notes1,notes2,projected,observed,new_data,huc6,topic
AM,RESTORING SALMON HABITAT FOR A CHANGING CLIMATE,122,adaptation,pacific northwest,Columbia River Basin,freshwater: streams and rivers,biology/ecology,NA,NA,This might be interesting to cite as a paper that reviews a bunch of literature on climate change impacts on salmon in the CRB and then discusses adaptation options/planning. Relevant as (1) the utility of a review paper with our geographic scope and (2) climate impacts on salmon,NA,NA,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","temperature, streamflow/stream forecasting, water quality, water quantity, salmon/anadromous fish, aquatic habitat, aquatic habitat, management, salmon/anadromous fish, aquatic habitat"
PE,Bed stability in unconfined gravel bed mountain streams: With implications for salmon spawning viability in future climates,123,impacts,100 - 1500 km2,"44.4493483,-115.2399903",freshwater: streams and rivers,hydrology,NA,NA,NA,no,no,yes,0602,"streamflow/stream forecasting, water quality, salmon/anadromous fish, aquatic habitat, aquatic habitat, water quantity"
AM,Spatial Heterogeneity in Ecologically Important Climate Variables at Coarse and Fine Scales in a High-Snow Mountain Landscape,124,impacts,100 - 1500 km2,"46.8467306,-121.7821029","alpine/tundra, forest: temperate",biology/ecology,A little hard to tell whether Mt Rainier drains into Middle or Lower Columbia,NA,NA,no,no,yes,"0200, 0701","temperature, snow, species range shifts, forest ecology, soils, precipitation"
MF,"Dynamically downscaled winter precipitation over complex terrain of the Central Rockies of Western Montana, USA",126,impacts,40000 km2 - PNW,"45.5121725,-113.3491844",n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",NA,NA,NA,no,no,no,"0102, 0602, 0603","precipitation, snow"
CMC,Using Expert Judgments to Explore Robust Alternatives for Forest Management under Climate Change,127,adaptation,western us,British Columbia,forest: temperate,policy or management,NA,NA,NA,no,yes,yes,"kooteney, okanagan, columbia","temperature, precipitation, species invasion, species range shifts, wildfire, timber production/silviculture, forest ecology, community resilience, attitudes and beliefs, policy, management, pests and disease"
CMC,Impacts of climate change on August stream discharge in the Central-Rocky Mountains,128,impacts,40000 km2 - PNW,"Idaho, British Columbia, Montana",freshwater: streams and rivers,hydrology,NA,"Importantly,nostudieshaveattemptedtodeterminetheextenttowhichclimaticchangesare affecting August stream discharge in the CRMs",NA,no,yes,no,"0101, 0102, 0103, 0401, 0402, 0501, 0601, 0602, 0603","precipitation, snow, streamflow/stream forecasting, water quantity, salmon/anadromous fish, aquatic habitat, aquatic habitat"
MF,Modeling the occurrence of 15 coniferous tree species throughout the Pacific Northwest of North America using a hybrid approach of a generic process-based growth model and decision tree analysis,132,impacts,western us,Columbia River Basin,forest: temperate,forestry,NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, water quantity, species range shifts, timber production/silviculture, forest ecology, management"
DH,Adequacies and deficiencies of alpine and subalpine treeline studies in the national parks of the western USA,133,impacts,western us,Western United States,forest: temperate,forestry,NA,NA,NA,yes,yes,no,"0102, 0200, 0300, 0401","temperature, precipitation, snow, glaciers, streamflow/stream forecasting, water quantity, species range shifts, timber production/silviculture, forest ecology, agriculture, community resilience, attitudes and beliefs, soils, policy, management"
MF,"Biology, Status, and Management of the Yellowstone Cutthroat Trout",134,impacts,western us,NA,"forest: temperate, freshwater: streams and rivers",biology/ecology,NA,NA,NA,no,no,no,0401,"non-anadromous fish, aquatic habitat, management"
MF,"Influences of climate, fire, grazing, and logging on woody species composition along an elevation gradient in the eastern Cascades, Washington",135,impacts,100 - 1500 km2,"47.2395716,-120.3158659","forest: temperate, desert: semi-arid desert",forestry,NA,NA,NA,no,yes,yes,"0200, 0300","wildfire, timber production/silviculture, forest ecology, dendrochronology, management, other, land use/land cover, temperature, precipitation, species range shifts"
AM,Implications of 21st century climate change for the hydrology of Washington State,136,impacts,40000 km2 - PNW,Columbia River Basin,"alpine/tundra, grassland: temperate, forest: temperate, freshwater: streams and rivers",hydrology,NA,NA,"""April 1 SWE is projected to decrease by an average of approximately 28–30% across the State by the 2020s, 38–46% by the 2040s and 56–70% by the 2080s, based on the composite changes in temperature and precipitation described by Mote and Salathé (2010). Soil moisture is projected to be in the 38th to 43rd percentile by the 2020s, 35th to 40th percentile by the 2040s, and 32nd to 35th percentile by the 2080s, with 50% being equal to mean historical values.""",yes,no,yes,"0102, 0103, 0200, 0300, 0502, 0601, 0701, 0702, 0800","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils"
CMC,Impacts of climate change from 2000 to 2050 on wildfire activity and carbonaceous aerosol concentrations in the western United States,138,impacts,western us,NA,forest: temperate,meteorology and climatology,NA,"Despite these efforts to predict the effect of future climate on wildfires, there have not been studies of the impact of these future wildfires on air quality. In this paper we predict how wildfires in the western United States will respond to changes in climate between the present day and 2050 and evaluate the impacts on aerosol air qualit",NA,yes,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, wildfire, management, carbon cycle, pollutants, wildfire, forest ecology, management"
CMC,Coupled daily streamﬂow and water temperature modelling in large river basins,14,impacts,40000 km2 - PNW,NA,n/a (not biome specific or all biomes - see codebook),hydrology,big global modeling effort. Interesting for comparing the CRB to other areas around the world.,NA,NA,no,no,NA,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","streamflow/stream forecasting, water quality, aquatic habitat"
PE,Lakes and forests as determinants of downstream nutrient concentrations in small mountain watersheds,140,impacts,100 - 1500 km2,"44.0559305,-115.0861919","forest: temperate, freshwater: ponds and lakes, freshwater: streams and rivers","hydrology, biology/ecology",NA,NA,NA,no,no,yes,0602,"water quality, forest ecology, aquatic habitat"
CMC,"Alpine Treeline of Western North America: Linking Organism-To-Landscape Dynamics
",144,impacts,western us,Western United States,"alpine/tundra, forest: temperate",biology/ecology,This paper is an important review paper to be aware of in our analysis,"Our purpose here is to examine the processes that link treeline to local and regional controls, and so improve our expectations for their response to climate change.",This article is the outcome of a workshop sponsored by the USGS Western Mountain Initiative,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, streamflow/stream forecasting, species range shifts, timber production/silviculture, forest ecology, attitudes and beliefs, microclimates"
AM,"Twentieth-century trends in runoff, evapotranspiration, and soil moisture in the western United States",145,impacts,western us,Western United States,n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils"
PE,Changing temperatures influence suitability for modeled mountain pine beetle (Dendroctonus ponderosae) outbreaks in the western United States,146,impacts,western us,Western United States,forest: temperate,biology/ecology,NA,NA,NA,yes,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, pests and disease, species range shifts, forest ecology"
CMC,Twentieth-century decline in streamflows from the hydrographic apex of North America,148,impacts,40000 km2 - PNW,free flowing rivers starting at the triple divide,n/a (not biome specific or all biomes - see codebook),hydrology,"The focus of the study is the Missouri River, but several data points and some of the analysis focuses on the Columbia. Mostly because the research is trying to analyze changes in streamflow in free flowing rivers.",NA,"cite for: scarce data in mountainous environments, stream flows as surrogates for precipitation in data scarce mountain environments.",no,yes,no,"0101, 0102, 0200, 0401, 0701, kooteney, columbia, okanagan","streamflow/stream forecasting, water quantity, management"
CMC,Insect seasonality: circle map analysis of temperature-driven life cycles,149,impacts,1500 - 25000 km2,"48.7333217,-120.8079693; 43.914002,-114.8791449",forest: temperate,biology/ecology,NA,NA,NA,no,no,yes,"0402, 0602","temperature, pests and disease, forest ecology, entomology"
AM,"Evaluating the use of a gridded climate surface for modelling groundwater recharge in a semi-arid region (Okanagan Basin, Canada)",15,impacts,1 - 100 km2,"50.2815808,-119.3460014",forest: temperate,meteorology and climatology,NA,NA,NA,no,no,no,okanagan,"temperature, precipitation, groundwater, water quantity, soils, streamflow/stream forecasting"
CMC,Changes in snowmelt runoff timing in western North America under a 'business as usual' climate change scenario,150,impacts,western us,Western United States,n/a (not biome specific or all biomes - see codebook),meteorology and climatology,A lot of moving pieces to the data collection. Large scale study. Selected freshwater biome because it is a stream forecasting study,"justification for looking at spatial variability: The timing of snowmelt runoff in rivers of western North America is not only a function of latitude, but is also strongly dependent on the local climatic and physiographic setting of each watershed. 2. The greatest Central Timing trends have occurred in the Paciﬁc Northwest, Canada, Alaska, and the mountain plateaus of Washington, Oregon, and western Idaho",NA,yes,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quality, water quantity, management"
CMC,Hydroclimate of the western United States based on observations and regional climate simulation of 1981-2000. part II: Mesoscale ENSO anomalies,151,impacts,western us,Western United States,n/a (not biome specific or all biomes - see codebook),meteorology and climatology,broad western US climate overview,NA,"Good paper to cite for leading paper on mesoscale climate effects and orographic influences. ""Although much of the climate variations in the western United States are captured at the larger scales, the effects of topography are not negligible. Most notably, the largest dry anomalies during El Nin˜o years in the Northwest are found on the windward side of the Cascades and the northern Rockies. The rest of the PNW region typically shows very small anomalies except on the lee side of the mountains (e.g., northeast of the
Olympic Mountains and the Cascades) where regions of positive anomalies are often found instead"" p. 1917",no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, streamflow/stream forecasting, management"
CMC,"Statistical Precipitation Downscaling over the Northwestern United States Using Numerically Simulated Precipitation as a Predictor*
",152,impacts,pacific northwest,Columbia River Basin,n/a (not biome specific or all biomes - see codebook),meteorology and climatology,GCM downscaling methods paper. Not particularly relevant,NA,NA,no,yes,no,"0103, 0200, 0300, 0501, 0502, 0601, 0701, 0702, 0703, 0800, 0900","temperature, precipitation"
CMC,A comparison of delta change and downscaled GCM scenarios for three mountainous basins in the United States,154,impacts,1500 - 25000 km2,"46.751324,-123.436635","forest: temperate, freshwater: streams and rivers",meteorology and climatology,three areas in the western us were modeled. One of the areas in the CRB (Cle Elum),Paper is focused on downscaling climate models to consider streamflow in mountainous watersheds.,NA,yes,no,no,0300,"temperature, precipitation, streamflow/stream forecasting, snow"
AM,Potential climate chance impacts on mountain watersheds in the Pacific Northwest,155,impacts,40000 km2 - PNW,"48.389574,-113.6945857; 46.9713584,-121.4872337","forest: temperate, freshwater: streams and rivers","meteorology and climatology, hydrology",NA,NA,Stands out as an older (1999) paper that was probably a leader in its time - downscaled climate model --> hydrology model --> identifies importance of regional variability in climate impacts.,yes,no,no,"0102, 0300","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, policy"
AM,"Changes in glacier and alpine runoff in the north Cascade range, Washington, USA 1985-1993",157,impacts,1500 - 2500 km2,"48.1119322,-121.1307951",alpine/tundra,hydrology,NA,NA,NA,no,yes,no,0200,"temperature, precipitation, snow, glaciers, streamflow/stream forecasting, lacustrine systems, water quantity"
CMC,"Tree mortality from drought, insects, and their interactions in a changing climate",162,impacts,western us,Western United States,forest: temperate,biology/ecology,Nicely written review on beetles and drought. A hard one to stop reading.,"Forest mortality can have manifold
consequences for biodiversity, ecosystem function and services, and
feedbacks to climate change through biophysical effects and loss of
carbon sinks (Adams et al., 2010; Anderegg et al., 2013).",NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, streamflow/stream forecasting, species invasion, pests and disease, species range shifts, drought, snow, wildfire, timber production/silviculture, forest ecology, soils, policy, management"
MF,Contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,impacts,1500 - 2500 km2,"45.4705264,-117.8528051","forest: temperate, grassland: temperate",biology/ecology,NA,NA,NA,no,no,yes,"0502, 0601","species invasion, species range shifts, forest ecology, temperature, precipitation, soils, management"
CMC,The controversial management of fire in the national forests of Idaho and western Montana,167,adaptation,40000 km2 - PNW,"Idaho, Montana",forest: temperate,forestry,Sort of a weird review paper. Questions reflected in next cell.,"In ponderosa pine–Douglas-fir forests of the montane zone, how have fire regimes evolved and contributed to shape these forests? Why and how have fire management and associated methods evolved? To what extent are the objectives and results of the USFS’s management practices consistent with existing scientific opinions?
",NA,no,no,no,"0101, 0102, 0401, 0402, 0501, 0502, 0601, 0602, 0603","temperature, precipitation, wildfire, forest ecology, policy, management"
AM,"Managing for climate change on federal lands of the western United States: perceived usefulness of climate science, effectiveness of adaptation strategies, and barriers to implementation",168,adaptation,40000 km2 - PNW,Idaho and Montana,forest: temperate,policy or management,NA,"Looks at how relevant climate science is for USFS managers via interviews - might be a relevant paper to talk about in intro or dicussion. In general, seems like managers have trouble findings climate science useful.",NA,NA,NA,yes,"0101, 0102, 0401, 0402, 0501, 0502, 0601, 0602, 0603","timber production/silviculture, attitudes and beliefs, policy, management, forest ecology"
CMC,"Debris flow initiation in proglacial gullies on Mount Rainier, Washington",169,impacts,100 - 1500 km2,"46.8523056,-121.7778325",alpine/tundra,geology,NA,NA,NA,no,no,yes,"0200, 0800","glaciers, streamflow/stream forecasting, river geomorphology and restoration, forest ecology, geomorphology, temperature, precipitation, snow, glaciers, water quality, community resilience, management"
AM,Diversifying managed forests to increase resilience,170,adaptation,1500 - 25000 km2,"49.4148277,-120.5345231",forest: temperate,forestry,NA,NA,NA,NA,NA,no,okanagan,"temperature, precipitation, pests and disease, species range shifts, timber production/silviculture, forest ecology, management"
CMC,An Assessment of Methods and Remote-Sensing Derived Covariates for Regional Predictions of 1 km Daily Maximum Air Temperature,172,impacts,100 - 1500 km2,Oregon,"alpine/tundra, grassland: temperate, forest: temperate, desert: semi-arid desert",meteorology and climatology,"Great paper, so clearly a geography paper.",Global Historical Climatology Network assembled by the National Oceanic and Atmospheric Administration,NA,no,no,no,"0200, 0501, 0502, 0601, 0701, 0702, 0703, 0800, 0900","temperature, precipitation, snow, agriculture"
CMC,Behavior and nutritional condition buffer a large-bodied endotherm against direct and indirect effects of climate,173,impacts,100 - 1500 km2,"Starkey; 45.130, -118.31 and  INL; 43.400, -112.410","forest: temperate, desert: semi-arid desert, grassland: temperate",biology/ecology,Comparative study of two distinct sites in the CRB,NA,NA,no,no,yes,"0402, 0601","temperature, terrestrial wildlife, terrestrial wildlife, species range shifts"
AM,Idiosyncratic responses of grizzly bear habitat to climate change based on projected food resource changes,174,impacts,40000 km2 - PNW,"50.4350248,-125.7946621","alpine/tundra, grassland: temperate, forest: temperate",biology/ecology,NA,NA,NA,yes,no,no,"kooteney, columbia","temperature, precipitation, terrestrial wildlife, forest ecology, species range shifts"
CMC,"Evidence of Climate-Induced Range Contractions in Bull Trout Salvelinus conflentus in a Rocky Mountain Watershed, U.S.A.",175,impacts,100 - 1500 km2,"45.825158, -113.981747",freshwater: streams and rivers,biology/ecology,"****I think this study might be just out of the basin. Our objective was to compare site-scale abandonment and colonization probabilities to determine whether they differed and if they were associated with landscape features such as wildfire occurrence and severity, habitat attributes including gradient, width, large wood, temperature, and elevation, and biotic variables such as proximity to strongholds of migratory adults and brook trout presence.","The northern Rocky Mountains, U.S.A. is undergoing climatemediated shifts e.g., reduced annual snowpack, earlier annual peak snowmelt, and winter precipitation switching from snow to rain, that are contributing to changes in hydrologic and thermal regimes [12], [13], [14]. Summer water temperatures have increased up to 0.3uC/decade [15] and summer base flows are declining [16].",NA,no,yes,yes,0102,"temperature, snow, water quality, non-anadromous fish, aquatic habitat, species range shifts, streamflow/stream forecasting"
AM,"Hydrologic landscape classification evaluates streamflow vulnerability to climate change in Oregon, USA",176,impacts,40000 km2 - PNW,Oregon,freshwater: streams and rivers,hydrology,NA,NA,NA,yes,no,no,"0200, 0501, 0502, 0601, 0701, 0702, 0703, 0900","temperature, precipitation, snow, streamflow/stream forecasting, salmon/anadromous fish, aquatic habitat, aquatic habitat, other"
CMC,"Determinants of moth diversity and community in a temperate mountain landscape: vegetation, topography, and seasonality",178,impacts,100 - 1500 km2,"44.230320, -122.179438",forest: temperate,biology/ecology,NA,NA,"High-elevation communities are threatened by contraction of montane meadows and climate change which, given the variability in high-elevation communities, could severely impact the biological diversity of the western Cascades landscape",no,no,yes,0900,"temperature, precipitation, terrestrial wildlife, species range shifts, forest ecology, snow, streamflow/stream forecasting, management"
CMC,The Uneven Response of Different Snow Measures to Human-Induced Climate Warming,179,impacts,western us,Western United States,n/a (not biome specific or all biomes - see codebook),meteorology and climatology,NA,Relevant broad overview for our work as it is focused on mountain climate across the western US,"we regionally average the snow data into the eight mountain ranges shown in Fig. 1. In mountainous regions, different locations can have very different climatological snow accumulation",yes,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, water quantity"
AM,"Glacier change in western North America: influences on hydrology, geomorphic hazards and water quality",18,impacts,western us,Western United States,alpine tundra,hydrology,NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","temperature, precipitation, glaciers, streamflow/stream forecasting, water quality, water quantity, aquatic habitat, natural disasters"
MF,Tree species selection revisited for plantations in the Interior Cedar Hemlock zone of southern British Columbia,180,adaptation,40000 km2 - PNW,British Columbia,forest: temperate,forestry,NA,NA,NA,no,no,yes,columbia,"pests and disease, species range shifts, timber production/silviculture, forest ecology, management"
AM,Influence of spatial temperature estimation method in ecohydrologic modeling in the Western Oregon Cascades,181,impacts,100 - 1500 km2,HJ Andrew Experimental Forest,forest: temperate,"biology/ecology, hydrology",NA,NA,NA,no,no,no,0900,"temperature, streamflow/stream forecasting, water quantity, forest ecology, carbon cycle"
CMC,"Climate change or climate cycles? Snowpack trends in the Olympic and Cascade Mountains, Washington, USA",182,impacts,1500 - 2500 km2,"Washington, Oregon","alpine/tundra, forest: temperate",hydrology,"We used intervention analysis to determine whether snow water equivalent (SWE) in 25 long-term snow courses within the Olympic and Cascade
Mountains are more accurately described by OLS (to represent gradual change), stationary (to represent no change), or step-stationary (to represent climate cycling) models.","There are 95 official NRCS snow courses in Washington; 25 of these are located in the western side of the state (i.e., the Olympic or Cascade Mountains) that have been sampled annually for the 1 April reporting date for at least 40 years and have a period of record that extends at least up until the mid-2000s or later. Mostly outside of basin.",NA,no,yes,no,"0200, 0300, 0701, 0702, 0703","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, management"
AM,Multi-scale Drivers of Spatial Variation in Old-Growth Forest Carbon Density Disentangled with Lidar and an Individual-Based Landscape Model,183,mitigation,100 - 1500 km2,"44.2331797,-122.1936856",forest: temperate,"forestry, biology/ecology",NA,NA,NA,NA,NA,no,0900,"forest ecology, carbon cycle, carbon cycle, other"
AM,Climate and weather influences on spatial temporal patterns of mountain pine beetle populations in Washington and Oregon,184,impacts,40000 km2 - PNW,"Washington, Oregon",forest: temperate,biology/ecology,NA,NA,NA,no,no,no,"0103, 0200, 0300, 0501, 0502, 0601, 0701, 0702, 0703, 0800, 0900","temperature, precipitation, pests and disease, species range shifts, timber production/silviculture, forest ecology, management"
AM,Projecting future distributions of ecosystem climate niches: Uncertainties and management applications,185,impacts,pacific northwest,British Columbia,"alpine/tundra, grassland: temperate, forest: temperate, forest: boreal (n of 50 degrees), freshwater: ponds and lakes, freshwater: wetlands, freshwater: streams and rivers",forestry,NA,NA,NA,yes,no,no,"kooteney, okanagan, columbia","temperature, precipitation, snow, glaciers, streamflow/stream forecasting, terrestrial wildlife, species range shifts, timber production/silviculture, community resilience, attitudes and beliefs, policy, management"
