Timestamp,Your Name,Title of paper: please copy-paste from the spreadsheet.,"Paper ID: in column ""final_id""","Is this paper in the Columbia River Basin, and does it primarily address climate change impacts, adaptation, or mitigation? If the answer is ""None of these,"" leave the rest of the answers blank.","Does this study make a quantitative estimate of climate change impacts on natural or human systems in the future? (equivalent to ""projected impacts"").","Does this study identify an environmental change or trend and discuss its attribution to  climate change? (equivalent to ""observed impacts."" This requires multiple decades of data.)",In what biome(s) is this research conducted?,What is the spatial extent (size of study area) of data in this paper?,"Select at least one option every time. Which HUC 6 watershed(s) did the study take place? IF it includes a whole state select the state, IF it includes ALL of the watersheds within the CRB select the appropriate box (US. vs. Canada vs. both). IF it is all of one state and part of another, select the whole state and then select the individual HUC6s from the other state. See codebook.","Enter place name and GPS points if they are easily identifiable (e.g., study includes point data). Separate multiple points with a semi-colon. See codebook for format details. Example: Wallowa Mountains; 45.180 , -117.480; Yellowstone National Park; 44.584418,-111.0758737",What type of data was used in this study?,What discipline(s) does this study address? (Check multiple boxes for interdisciplinary).,What topics does this study address?,List concerns or uncertainty when coding this paper.,Copy and paste or summarize content related to our research questions.,Copy and paste or summarize content related to research in mountainous environments.,Was new data collected for this study?
4/12/2018 13:47:55,MF,"Glacier change of the Columbia Icefield, Canadian Rocky Mountains, 1919-2009",285,Impacts,No,No,Alpine/tundra,"100 km2 - 10,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2, COUNTY)",Columbia (Canada),"46.735751,-117.0095872",NA,Hydrology,Glaciers,NA,NA,NA,No
7/11/2018 15:16:58,sh,climate and streamflow trends in the columbia river basin: evidence for ecological and engineering resilience to climate change,286,Impacts,No,Yes,Freshwater: streams and rivers,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)","0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s), 0401 - Snake headwaters (Yellowstone NP and Tetons NP), 0402 - Upper Snake, 0501 - Middle Snake - Boise (Reynolds Cr. Exp. WS., Dry Cr. Exp. WS.), 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon (includes Bitterroot Mt.s), 0900 - Willamette (HJ Andrews Experimental Forest)",This study includes a case study map with more than 5 study locations over large extent,NA,"Meteorology and Climatology, Hydrology, Policy or management","Precipitation, Streamflow/stream forecasting, Community resilience (human), Policy, Management",NA,NA,NA,No
6/19/2018 16:06:04,PE,Climate and Streamflow Trends in the Columbia River Basin: Evidence for Ecological and Engineering Resilience to Climate Change,286,Not able to access paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/12/2018 13:58:07,MF,Climate and Streamflow Trends in the Columbia River Basin: Evidence for Ecological and Engineering Resilience to Climate Change,286,Impacts,No,Yes,N/A (not biome specific or all biomes - see codebook),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)","0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s), 0200 - Upper Columbia, 0402 - Upper Snake, 0501 - Middle Snake - Boise (Mica Creek Exp. For.), 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon (includes Bitterroot Mt.s), 0900 - Willamette (HJ Andrews Experimental Forest)",This study includes a case study map with more than 5 study locations over large extent,NA,"Meteorology and Climatology, Hydrology","Temperature, Precipitation, Streamflow/stream forecasting",NA,NA,NA,No
5/3/2018 11:09:32,AM,Landscape-scale analysis of aboveground tree carbon stocks affected by mountain pine beetles in Idaho,287,Impacts,No,No,Forest: temperate,1-100 km2 (HUC 12 is 100 km2),0602 - Salmon (includes Bitterroot Mt.s),"44.3, -115.1",NA,"Forestry, Ecology","Pests and disease, Forest Ecology, Aboveground carbon in forest",NA,NA,NA,Yes
4/12/2018 14:11:59,MF,Landscape-scale analysis of aboveground tree carbon stocks affected by mountain pine beetles in Idaho,287,Impacts,No,No,Forest: temperate,1-100 km2 (HUC 12 is 100 km2),0602 - Salmon (includes Bitterroot Mt.s),"44.3,-115.1021887",NA,Forestry,"Pests and disease, Carbon sequestration; remote sensing",NA,NA,NA,No
4/12/2018 17:25:59,MF,"Climatic, landform, microtopographic, and overstory canopy controls of tree invasion in a subalpine meadow landscape, Oregon Cascades, USA",288,Impacts,No,Yes,Forest: temperate,1-100 km2 (HUC 12 is 100 km2),0900 - Willamette (HJ Andrews Experimental Forest),"Jefferson Park, OR; 44.6889305,-121.8345545",NA,Ecology,"Temperature, Precipitation, Snow, Species Invasion, Forest Ecology",NA,NA,NA,Yes
4/11/2018 22:18:33,TL,"Climatic, landform, microtopographic, and overstory canopy controls of tree invasion in a subalpine meadow landscape, Oregon Cascades, USA",288,Impacts,No,Yes,Forest: temperate,Point or plot scale,0900 - Willamette (HJ Andrews Experimental Forest),"Central Cascades, OR; 44.70, -121.80",NA,Ecology,"Temperature, Precipitation, Snow, Species Invasion, Forest Ecology, Soils",site is subalpine meadow-tundra alpine not really appropriate;,"From Discussion: ""We propose that regional climate in the form of snow strongly influences temporal patterns of tree invasion in this system, while snow depth mediated by micro-topography and overstory vegetation within the land-scape context of larger landforms shapes the spatial patterns of tree invasion, resulting in complex tree invasion responses to climate over time.""","From abstract: ""The importance of snow, uncertain climate change impacts on snow, and mediation of snow by interacting and context depen-dent factors in complex mountain terrain poses substantial hurdles for understanding how these eco-tones may respond to future climate conditions.""",Yes
7/5/2018 9:22:11,CC,"Perspectives on Climate Change, Mountain Hydrology, and Water Resources in the Oregon Cascades, USA",289,Impacts,No,Yes,N/A (not biome specific or all biomes - see codebook),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)",All in CRB U.S. (if this is selected then do NOT select the states as well),NA/Not appropriate for point data,NA,Meteorology and Climatology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quality, Water quantity, Aquatic habitat, Terrestrial wildlife, Community resilience (human), Policy, Management",Envision framework; this is definitely worth revisiting in our analysis,NA,NA,No
4/12/2018 17:38:50,MF,"Perspectives on Climate Change, Mountain Hydrology, and Water Resources in the Oregon Cascades, USA",289,Adaptation,No,Yes,Forest: temperate,"10,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",0900 - Willamette (HJ Andrews Experimental Forest),"Willamette River; 44.8324362,-124.0572886",NA,"Hydrology, Anthropology/sociology","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity, Community resilience (human), Attitudes and Beliefs, Soils, Policy, Management",NA,NA,NA,No
6/8/2018 6:41:17,SH,Modeling Interannual Variability in Snow-Cover Development and Melt for a Semiarid Mountain Catchment,290,Impacts,No,Yes,Forest: temperate,Point or plot scale,"0501 - Middle Snake - Boise (Reynolds Cr. Exp. WS., Dry Cr. Exp. WS.)","43.238183,-116.8531865",NA,Hydrology,"Precipitation, Soils",NA,NA,NA,Yes
4/13/2018 10:48:50,MF,Modeling Interannual Variability in Snow-Cover Development and Melt for a Semiarid Mountain Catchment,290,Impacts,No,Yes,"Forest: temperate, Desert: semi-arid desert",1-100 km2 (HUC 12 is 100 km2),0501 - Middle Snake - Boise (Mica Creek Exp. For.),"Reynolds Creek Experimental Watershed; 43.238183,-116.8531838",NA,Hydrology,"Precipitation, Snow, Streamflow/stream forecasting, Water quantity",NA,NA,NA,No
4/13/2018 10:48:35,MF,Modeling Interannual Variability in Snow-Cover Development and Melt for a Semiarid Mountain Catchment,290,Impacts,No,Yes,"Forest: temperate, Desert: semi-arid desert",1-100 km2 (HUC 12 is 100 km2),0501 - Middle Snake - Boise (Mica Creek Exp. For.),"Reynolds Creek Experimental Watershed; 43.238183,-116.8531838",NA,Hydrology,"Precipitation, Snow, Streamflow/stream forecasting, Water quantity",NA,NA,NA,No
4/13/2018 10:47:21,MF,Modeling Interannual Variability in Snow-Cover Development and Melt for a Semiarid Mountain Catchment,290,Impacts,No,Yes,"Forest: temperate, Desert: semi-arid desert",1-100 km2 (HUC 12 is 100 km2),0501 - Middle Snake - Boise (Mica Creek Exp. For.),"Reynolds Creek Experimental Watershed; 43.238183,-116.8531838",NA,Hydrology,"Precipitation, Snow, Streamflow/stream forecasting, Water quantity",NA,NA,NA,No
6/14/2018 21:27:57,PE,Small soil storage capacity limits benefit of winter snowpack to upland vegetation,291,Impacts,No,No,Desert: semi-arid desert,1-100 km2 (HUC 12 is 100 km2),"0501 - Middle Snake - Boise (Reynolds Cr. Exp. WS., Dry Cr. Exp. WS.)","43.7302497,-116.3217026",NA,Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity, Soils",NA,NA,NA,Yes
4/13/2018 10:57:58,MF,Small soil storage capacity limits benefit of winter snowpack to upland vegetation,291,Impacts,No,No,"Forest: temperate, Desert: semi-arid desert",1-100 km2 (HUC 12 is 100 km2),"0501 - Middle Snake - Boise (Reynolds Cr. Exp. WS., Dry Cr. Exp. WS.)","Dry Creek Experimental Watershed; 43.7302536,-116.8469864",NA,"Hydrology, Geology","Precipitation, Snow, River geomorphology and restoration, Groundwater, Water quantity, Soils",NA,NA,NA,Yes
5/3/2018 12:16:10,AM,"Estimates of future flow, including extremes, of the Columbia River headwaters",292,Impacts,Yes,Yes,N/A (not biome specific or all biomes - see codebook),"1,500 km2 - 25,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2)",Columbia (Canada),"Donald, BC; 51.5053566,-117.2075727",NA,Hydrology,"Temperature, Precipitation, Snow, Glaciers, Streamflow/stream forecasting, Water quality, Soils",NA,NA,"""We ﬁnd evidence that the projected changes are elevation dependent and relatively small scale, with decreasing signals with higher elevations. All models project a shift of the hydrograph toward a more rain-fed regime, with peak ﬂows occurring in June instead of July. Annual peak ﬂow is projected to not increase, and August low ﬂow decreases in all four models. With nonshrinking (static) glaciers, relatively high melting rates are simulated for August andSeptember that partly compensate for the shifted hydrograph; this enhanced glacier melt is also detected in simulated historic Columbia headwater ﬂow.""",No
4/13/2018 11:06:13,MF,"Estimates of future flow, including extremes, of the Columbia River headwaters",292,Impacts,Yes,Yes,"Alpine/tundra, Forest: temperate",1-100 km2 (HUC 12 is 100 km2),Columbia (Canada),"Golden, BC; 51.2983193,-116.9985933",NA,Hydrology,"Temperature, Precipitation, Snow, Glaciers, Streamflow/stream forecasting",NA,NA,NA,No
5/21/2018 14:04:55,AM,Changes in Spring Snowpack for Selected Basins in the United States for Different Climate-Change Scenarios,293,Impacts,Yes,No,N/A (not biome specific or all biomes - see codebook),Western US and/or Western US plus Canada,"0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s), 0300 - Yakima","Study includes one case study point in the CRB and many others across the country or international, Naches River; 46.8046512,-121.0946584; South Fork Flathead River; 48.3635597,-114.0859032",NA,"Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity",NA,NA,NA,No
4/13/2018 11:17:52,MF,Changes in Spring Snowpack for Selected Basins in the United States for Different Climate-Change Scenarios,293,Impacts,Yes,Yes,N/A (not biome specific or all biomes - see codebook),1-100 km2 (HUC 12 is 100 km2),"0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s), 0300 - Yakima",Study includes one case study point in the CRB and many others across the country or international,NA,Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity","This option: ""Study includes one case study point in the CRB and many others across the country or international"" maybe should be moved to spatial extent?",NA,NA,No
7/5/2018 14:09:26,CC,"Climate determines upper, but not lower, altitudinal range limits of Pacific Northwest conifers",294,Impacts,No,No,Forest: temperate,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",0800 - Lower Columbia (Southeast Mount Rainier),"Southern Mount Rainier; 46.752838, -121.756632",NA,Forestry,"Temperature, Precipitation, Snow, Species range shifts, Forest Ecology, Dendrochronology",NA,considers an attitudinal gradient,NA,Yes
7/5/2018 10:49:40,AM,"Climate determines upper, but not lower, altitudinal range limits of Pacific Northwest conifers",294,Impacts,No,No,Forest: temperate,1-100 km2 (HUC 12 is 100 km2),0800 - Lower Columbia (Southeast Mount Rainier),"Mount Rainier; 46.8306779,-121.7523357",NA,Ecology,"Temperature, Precipitation, Species range shifts, Forest Ecology, Dendrochronology",NA,NA,"Climate constrains growth at treeline, will be more difficult to predict climate impacts within forests (due to more biotic interactions).",Yes
4/13/2018 11:26:42,MF,"Climate determines upper, but not lower, altitudinal range limits of Pacific Northwest conifers",294,Impacts,No,Yes,Forest: temperate,1-100 km2 (HUC 12 is 100 km2),0800 - Lower Columbia (Southeast Mount Rainier),"Stevens Creek Mount Rainier; 46.7296641,-121.7044504",NA,Forestry,"Temperature, Precipitation, Snow, Species range shifts, Forest Ecology, Dendrochronology",Is about tree adaptation,NA,NA,Yes
6/8/2018 6:53:43,SH,"Influences of the biophysical environment on blister rust and mountain pine beetle, and their interactions, in whitebark pine forests",295,Impacts,No,Yes,Forest: temperate,Point or plot scale,"All Idaho, All Oregon",NA,NA,Forestry,"Temperature, Precipitation, Pests and disease, Forest Ecology",NA,NA,NA,Yes
4/13/2018 11:52:03,MF,"Influences of the biophysical environment on blister rust and mountain pine beetle, and their interactions, in whitebark pine forests",295,Impacts,No,No,Forest: temperate,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)","0601 - Lower Snake, 0602 - Salmon (includes Bitterroot Mt.s), 0703 - Deschutes",This study includes a case study map with more than 5 study locations over large extent,NA,"Forestry, Ecology","Pests and disease, Forest Ecology, Dendrochronology",NA,NA,NA,Yes
6/14/2018 21:55:07,PE,Modeling the Effects of Developmental Variation on Insect Phenology,296,Impacts,No,No,Forest: temperate,Point or plot scale,0602 - Salmon (includes Bitterroot Mt.s),"44.5297508,-115.5330146",NA,Biology,"Temperature, Pests and disease, Entomology, Timber production/Silviculture, Management, Mathematics",NA,NA,NA,Yes
4/13/2018 12:00:14,MF,Modeling the Effects of Developmental Variation on Insect Phenology,296,Impacts,No,No,Forest: temperate,1-100 km2 (HUC 12 is 100 km2),0602 - Salmon (includes Bitterroot Mt.s),"Sawtooth National Recreation Area; 44.1274464,-122.8263493",NA,Biology,"Temperature, Pests and disease, Entomology; Mathematics; Statistics",About Mountain Pine Beetle Adaptation,NA,NA,Yes
5/3/2018 12:24:34,AM,Effects of climate change and wildfire on stream temperatures and salmonid thermal habitat in a mountain river network,297,Impacts,No,Yes,Freshwater: streams and rivers,"1,500 km2 - 25,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2)","0501 - Middle Snake - Boise (Reynolds Cr. Exp. WS., Dry Cr. Exp. WS.)","Boise River Basin; 43.6586271,-116.1027519",NA,Ecology,"Temperature, Water quality, Water quantity, Salmon/anadromous fish, Non-anadromous fish, Wildfire, Management",NA,NA,NA,No
4/13/2018 12:13:04,MF,Effects of climate change and wildfire on stream temperatures and salmonid thermal habitat in a mountain river network,297,Impacts,No,Yes,"Forest: temperate, Freshwater: streams and rivers","100 km2 - 10,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2, COUNTY)","0501 - Middle Snake - Boise (Reynolds Cr. Exp. WS., Dry Cr. Exp. WS.)","North Fork Boise River; 44.1274464,-122.8263493",NA,Ecology,"Temperature, Snow, Streamflow/stream forecasting, River geomorphology and restoration, Water quality, Water quantity, Salmon/anadromous fish, Aquatic habitat, Wildfire, Forest Ecology",NA,NA,NA,Yes
7/11/2018 15:21:22,sh,on glacier retreat and drought cycles in the rocky mountains of montana and canada,298,Impacts,No,Yes,Alpine/tundra,"1,500 km2 - 25,000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2)","0101 - Kootenai, 0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s), Kooteney (Canada)",NA/Not appropriate for point data,NA,Meteorology and Climatology,"Temperature, Glaciers, Climate Oscilations (ENSO, PDO)",NA,NA,NA,No
5/21/2018 14:10:33,AM,On glacier retreat and drought cycles in the Rocky Mountains of Montana and Canada,298,Impacts,No,Yes,Alpine/tundra,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)","0102 - Pend Oreille (Glacier NP; Priest River Experimental Forest; Bitterroot Mt.s), All in CRB Canada",NA/Not appropriate for point data,NA,Meteorology and Climatology,"Precipitation, Glaciers, Climate Oscilations (ENSO, PDO)",NA,NA,NA,No
4/13/2018 12:19:50,MF,On glacier retreat and drought cycles in the Rocky Mountains of Montana and Canada,298,Not about climate change,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not ANTHROPOGENIC climate change,NA,NA,NA
7/5/2018 11:00:27,AM,Optimized Flood Control in the Columbia River Basin for a Global Warming Scenario,299,Adaptation,Yes,No,N/A (not biome specific or all biomes - see codebook),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)","All CRB, both US and Canada (if this is selected then do NOT select the states as well)",NA/Not appropriate for point data,NA,"Hydrology, Policy or management","Temperature, Water quantity, Management, Flood control",NA,NA,Climate change will disrupt the balance between flood control and reservoir refill objectives; need to adapt rule curves.,No
5/9/2018 12:03:16,MF,Optimized Flood Control in the Columbia River Basin for a Global Warming Scenario,299,Adaptation,Yes,No,N/A (not biome specific or all biomes - see codebook),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)","All CRB, both US and Canada (if this is selected then do NOT select the states as well)",NA/Not appropriate for point data,NA,Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Management",NA,NA,NA,No
6/8/2018 10:26:13,SH,Modeling Tamarisk (Tamarix spp.) Habitat and Climate Change Effects in the Northwestern United States,300,Impacts,Yes,Yes,Forest: temperate,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",All in CRB U.S. (if this is selected then do NOT select the states as well),NA/Not appropriate for point data,NA,Forestry,"Temperature, Precipitation, Species range shifts, Forest Ecology",NA,NA,NA,No
5/15/2018 12:24:53,MF,Modeling Tamarisk (Tamarix spp.) Habitat and Climate Change Effects in the Northwestern United States,300,Impacts,Yes,No,"Grassland: temperate, Forest: temperate, Desert: semi-arid desert","Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)","All Idaho, All Washington, All Oregon",This study includes a case study map with more than 5 study locations over large extent,NA,Ecology,"Species Invasion, Species range shifts, Management, Plant ecology",NA,NA,NA,No
