title,abstract
phenology-mediated effects of climatic change on some simulated british columbia forests,"We added certain aspects of species-specific phenology, and of local frost regimes to a standard invididual-based patch model of forest stand dynamics, which we used to explore the possible consequences of four climate-change scenarios in eight distinct forest regions in British Columbia, Canada. According to model projections, lowland temperate coastal forests will be severely stressed because forest tree species will no longer have their winter-chilling requirements met. High-elevation coastal forests may either remain stable or decrease in productivity, while interior subalpine forests may eventually resemble those now found in the coastal mountains. Southern interior forests are likely to persist relatively unchanged, while boreal and sub-boreal forests of the northern interior may become dominated by Douglas-fir and western larch, rather than by spruce and pine as at present. The rate of change in forest composition may be very high in some cases. Changes under the four climate-change scenarios generally vary in magnitude but not in direction. This exercise illustrates that different forest types might respond to a changing climate for different reasons, and at different rates."
"future water supply and demand in the okanagan basin, british columbia: a scenario-based analysis of multiple, interacting stressors","Surface water is critical for meeting water needs in British Columbia's Okanagan Basin, but the timing and magnitude of its availability is being altered through climate and land use changes and growing water demand. Greater attention needs to be given to the multiple, interacting factors occurring and projected to occur in this region if water is going to be sustainably provisioned to human users and available for ecosystem needs. This study contributes to that goal by integrating information on physical, biological and social processes in order to project a range of possible changes to surface water availability resulting from land-use, climatic and demographic change, as well as from Mountain Pine Beetle infestation. An integrated water management model (Water Evaluation and Planning system, WEAP) was used to consider future scenarios for water supply and demand in both unregulated and reservoir-supported streams that supply the District of Peachland. Results demonstrate that anticipated future climate conditions will critically reduce streamflow relative to projected uses (societal demand and ecological flow requirements). The surficial storage systems currently in place were found unable to meet municipal and instream flow needs during ""normal"" precipitation years by the 2050s. Improvements may be found through demand reduction, especially in the near term. Beyond the implications for the District of Peachland, this work demonstrates a method of using an accessible modeling tool for integrating knowledge from the fields of climate science, forest hydrology, water systems management and stream ecology to aid in water and land management decision-making."
projected changes in snowfall extremes and interannual variability of snowfall in the western united states,"Projected warming will have significant impacts on snowfall accumulation and melt, with implications for water availability and management in snow-dominated regions. Changes in snowfall extremes are confounded by projected increases in precipitation extremes. Downscaled climate projections from 20 global climate models were bias-corrected to montane Snowpack Telemetry stations across the western United States to assess mid-21st century changes in the mean and variability of annual snowfall water equivalent (SFE) and extreme snowfall events, defined by the 90th percentile of cumulative 3 day SFE amounts. Declines in annual SFE and number of snowfall days were projected for all stations. Changes in the magnitude of snowfall event quantiles were sensitive to historical winter temperature. At climatologically cooler locations, such as in the Rocky Mountains, changes in the magnitude of snowfall events mirrored changes in the distribution of precipitation events, with increases in extremes and less change in more moderate events. By contrast, declines in snowfall event magnitudes were found for all quantiles in warmer locations. Common to both warmer and colder sites was a relative increase in the magnitude of snowfall extremes compared to annual SFE and a larger fraction of annual SFE from snowfall extremes. The coefficient of variation of annual SFE increased up to 80% in warmer montane regions due to projected declines in snowfall days and the increased contribution of snowfall extremes to annual SFE. In addition to declines in mean annual SFE, more frequent low-snowfall years and less frequent high-snowfall years were projected for every station."
"epiphytic lichen indication of nitrogen deposition and climate in the northern rocky mountains, usa","Lichen bioindication can provide economical and spatially extensive monitoring of climate and pollution impacts on ecological communities. We used non-metric multidimensional scaling of lichen community composition and generalized additive models to analyze regional climate and pollution gradients in the northern Rocky Mountains, U.S. Temperature extremes, relative humidity, and N-deposition were strongly related to lichen community composition. Eutrophic species (genera Physcia, Xanthomendoza, and Xanthoria) were associated with high N deposition, low precipitation, and temperature extremes. Estimated N deposition in our study ranged from <0.5 to 4.26 kg N ha(-1) year(-1) with degradation to lichen communities observed at 4.0 kg N ha(-1) year(-1), the indicated critical load. The resulting model can track changes in climate and N pollution related to lichen communities over time, identify probable sensitive or impacted habitats, and provide key information for natural resource management and conservation. The approach is broadly applicable to temperate ecosystems worldwide. Published by Elsevier Ltd."
recent tree mortality and recruitment in mature and old-growth forests in western washington,"Tree mortality is a fundamental driver of forest ecosystems and occurs both in catastrophic events and as a chronic process. Persistent changes in the rate of chronic or background mortality can dramatically alter the structure and composition of forests stands. Tree recruitment is the complement to tree mortality, combining with mortality to determine changes in tree density and species composition. The purpose of this study is to ascertain trends of mortality and recruitment in mature and old-growth forests in western Washington state, U.S.A. We used a set of permanent plots established in units of the National Park System spanning the environmental gradient of forests in these parks (from near sea-level to 1800 m elevation). Duration of observation was five years for most plots and two or three years for a small number of plots. Principal tree species on the plots were Picea sitchensis, Tsuga heterophylla, Pseudotsuga menziesii, Thuja plicata, Abies lasiocarpa, and Abies amabilis. Tree mortality was evaluated annually; recruitment was recorded at the end of the study. For small (dbh 12.7-76.1 cm) and large (dbh >76.1 cm) trees, annual mortality pooled across all elevations, parks, plots, and years was <1% (mean and upper 95% confidence intervals). For saplings (dbh 2.5-12.6 cm), mean mortality was <1% though the upper limit of the confidence interval was slightly greater than 1%. Recruitment outweighed mortality (and growth into the small-tree class) for saplings. Recruitment and losses of stems balanced one another for small trees; both processes were negligible for large trees. Recruitment of saplings increased representation of shade-tolerant species (e.g., T. heterophylla, and A. amabilis). Biotic factors predominated as the proximate cause of death for all size-classes of trees (i.e., trees died standing), though particular agents of mortality were not identified in most cases. Our results contrasted with a recent report of annual tree mortality >1% for unmanipulated, old-growth forests in the Pacific Northwest. Published by Elsevier B.V."
projections of contemporary and future climate niche for wyoming big sagebrush (artemisia tridentata subsp wyomingensis): a guide for restoration,"Big sagebrush (Artemisia tridentata) is one of the most widespread and abundant plant species in the intermountain regions of western North America. This species occupies an extremely wide ecological niche ranging from the semi-arid basins to the subalpine. Within this large niche, three widespread subspecies are recognized. Montane ecoregions are occupied by subspecies vaseyana, while subspecies wyomingensis and tridentata occupy basin ecoregions. In cases of wide-ranging species with multiple subspecies, it can be more practical from the scientific and management perspective to assess the climate profiles at the subspecies level. We focus bioclimatic model efforts on subspecies wyomingensis, which is the most widespread and abundant of the subspecies and critical habitat to wildlife including sage-grouse and pygmy rabbits. Using absence points from species with allopatric ranges to Wyoming big sagebrush (i.e.. targeted groups absences) and randomly sampled points from specific ecoregions, we modeled the climatic envelope for subspecies wyomingensis using Random Forests multiple-regression tree for contemporary and future climates (decade 2050). Overall model error was low, at 4.5%, with the vast majority accounted for by errors in commission (>99.9%). Comparison of the contemporary and decade 2050 models shows a predicted 39% loss of suitable climate. Much of this loss will occur in the Great Basin where impacts from increasing tire frequency and encroaching weeds have been eroding the A. tridentata landscape dominance and ecological functions. Our goal of the A. tridentata subsp. wyomingensis bioclimatic model is to provide a management tool to promote successful restoration by predicting the geographic areas where climate is suitable for this subspecies. This model can also be used as a restoration-planning tool to assess vulnerability of climatic extirpation over the next few decades."
patterns of regional hydroclimatic shifts: an analysis of changing hydrologic regimes,"Temporal shifts in precipitation and runoff regime curves appear throughout the continental United States, but differ from region to region. This paper explores these regime shifts by building upon a hydroclimatic classification system that partitions the United States into clusters of similarly behaved catchments using four simple hydroclimatic indicators. Hydroclimate data from over four hundred catchments over a 55 year period (belonging to the MOPEX data set) are analyzed to reveal how the indicators have shifted before and after 1970, before and after 1975, and before and after 1980. Statistically significant hydroclimatic changes in these indicators are explored qualitatively, suggesting which catchments today might resemble other catchments tomorrow. Thus, a preview of current locations in one class under future conditions is provided by observing existing locations of another class. The classification system structure enables organization of these data, allowing patterns of regime change to emerge without highly specified models at each individual site. Regional analyses explore changes in mean seasonal precipitation/runoff regimes, including shifts in the daily variability of precipitation and runoff. Additionally, changes in regime curves of minimum and maximum precipitation/runoff observations are analyzed and discussed. Results indicate that after 1980, classifications typically found in the southeastern quarter of the United States have expanded northward and westward. Regionally, the Midwest and Rocky Mountains seem to demonstrate more frequent, but less intense storms after 1980, while southeastern catchments receive much less water in the form of precipitation and runoff than in previous years. Key Points <list list-type=""bulleted""> <list-item id=""wrcr20773-li-0001"">The effects of hydroclimatic change are present in every regional cluster <list-item id=""wrcr20773-li-0002"">These impacts manifest differently by region <list-item id=""wrcr20773-li-0003"">A preview of future conditions may already exist elsewhere"
dietary plasticity in pikas as a strategy for atypical resource landscapes,"Mammalian habitat specialists are suffering notable population declines and localized extinctions in response to climate change. Plastic behavioral responses, especially in foraging, may be critical for specialists to tolerate changes in temperature, precipitation, and resource availability. Here, we investigate the foraging behavior of a mammalian alpine specialist living in atypical habitat. American pikas (Ochotona princeps) are typically limited to high elevations in western North America; however, they persist near sea level in the Columbia River Gorge, well outside their previously assumed climatic niche. We hypothesized that utilizing unusual food resources contributes to pika persistence in this unusual climate. Moss comprised more than 60% of the diet at 2 sites, more than observed for any mammalian herbivore in the wild. Moss is available year-round in this habitat; thus, by specializing on moss, pikas do not have to construct large food caches to survive winter. These results suggest a larger degree of behavioral and dietary plasticity than preViously assumed for this species. Understanding a species' capacity to adapt its foraging strategies to new resource landscapes will be essential to assessing its vulnerability to future climate change and to developing conservation plans."
modulation of linear and nonlinear hydroclimatic dynamics by mountain glaciers in canada and norway: results from information-theoretic polynomial selection,"Historical streamflow and climate datasets were analyzed for low- and high-frequency hydroclimatic variability. Four glacial/non-glacial catchment pairs were considered, two from the southern Canadian Rocky Mountains and two from arctic coastal Norway. Analyses were performed using daily data, providing high seasonal resolution and facilitating the identification of possible nonlinear hydroclimatic processes. Spearman rank correlation, and an information theory-based polynomial selection method, were employed in parallel. The latter permits straightforward identification of highly nonlinear relationships, simultaneous consideration of multiple models and estimation of the probability of a given relationship, as distinct from conventional p-values. Highly nonlinear (parabolic) atmospheric teleconnections to the Arctic Oscillation and El Nino-Southern Oscillation were confirmed in Norway and Canada, respectively, and their corresponding hydrologic effects were detected; conversely, little evidence for deviation from linearity was found for long-term monotonic trends. Presence or absence of watershed glacial cover was found to fundamentally alter streamflow responses to climate variability and change. In particular, for ecologically highly relevant late-summer low flows, glaciers induced: (1) stronger negative long-term trends than observed for non-glacial basins, presumably reflecting net mass balance declines seen in nearby glaciers, and (2) parabolic teleconnections, largely absent in non-glacial basins, reflecting parabolic air temperature teleconnections and the presence or absence of glacial ice available for melting."
the missing mountain water: slower westerlies decrease orographic enhancement in the pacific northwest usa,"Trends in streamflow timing and volume in the Pacific Northwest United States have been attributed to increased temperatures, because trends in precipitation at lower-elevation stations were negligible. We demonstrate that observed streamflow declines are probably associated with declines in mountain precipitation, revealing previously unexplored differential trends. Lower-troposphere winter (November to March) westerlies are strongly correlated with high-elevation precipitation but weakly correlated with low-elevation precipitation. Decreases in lower-tropospheric winter westerlies across the region from 1950 to 2012 are hypothesized to have reduced orographic precipitation enhancement, yielding differential trends in precipitation across elevations and contributing to the decline in annual streamflow. Climate projections show weakened lower-troposphere zonal flow across the region under enhanced greenhouse forcing, highlighting an additional stressor that is relevant for climate change impacts on hydrology."
restoring salmon habitat for a changing climate,"An important question for salmon restoration efforts in the western USA is How should habitat restoration plans be altered to accommodate climate change effects on stream flow and temperature?' We developed a decision support process for adapting salmon recovery plans that incorporates (1) local habitat factors limiting salmon recovery, (2) scenarios of climate change effects on stream flow and temperature, (3) the ability of restoration actions to ameliorate climate change effects, and (4) the ability of restoration actions to increase habitat diversity and salmon population resilience. To facilitate the use of this decision support framework, we mapped scenarios of future stream flow and temperature in the Pacific Northwest region and reviewed literature on habitat restoration actions to determine whether they ameliorate a climate change effect or increase life history diversity and salmon resilience. Under the climate change scenarios considered here, summer low flows decrease by 35-75% west of the Cascade Mountains, maximum monthly flows increase by 10-60% across most of the region, and stream temperatures increase between 2 and 6 degrees C by 2070-2099. On the basis of our literature review, we found that restoring floodplain connectivity, restoring stream flow regimes, and re-aggrading incised channels are most likely to ameliorate stream flow and temperature changes and increase habitat diversity and population resilience. By contrast, most restoration actions focused on in-stream rehabilitation are unlikely to ameliorate climate change effects. Finally, we illustrate how the decision support process can be used to evaluate whether climate change should alter the types or priority of restoration actions in a salmon habitat restoration plan. Copyright (c) 2012 John Wiley & Sons, Ltd."
bed stability in unconfined gravel bed mountain streams: with implications for salmon spawning viability in future climates,"Incubating eggs of autumn-spawning Chinook salmon (Oncorhynchus tshawytscha) could be at risk of midwinter high flows and substrate scour in a changing climate. A high-spatial-resolution multidimensional hydrodynamics model was used to assess the degree of scour risk in low-gradient unconfined gravel bed channels that are the favored environment for autumn-spawning salmon in mountain watersheds such as the Middle Fork Salmon River (MFSR), Idaho. In one of the most important MFSR spawning tributaries, near-bed shear stresses were relatively low at all discharges from base flows to 300% of bankfull. The highest stresses were found only in small areas of the central flow core and not at spawning sites. Median shear stresses did not increase in overbank flow conditions because poor channel confinement released the excess water into adjacent floodplains. Channel and floodplain topography, rather than discharge, control the maximum near-bed shear stresses. Over the modeled range of discharges, similar to 2% of the total surface area of the main stem channel bed was predicted to be mobile. Even in known spawning areas, where shear stresses are higher, 20% of the spawning surface area was mobile during overbank flows with a 2year recurrence interval. Field measurements of little gravel transport during flows that were 93% of bankfull support the numerical model predictions. Regardless of some uncertainty in future climates in these watersheds, there appears to be relatively limited risk of extensive scour at salmon spawning sites in any likely hydrologic regimes."
spatial heterogeneity in ecologically important climate variables at coarse and fine scales in a high-snow mountain landscape,"Climate plays an important role in determining the geographic ranges of species. With rapid climate change expected in the coming decades, ecologists have predicted that species ranges will shift large distances in elevation and latitude. However, most range shift assessments are based on coarse-scale climate models that ignore fine-scale heterogeneity and could fail to capture important range shift dynamics. Moreover, if climate varies dramatically over short distances, some populations of certain species may only need to migrate tens of meters between microhabitats to track their climate as opposed to hundreds of meters upward or hundreds of kilometers poleward. To address these issues, we measured climate variables that are likely important determinants of plant species distributions and abundances (snow disappearance date and soil temperature) at coarse and fine scales at Mount Rainier National Park in Washington State, USA. Coarse-scale differences across the landscape such as large changes in elevation had expected effects on climatic variables, with later snow disappearance dates and lower temperatures at higher elevations. However, locations separated by small distances (similar to 20 m), but differing by vegetation structure or topographic position, often experienced differences in snow disappearance date and soil temperature as great as locations separated by large distances (>1 km). Tree canopy gaps and topographic depressions experienced later snow disappearance dates than corresponding locations under intact canopy and on ridges. Additionally, locations under vegetation and on topographic ridges experienced lower maximum and higher minimum soil temperatures. The large differences in climate we observed over small distances will likely lead to complex range shift dynamics and could buffer species from the negative effects of climate change."
"dynamically downscaled winter precipitation over complex terrain of the central rockies of western montana, usa","We evaluate the results of dynamically downscaled winter precipitation over Western Montana using the weather research and forecasting (WRF) model through comparison with estimates from the observationally based parameter-elevation regressions on independent slopes model (PRISM). Seven years (six winters) from 2000 to 2006 are simulated at 4 km resolution to assess the similarities and differences between the two models as well as the implications for hydrologic modeling. Inherent biases in both approaches are apparent, highlighting the difficulty in climate model validation. Results show general agreement between the two models in the spatial distribution of winter precipitation. A principal component analysis shows similar spatial patterns between models in the leading six components suggesting that the main processes that drive the spatial distribution of precipitation were properly captured. The first component explains almost 70% of total variance, and the first three components explain more than 85% in both data sets. The largest differences between the two data sets exist in areas at high elevation and upstream of the continental divide where observations are sparse. In these areas, WRF consistently predicts higher amounts of precipitation and larger interannual variability than PRISM. We suggest that these results are realistic for impingement of moist air masses on topography and, if correct, could have significant implications in flood forecasting, water resource management, and climate change studies. Citation: Silverman, N. L., M. P. Maneta, S.-H. Chen, and J. T. Harper (2013), Dynamically downscaled winter precipitation over complex terrain of the Central Rockies of Western Montana, USA, Water Resour. Res., 49, doi: 10.1029/2012WR012874."
using expert judgments to explore robust alternatives for forest management under climate change,"We develop and apply a judgment-based approach to selecting robust alternatives, which are defined here as reasonably likely to achieve objectives, over a range of uncertainties. The intent is to develop an approach that is more practical in terms of data and analysis requirements than current approaches, informed by the literature and experience with probability elicitation and judgmental forecasting. The context involves decisions about managing forest lands that have been severely affected by mountain pine beetles in British Columbia, a pest infestation that is climate-exacerbated. A forest management decision was developed as the basis for the context, objectives, and alternatives for land management actions, to frame and condition the judgments. A wide range of climate forecasts, taken to represent the 1090% levels on cumulative distributions for future climate, were developed to condition judgments. An elicitation instrument was developed, tested, and revised to serve as the basis for eliciting probabilistic three-point distributions regarding the performance of selected alternatives, over a set of relevant objectives, in the short and long term. The elicitations were conducted in a workshop comprising 14 regional forest management specialists. We employed the concept of stochastic dominance to help identify robust alternatives. We used extensive sensitivity analysis to explore the patterns in the judgments, and also considered the preferred alternatives for each individual expert. The results show that two alternatives that are more flexible than the current policies are judged more likely to perform better than the current alternatives on average in terms of stochastic dominance. The results suggest judgmental approaches to robust decision making deserve greater attention and testing."
