Timestamp,Your Name,Title of paper: please copy-paste from the spreadsheet.,"Paper ID: in column ""final_id""","Is this paper in the Columbia River Basin, and does it most address climate change impacts, adaptation, or mitigation? If the answer is ""None of these"", leave the rest of the answers blank.","If this paper addresses impacts then select the type of impact. If not, skip the question.","What is the spatial resolution of data in this paper? (i.e., minimum unit of observation)",What is the spatial extent of data in this paper? ,"Where was the study conducted? Please copy-paste coordinates of your best approximation of the study location in google maps. If you click something besides ""other"", then no need to fill out HUCs.",In what biome(s) is this research conducted? ,"If the paper has a smaller spatial extent than the Pacific Northwest, what HUC 6 watersheds was the study in? (Select watershed if in Canada; leave out the starting ""17"").",What type of data was used in this study?,What discipline(s) does this study address? (Check multiple boxes for interdisciplinary).,What topics does this study address? ,List concerns or uncertainty when coding this paper. ,Copy and paste or summarize content related to our research questions. ,Copy and paste or summarize content related to research in mountainous environments. 
1/4/2018 12:08:09,AM,Groundwater dynamics mediate low-flow response to global warming in snow-dominated alpine regions,6,Impacts,Projected impacts,1-900 m2 (1-30m; Landsat size or smaller),">10km2 - 100km2 (smaller than HUC 12), 100 km2 - 500 km2 (HUC 12 is 100 km2)","44.3688436,-122.5568598",Forest: temperate,0900 - Willamette,"Gridded, Points in an observation network (e.g. SNOTEL)","Hydrology, Geology","Temperature, Snow, Streamflow/stream forecasting, Groundwater",,,
2/2/2018 9:07:23,SH,Groundwater dynamics mediate low-flow response to global warming in snow-dominated alpine regions,6,Impacts,Projected impacts,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"44.2243516,-122.1995577; 44.1542012,-122.8601981",Alpine/tundra,0703 - Deschutes,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Precipitation, Snow, Groundwater",,,
1/4/2018 12:22:20,AM,Relative Abundance and Functional Role of Whitebark Pine at Treeline in the Northern Rocky Mountains,7,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","51.2056255,-116.0829526",Forest: temperate,Kooteney (Canada),Point data collected specifically for this study,Ecology,"Pests and disease, Range Shifts",,,
1/31/2018 20:37:40,PE,Relative Abundance and Functional Role of Whitebark Pine at Treeline in the Northern Rocky Mountains,7,Impacts,Climate change implications,Point or plot scale,>1km2 - 10km2 (city of Moscow is 2.6 km2),"51.0770982,-118.2554909",Alpine/tundra,"0402 - Upper Snake, Kooteney (Canada)","Point data collected specifically for this study, Point data NOT collected specifically for this study",Forestry,"Range Shifts, Forest Ecology",,,
1/4/2018 13:02:46,AM,Climate indices and mountain pine beetle-killing temperatures,8,Impacts,Climate change implications,Point or plot scale,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",British Columbia,"Forest: temperate, Forest: boreal (N of 50 degrees)","Kooteney (Canada), Columbia (Canada), Okanagan (Canada)",Points in an observation network (e.g. SNOTEL),"Meteorology and Climatology, Ecology","Temperature, Pests and disease, Forest Ecology",,,
1/16/2018 13:57:13,DH,Climate indices and mountain pine beetle-killing temperatures,8,Impacts,Projected impacts,Point or plot scale,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)","British Columbia, 51.2990275,-116.9850559",Forest: temperate,"Columbia (Canada), Okanagan (Canada)",Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation, Snow, Species Invasion, Pests and disease, Range Shifts, Timber production/Silviculture",,,
1/4/2018 13:09:42,AM,"Climate extreme and its linkage to regional drought over Idaho, USA.",9,Impacts,Observed impacts,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Idaho,"Alpine tundra, Grassland: temperate, Forest: temperate","0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater",Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation",,,"""The result indicates that decreasing trends and increasing trends are identified for precipitation and temperature, respectively"""
2/4/2018 17:43:41,CMC,"Climate extreme and its linkage to regional drought over Idaho, USA
",9,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Idaho,,"0101 - Kootenai, 0102 - Pend Oreille, 0401 - Snake headwaters, 0402 - Upper Snake, 0602 - Salmon, 0603 - Clearwater",Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation, Drought",A really nice one for Idaho specific climate questions. ,,
1/18/2018 12:07:36,DH,"Long-duration drought variability and impacts on ecosystem services: A case study from Glacier National Park, Montana",10,Impacts,Observed impacts,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"48.7596128,-113.7870225","Alpine/tundra, Forest: temperate, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers",0102 - Pend Oreille,"Point data collected specifically for this study, Point data NOT collected specifically for this study",Meteorology and Climatology,"Temperature, Precipitation, Snow, Salmon, Forest Ecology, Dendrochronology, Agriculture, Management",Really close to getting disqualified as paleo.... I would almost nix it but decided to code in none the less to keep the peace,,
1/3/2018 12:51:29,MF,"Long-duration drought variability and impacts on ecosystem services: A case study from Glacier National Park, Montana",10,Impacts,Climate change implications,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)","48.3833368,-113.6188487","Alpine tundra, Forest: temperate",0102 - Pend Oreille,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Geography,"Temperature, Precipitation, Dendrochronology, water quantity",,,
1/3/2018 13:15:02,MF,"Future Water Supply and Demand in the Okanagan Basin, British Columbia: A Scenario-Based Analysis of Multiple, Interacting Stressors",11,Impacts,Projected impacts,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),,"Forest: temperate, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers",Okanagan (Canada),"Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study, Secondary social data (e.g., census data, existing survey data)",Hydrology,"Temperature, Precipitation, Streamflow/stream forecasting, Groundwater, economics; water quantity",,,
2/3/2018 11:11:04,PE,"Future Water Supply and Demand in the Okanagan Basin, British Columbia: A Scenario-Based Analysis of Multiple, Interacting Stressors",11,Impacts,Projected impacts,Point or plot scale,100 km2 - 500 km2 (HUC 12 is 100 km2),"49.8212294,-120.894469",,Okanagan (Canada),"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity, Aquatic habitat, Management",,,
1/4/2018 13:11:43,AM,Artificial amplification of warming trends across the mountains of the western United States,12,Impacts,Observed impacts,Point or plot scale,Western US and/or Western US plus Canada,Western United States,Forest: temperate,,Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,Temperature,,,
1/7/2018 15:36:07,MF,Artificial amplification of warming trends across the mountains of the western United States,12,Impacts,"Observed impacts, Climate change implications",Point or plot scale,Western US and/or Western US plus Canada,Western United States,"Alpine tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert",,Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation, Snow",,"""In the context of a warming climate, this artificial amplification of mountain climate trends has likely compromised our ability to accurately attribute climate change impacts across the mountainous western U.S.""",
1/4/2018 13:18:46,AM,Ensemble projections of wildfire activity and carbonaceous aerosol concentrations over the western United States in the mid-21st century,13,Impacts,"Projected impacts, Climate change implications",1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2; 1 degree by 1 degree is also in this category),Western US and/or Western US plus Canada,Western United States,"Grassland: temperate, Forest: temperate, Desert: semi-arid desert",,Gridded,"Meteorology and Climatology, Ecology","Temperature, Precipitation, Wildfire",,,"""The median model results show consistent increases of 24–169% in area burned across much of the western United States in the warmer and drier future atmosphere, regardless of projection method."" - this includes an increase in projected area burned in the Pacific Northwest, though the model is relatively poor in the PNW."
2/4/2018 17:50:33,CMC,Ensemble projections of wildfire activity and carbonaceous aerosol concentrations over the western United States in the mid-21st century,13,Impacts,Projected impacts,>10km2 - 100km2 (smaller than HUC 12),Western US and/or Western US plus Canada,Western United States,,,Gridded or polygons,Forestry,"Temperature, Precipitation, Wildfire",,Good paper to refer to for broad projections about wildfire activity in the western US. ,
2/4/2018 17:52:18,CMC,Coupled daily streamﬂow and water temperature modelling in large river basins,14,None of these or not in the CRB,,,,,,,,,,big global modeling effort. Interesting for comparing the CRB to other areas around the world. ,,
1/3/2018 13:58:36,MF,Coupled daily streamflow and water temperature modelling in large river basins,14,Impacts,Projected impacts,Point or plot scale,Many Large Watersheds: Global,Columbia River Basin,,,Point data NOT collected specifically for this study,Hydrology,"Streamflow/stream forecasting, Water quality, Aquatic habitat",,,
1/4/2018 13:28:02,AM,"Evaluating the use of a gridded climate surface for modelling groundwater recharge in a semi-arid region (Okanagan Basin, Canada)",15,Impacts,Climate change implications,"Point or plot scale, 900m2 - 1km2",>10km2 - 100km2 (smaller than HUC 12),"50.2815808,-119.3460014",Forest: temperate,Okanagan (Canada),"Gridded, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Precipitation, Groundwater, Water quantity, Soils",,,
2/2/2018 9:16:06,SH,"Evaluating the use of a gridded climate surface for modelling groundwater recharge in a semi-arid region (Okanagan Basin, Canada)",15,Impacts,Projected impacts,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"50.2354869,-119.4802421",Freshwater: streams and rivers,Okanagan (Canada),"Gridded or polygons, Points in an observation network (e.g. SNOTEL)","Meteorology and Climatology, Hydrology","Precipitation, Streamflow/stream forecasting",,,
1/4/2018 13:29:39,AM,Proposed research on social perception of marker-assisted selection and its role in the forests of British Columbia,16,None of these or not in the CRB,,,,,,,,,,"proposed research only, tenuous or nonexistent climate change connection",,
1/31/2018 20:46:11,PE,Proposed research on social perception of marker-assisted selection and its role in the forests of British Columbia,16,None of these or not in the CRB,,,,,,,,,,This is a proposed study with no specific location in BC,,
1/4/2018 13:49:35,AM,Quantifying Recent Ecological Changes in Remote Lakes of North America and Greenland Using Sediment Diatom Assemblages,17,Impacts,Observed impacts,Point or plot scale,Western US and/or Western US plus Canada,"52.792747, -117.864582","Alpine tundra, Forest: temperate, Forest: boreal (N of 50 degrees)",,"Point data collected specifically for this study, Point data NOT collected specifically for this study",Ecology,"Lacustrine Systems, diatoms, biodiversity",,,
1/16/2018 14:00:02,DH,Quantifying Recent Ecological Changes in Remote Lakes of North America and Greenland Using Sediment Diatom Assemblages,17,None of these or not in the CRB,,,,,,,,,,Not in the CRB,,
1/4/2018 14:00:43,AM,"Glacier change in western North America: influences on hydrology, geomorphic hazards and water quality",18,Impacts,"Observed impacts, Climate change implications",Point or plot scale,Western US and/or Western US plus Canada,Western United States,Alpine tundra,,Review,Hydrology,"Temperature, Precipitation, Glaciers, Streamflow/stream forecasting, Water quality, Water quantity, Aquatic habitat, Geomorphic hazards",,,
2/23/2018 7:09:38,CMC,"Glacier change in western North America: influences on
hydrology, geomorphic hazards and water quality",18,Impacts,Observed impacts,Point or plot scale,"Western US and/or Western US plus Canada, south cascade glacier; blue glacier in CRB, many more","Western United States, British Columbia, Really it includes glaciers/ glaciated areas across the USA including Alaska",Alpine/tundra,,Points in an observation network (e.g. SNOTEL),Geography,"Temperature, Precipitation, Snow, Glaciers, Streamflow/stream forecasting, Water quality, Water quantity, Geomorphic Hazards",Extent is really large,"In southern BC and the US PNW, there is a tendency
for enhanced winter accumulation when the PNA is in a
negative phase or when ENSO or PDO are in the cold
phases, while reduced accumulation is associated with the
enhanced phase of PNA and the ENSO and PDO warm","The dominance
of negative mass balance conditions and volume loss over
the last few decades indicates that glaciers throughout
western North America are out of equilibrium with the
current climate and, barring a shift to cooler and/or wetter
conditions, will likely continue to retreat over at least
the next decade or so. --Hock et al. (2005) outlined the processes by which
mountain glacier discharge responds to climate warming
and a shift from near-neutral to negative mass balance.
They distinguished between a short-term response to
changes in climate and the extents of snow and firn, and a
long-term response, which includes the change in glacier
area within the catchment."
1/4/2018 14:21:09,AM,GRACE storage-runoff hystereses reveal the dynamics of regional watersheds,19,Impacts,Climate change implications,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2; 1 degree by 1 degree is also in this category),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",Columbia River Basin,"Alpine tundra, Grassland: temperate, Forest: temperate, Freshwater: streams and rivers",,"Gridded, Points in an observation network (e.g. SNOTEL)",Hydrology,"Streamflow/stream forecasting, Groundwater, Water quantity",,,
1/18/2018 11:19:41,MF,GRACE storage-runoff hystereses reveal the dynamics of regional watersheds,19,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Columbia River Basin,"Alpine/tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert, Freshwater: streams and rivers",,"Gridded, Points in an observation network (e.g. SNOTEL)",Hydrology,"Precipitation, Snow, Streamflow/stream forecasting, Groundwater, Water quantity",,,
1/4/2018 14:28:12,AM,"Climate change, water rights, and water supply: The case of irrigated agriculture in Idaho",20,Not clear that this is related to mountain issues,"Projected impacts, Climate change implications",Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Idaho,Grassland: temperate,"0101 - Kootenai, 0102 - Pend Oreille, 0401 - Snake headwaters, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater","Gridded, Points in an observation network (e.g. SNOTEL), Secondary social data (e.g., census data, existing survey data)",Economics,"Temperature, Precipitation, Streamflow/stream forecasting, Agriculture, Policy",Not clear that this is really about mountainous areas. ,,
2/4/2018 18:05:54,CMC,"Climate change, water rights, and water supply: The case of irrigated agriculture in Idaho",20,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Idaho,,,"Gridded or polygons, Secondary social data (e.g., census data, existing survey data), Policy data",Economics,"Temperature, Precipitation, Water quantity, Policy, Management",,," The increases in precipitation, therefore, may not increase the total water available to irrigated agriculture during the warm season. In addition, precipitation levels in the high-elevation mountain areas have become more variable, upon which much of the streamﬂow used by low elevation agricultural areas depend on during the warm season [Luce et al., 2013]. p9675 Since snowmelt from mountains is the main source of many regional water supplies [Cayan et al., 2001; Stewart et al., 2005; Bales et al., 2006;
"
1/4/2018 18:15:27,AM,The influence of variation in host tree monoterpene composition on secondary attraction by an invasive bark beetle: Implications for range expansion and potential host shift by the mountain pine beetle,21,Impacts,Climate change implications,Point or plot scale,Point or plot scale,"49.11,-119.177",Forest: temperate,Okanagan (Canada),Point data collected specifically for this study,Ecology,"Pests and disease, Range Shifts, Forest Ecology",It seems like a stretch to say that this paper is about climate change impacts... I'd be okay tossing it out if that's what another reviewer clicks.,,
2/2/2018 9:20:29,SH,The influence of variation in host tree monoterpene composition on secondary attraction by an invasive bark beetle: Implications for range expansion and potential host shift by the mountain pine beetle,21,None of these or not in the CRB,,,,,,,,,,beetles--not really about climate change,,
1/4/2018 18:30:48,AM,Radiative forcing of natural forest disturbances.,22,Impacts,Climate change implications,"Point or plot scale, 900m2 - 1km2",900m2 - 1km2,"43.93,-122.0401514",Forest: temperate,0703 - Deschutes,"Gridded, Point data NOT collected specifically for this study","Meteorology and Climatology, Ecology","Pests and disease, Wildfire, Forest Ecology, Climate feedbacks",,,
1/31/2018 21:27:01,PE,Radiative forcing of natural forest disturbances.,22,Impacts,Climate change implications,>1km2 - 10km2 (city of Moscow is 2.6 km2),,Oregon,,,Gridded or polygons,"Forestry, Biology","Pests and disease, Wildfire, Timber production/Silviculture, Soils, Carbon Emissions","No specification of location, can't provide coordinates, spatial extent, or watershed info",,
1/4/2018 18:34:02,AM,Disruption of the 'disease triangle' by chemical and physical environmental change,23,Impacts,"Projected impacts, Climate change implications",No data,No data,Western United States,Forest: temperate,,No data (example: conceptual modeling only),Ecology,"Pests and disease, Forest Ecology",Not sure such a conceptual paper really counts as being in the CRB.,,
1/16/2018 14:27:42,DH,Disruption of the 'disease triangle' by chemical and physical environmental change,23,Impacts,Projected impacts,Western US and/or Western US plus Canada,Western US and/or Western US plus Canada,Western United States,"Alpine tundra, Grassland: temperate, Forest: temperate, Forest: boreal (N of 50 degrees), Desert: semi-arid desert, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers",,Gridded,Environmental chemistry and toxicology,"Temperature, Precipitation, Streamflow/stream forecasting, Pests and disease, Community resilience (human), Attitudes and Beliefs",kinda a weird hypothetical climate change disease perspective,,
1/4/2018 18:40:42,AM,Rapid increases and time-lagged declines in amphibian occupancy after wildfire.,24,Impacts,Climate change implications,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"48.5838247,-114.0040341","Forest: temperate, Freshwater: wetlands",0102 - Pend Oreille,"Gridded, Point data collected specifically for this study",Ecology,"Terrestrial wildlife, Wildfire",,,
2/4/2018 18:10:39,CMC,Rapid Increases and Time-Lagged Declines in Amphibian Occupancy after Wildﬁre,24,Impacts,Observed impacts,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"48.614473, -114.012969",Forest: temperate,0102 - Pend Oreille,Point data collected specifically for this study,Biology,"Temperature, Precipitation, Aquatic habitat, Range Shifts, Wildfire",,,
1/4/2018 18:44:58,AM,"Interactive effects of wildfire, forest management, and isolation on amphibian and parasite abundance.",25,Impacts,Climate change implications,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"48.6675611,-114.1138973",Forest: temperate,0102 - Pend Oreille,"Gridded, Point data collected specifically for this study",Ecology,"Terrestrial wildlife, Wildfire, Forest Ecology","I think for the purposes of this form, this paper is essentially indistinguishable from another paper by the same author - but they are different papers. ",,
1/18/2018 11:27:12,MF,"Interactive effects of wildfire, forest management, and isolation on amphibian and parasite abundance.",25,Impacts,Climate change implications,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"48.6602627,-116.0870981",Forest: temperate,0102 - Pend Oreille,"Gridded, Point data collected specifically for this study, Polygons",Ecology,"Aquatic habitat, Terrestrial wildlife, Wildfire, Forest Ecology",Amphibians are terrestrial and aquatic - maybe need new category?,,
1/4/2018 18:49:04,AM,Consequences of climate change for biotic disturbances in North American forests.,26,Impacts,Climate change implications,Western US and/or Western US plus Canada,Western US and/or Western US plus Canada,North America,"Forest: temperate, Forest: boreal (N of 50 degrees)",,Review,Ecology,"Snow, Water quantity, Terrestrial wildlife, Species Invasion, Pests and disease, Wildfire, Forest Ecology, Economics",,,
2/4/2018 18:13:16,CMC,Consequences of climate change for biotic disturbances in North American forests,26,None of these or not in the CRB,,,,,,,,,,lit review about bark beetles,,
1/4/2018 18:52:23,AM,"Modeling cold tolerance in the mountain pine beetle, Dendroctonus ponderosae",27,Impacts,Climate change implications,No data,No data,Western United States,Forest: temperate,,No data (example: conceptual modeling only),Ecology,"Temperature, Pests and disease, Forest Ecology",,,
2/2/2018 9:26:00,SH,"Modeling cold tolerance in the mountain pine beetle, Dendroctonus ponderosae",27,Impacts,Climate change implications,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",Idaho,Forest: temperate,,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study","Forestry, Ecology","Temperature, Pests and disease, Timber production/Silviculture",I'm not sure about the extent of this paper or even whether or not to include,,
1/4/2018 18:59:20,AM,Application of a land class hydrological model to climatic change.,28,Impacts,Projected impacts,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","50.1547841,-116.0882144",Forest: temperate,Kooteney (Canada),"Gridded, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Streamflow/stream forecasting, Water quantity, Forest Ecology",,,
1/31/2018 21:41:46,PE,Application of a land class hydrological model to climatic change.,28,Impacts,Observed impacts,100 km2 - 500 km2 (HUC 12 is 100 km2),1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"50.2337744,-115.9197164",,Kooteney (Canada),Gridded or polygons,Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity, Soils, Carbon Emissions",Also addresses changes in evapotranspiration of vegetation,,
1/5/2018 8:38:19,AM,"Relative impact of anthropogenic modifications versus climate change on the natural flow regimes of rivers in the Northern Rocky Mountains, United States.",29,Impacts,Observed impacts,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","46.44435,-114.2282207","Alpine tundra, Grassland: temperate, Forest: temperate","0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0501 - Middle Snake - Boise, 0602 - Salmon, 0603 - Clearwater","Gridded, Points in an observation network (e.g. SNOTEL), Secondary social data (e.g., census data, existing survey data)",Hydrology,"Temperature, Streamflow/stream forecasting, Water quantity, Agriculture, Dams and reservoirs, population density and urbanization",,,"""direct basin anthropogenic modifications such as damming, irrigation, and urbanization have caused a decrease in the difference between the minimum and maximum annual discharges and a decrease in the daily variations of flows across the Northern Rocky Mountains. In general, direct anthropogenic modifications of the river basins have altered the flow regimes to a much greater extent than climate change."""
1/16/2018 14:36:32,DH,"Relative impact of anthropogenic modifications versus climate change on the natural flow regimes of rivers in the Northern Rocky Mountains, United States.",29,Impacts,Observed impacts,Point or plot scale,500 km2 - 1500 km2 (HUC 10 is 587 km2),"Idaho, Wyoming, Montana","Alpine tundra, Forest: temperate, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers","0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0401 - Snake headwaters, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0601 - Lower Snake, 0603 - Clearwater",Points in an observation network (e.g. SNOTEL),Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, River geomorphology and restoration, Groundwater, Water quality, Water quantity, Salmon, Aquatic habitat, Attitudes and Beliefs, Policy, Management",,,
1/5/2018 8:44:19,AM,"Genetic architecture and phenotypic plasticity of thermally-regulated traits in an eruptive species, <i xmlns=""http://www.w3.org/1999/xhtml"">Dendroctonus ponderosae</i>.",30,Impacts,Climate change implications,Point or plot scale,Point or plot scale,"44.14157,-115.1736914",Forest: temperate,0602 - Salmon,Point data collected specifically for this study,Ecology,"Pests and disease, Forest Ecology",Climate change connection is a little tenuous.,,
