reviewer,title,paper_id,inclusion_IAM,impacts,resolution,extent,location,biome,huc6,data_type,discipline,topic,concerns,notes1,notes2
am,implications of 21st century climate change for the hydrology of washington state,136,impacts,projected impacts,>10km2 - 100km2 (smaller than huc 12),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",columbia river basin,"alpine/tundra, grassland: temperate, forest: temperate, freshwater: streams and rivers","0102 - pend orielle, 0103 - spokane, 0200 - upper columbia, 0300 - yakima, 0502 - middle snake - powder, 0601 - lower snake, 0701 - middle columbia, 0702 - john day, 0800 - lower columbia","gridded, points in an observation network (e.g. snotel), point data collected specifically for this study, gcms",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils",NA,NA,"""april 1 swe is projected to decrease by an average of approximately 28–30% across the state by the 2020s, 38–46% by the 2040s and 56–70% by the 2080s, based on the composite changes in temperature and precipitation described by mote and salathé (2010). soil moisture is projected to be in the 38th to 43rd percentile by the 2020s, 35th to 40th percentile by the 2040s, and 32nd to 35th percentile by the 2080s, with 50% being equal to mean historical values."""
cmc,impacts of climate change from 2000 to 2050 on wildfire activity and carbonaceous aerosol concentrations in the western united states,138,impacts,"projected impacts, climate change implications, observed impacts",>10km2 - 100km2 (smaller than huc 12),western us and/or western us plus canada,NA,forest: temperate,all in crb u.s.,"gridded or polygons, points in an observation network (e.g. snotel)",meteorology and climatology,"temperature, precipitation, wildfire, management, carbon emissions, air quality, wildfire, forest ecology, management",NA,"despite these efforts to predict the effect of future climate on wildfires, there have not been studies of the impact of these future wildfires on air quality. in this paper we predict how wildfires in the western united states will respond to changes in climate between the present day and 2050 and evaluate the impacts on aerosol air qualit",NA
cmc,coupled daily streamﬂow and water temperature modelling in large river basins,14,impacts,climate change implications,NA,NA,NA,n/a (not biome specific or all biomes - see codebook),"all crb, both us and canada",NA,hydrology,"streamflow/stream forecasting, water quality, aquatic habitat",big global modeling effort. interesting for comparing the crb to other areas around the world.,NA,NA
pe,lakes and forests as determinants of downstream nutrient concentrations in small mountain watersheds,140,impacts,climate change implications,point or plot scale,point or plot scale,"44.0559305,-115.0861919","forest: temperate, freshwater: ponds and lakes, freshwater: streams and rivers",0602 - salmon,"points in an observation network (e.g. snotel), point data collected specifically for this study","hydrology, ecology","water quality, forest ecology, aquatic habitat",NA,NA,NA
cmc,"alpine treeline of western north america: linking organism-to-landscape dynamics
",144,impacts,climate change implications,review paper,western us and/or western us plus canada,western united states,"alpine/tundra, forest: temperate",all in crb u.s.,review,ecology,"temperature, precipitation, snow, streamflow/stream forecasting, range shifts, timber production/silviculture, forest ecology, attitudes and beliefs, microclimates and scales",this paper is an important review paper to be aware of in our analysis,"our purpose here is to examine the processes that link treeline to local and regional controls, and so improve our expectations for their response to climate change.",this article is the outcome of a workshop sponsored by the usgs western mountain initiative
am,"twentieth-century trends in runoff, evapotranspiration, and soil moisture in the western united states",145,impacts,"observed impacts, climate change implications",100 km2 - 500 km2 (huc 12 is 100 km2),western us and/or western us plus canada,western united states,n/a (not biome specific or all biomes - see codebook),all in crb u.s.,gridded or polygons,"meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils",NA,NA,NA
pe,changing temperatures influence suitability for modeled mountain pine beetle (dendroctonus ponderosae) outbreaks in the western united states,146,impacts,"projected impacts, observed impacts, climate change implications",western us and/or western us plus canada,western us and/or western us plus canada,western united states,forest: temperate,all in crb u.s.,"gridded or polygons, points in an observation network (e.g. snotel), point data not collected specifically for this study",ecology,"temperature, pests and disease, range shifts, forest ecology",NA,NA,NA
cmc,twentieth-century decline in streamflows from the hydrographic apex of north america,148,impacts,"observed impacts, climate change implications",point or plot scale,"western us and/or western us plus canada, a little unsure since it is focused on three drainages to three different oceans",free flowing rivers starting at the triple divide,n/a (not biome specific or all biomes - see codebook),"0101 - kootenai, 0102 - pend oreille, 0200 - upper columbia, 0401 - snake headwaters, 0701 - middle columbia, kooteney (canada), columbia (canada), okanagan (canada)",points in an observation network (e.g. snotel),hydrology,"streamflow/stream forecasting, water quantity, management","the focus of the study is the missouri river, but several data points and some of the analysis focuses on the columbia. mostly because the research is trying to analyze changes in streamflow in free flowing rivers.",NA,"cite for: scarce data in mountainous environments, stream flows as surrogates for precipitation in data scarce mountain environments."
cmc,insect seasonality: circle map analysis of temperature-driven life cycles,149,impacts,climate change implications,point or plot scale,"900m2 - 1km2, 2 study areas both in central idaho","44.188983, -114.558662",forest: temperate,"0402 - upper snake, 0602 - salmon","gridded, points in an observation network (e.g. snotel), point data collected specifically for this study",biology,"temperature, pests and disease, forest ecology, entomology",NA,NA,NA
am,"evaluating the use of a gridded climate surface for modelling groundwater recharge in a semi-arid region (okanagan basin, canada)",15,impacts,climate change implications,"point or plot scale, 900m2 - 1km2",>10km2 - 100km2 (smaller than huc 12),"50.2815808,-119.3460014",forest: temperate,okanagan (canada),"gridded or polygons, points in an observation network (e.g. snotel)",meteorology and climatology,"temperature, precipitation, groundwater, water quantity, soils, streamflow/stream forecasting",NA,NA,NA
cmc,changes in snowmelt runoff timing in western north america under a 'business as usual' climate change scenario,150,impacts,"projected impacts, observed impacts, climate change implications","point or plot scale, 900m2 - 1km2, 5 degree climate data",western us and/or western us plus canada,western united states,n/a (not biome specific or all biomes - see codebook),all in crb u.s.,"gridded, points in an observation network (e.g. snotel)",meteorology and climatology,"temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quality, water quantity, management",a lot of moving pieces to the data collection. large scale study. selected freshwater biome because it is a stream forecasting study,"justification for looking at spatial variability: the timing of snowmelt runoff in rivers of western north america is not only a function of latitude, but is also strongly dependent on the local climatic and physiographic setting of each watershed. 2. the greatest central timing trends have occurred in the paciﬁc northwest, canada, alaska, and the mountain plateaus of washington, oregon, and western idaho",NA
cmc,hydroclimate of the western united states based on observations and regional climate simulation of 1981-2000. part ii: mesoscale enso anomalies,151,impacts,"observed impacts, climate change implications",>10km2 - 100km2 (smaller than huc 12),western us and/or western us plus canada,western united states,n/a (not biome specific or all biomes - see codebook),all in crb u.s.,"gridded or polygons, points in an observation network (e.g. snotel)",meteorology and climatology,"temperature, precipitation, snow, streamflow/stream forecasting, management",broad western us climate overview,NA,"good paper to cite for leading paper on mesoscale climate effects and orographic influences. ""although much of the climate variations in the western united states are captured at the larger scales, the effects of topography are not negligible. most notably, the largest dry anomalies during el nin˜o years in the northwest are found on the windward side of the cascades and the northern rockies. the rest of the pnw region typically shows very small anomalies except on the lee side of the mountains (e.g., northeast of the
olympic mountains and the cascades) where regions of positive anomalies are often found instead"" p. 1917"
cmc,"statistical precipitation downscaling over the northwestern united states using numerically simulated precipitation as a predictor*
",152,impacts,observed impacts,1-900 m2 (1-30m; landsat size or smaller),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",columbia river basin,n/a (not biome specific or all biomes - see codebook),"0103 - spokane, 0200 - upper columbia, 0300 - yakima, 0501 - middle snake - boise, 0502 - middle snake - powder, 0601 - lower snake, 0701 - middle columbia, 0702 - john day, 0703 - deschutes, 0800 - lower columbia, 0900 - willamette","gridded, points in an observation network (e.g. snotel)",meteorology and climatology,"temperature, precipitation",gcm downscaling methods paper. not particularly relevant,NA,NA
cmc,a comparison of delta change and downscaled gcm scenarios for three mountainous basins in the united states,154,impacts,projected impacts,point or plot scale,western us and/or western us plus canada,"47.203941, -120.952351 (study area point within crb)","forest: temperate, freshwater: streams and rivers",0300 - yakima,"gridded or polygons, points in an observation network (e.g. snotel)",meteorology and climatology,"temperature, precipitation, streamflow/stream forecasting, snow",three areas in the western us were modeled. one of the areas in the crb (cle elum),paper is focused on downscaling climate models to consider streamflow in mountainous watersheds.,NA
am,potential climate chance impacts on mountain watersheds in the pacific northwest,155,impacts,projected impacts,900m2 - 1km2,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","48.389574,-113.6945857; 46.9713584,-121.4872337","forest: temperate, freshwater: streams and rivers","0102 - pend oreille, 0300 - yakima",gridded,"meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, policy",NA,NA,stands out as an older (1999) paper that was probably a leader in its time - downscaled climate model --> hydrology model --> identifies importance of regional variability in climate impacts.
am,"changes in glacier and alpine runoff in the north cascade range, washington, usa 1985-1993",157,impacts,observed impacts,point or plot scale,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),"48.1119322,-121.1307951",alpine tundra,0200 - upper columbia,points in an observation network (e.g. snotel),hydrology,"temperature, precipitation, snow, glaciers, streamflow/stream forecasting, lacustrine systems, water quantity",NA,NA,NA
cmc,"tree mortality from drought, insects, and their interactions in a changing climate",162,impacts,climate change implications,review/conceptual modeling,western us and/or western us plus canada,western united states,forest: temperate,all in crb u.s.,review,ecology,"temperature, precipitation, streamflow/stream forecasting, species invasion, pests and disease, range shifts, drought, snow, wildfire, timber production/silviculture, forest ecology, soils, policy, management",nicely written review on beetles and drought. a hard one to stop reading.,"forest mortality can have manifold
consequences for biodiversity, ecosystem function and services, and
feedbacks to climate change through biophysical effects and loss of
carbon sinks (adams et al., 2010; anderegg et al., 2013).",NA
mf,contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,impacts,climate change implications,point or plot scale,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),"45.4404143,-117.4135942","forest: temperate, grassland: temperate","0502 - middle snake - powder, 0601 - lower snake","gridded, point data collected specifically for this study, point data not collected specifically for this study",ecology,"species invasion, range shifts, forest ecology, temperature, precipitation, soils, management",NA,NA,NA
am,baseflow recession analysis in the inland pacific northwest of the united states,166,impacts,climate change implications,point or plot scale,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),"45.9251896,-116.1373441",NA,NA,points in an observation network (e.g. snotel),hydrology,"temperature, precipitation,streamflow/stream forecasting, groundwater, water quantity",climate change connection is somewhat tenuous,NA,NA
cmc,the controversial management of fire in the national forests of idaho and western montana,167,adaptation,climate change implications,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","idaho, montana",forest: temperate,"0101 - kootenai, 0102 - pend oreille, 0401 - snake headwaters, 0402 - upper snake, 0501 - middle snake - boise, 0502 - middle snake - powder, 0601 - lower snake, 0602 - salmon, 0603 - clearwater",review,forestry,"temperature, precipitation, wildfire, forest ecology, policy, management",sort of a weird review paper. questions reflected in next cell.,"in ponderosa pine–douglas-fir forests of the montane zone, how have fire regimes evolved and contributed to shape these forests? why and how have fire management and associated methods evolved? to what extent are the objectives and results of the usfs’s management practices consistent with existing scientific opinions?
",NA
am,"managing for climate change on federal lands of the western united states: perceived usefulness of climate science, effectiveness of adaptation strategies, and barriers to implementation",168,adaptation,NA,point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)",idaho and montana,forest: temperate,"0101 - kootenai, 0102 - pend oreille, 0401 - snake headwaters, 0402 - upper snake, 0501 - middle snake - boise, 0502 - middle snake - powder, 0601 - lower snake, 0602 - salmon, 0603 - clearwater","primary social data (e.g., interviews conducted for this study), secondary social data (e.g., census data, existing survey data), policy data",policy or management,"timber production/silviculture, attitudes and beliefs, policy, management, forest ecology",NA,"looks at how relevant climate science is for usfs managers via interviews - might be a relevant paper to talk about in intro or dicussion. in general, seems like managers have trouble findings climate science useful.",NA
cmc,"debris flow initiation in proglacial gullies on mount rainier, washington",169,impacts,climate change implications,point or plot scale,100 km2 - 500 km2 (huc 12 is 100 km2),"46.78, -121.75",alpine tundra,"0200 - upper columbia, 0800 - lower columbia","gridded, points in an observation network (e.g. snotel), point data collected specifically for this study, point data not collected specifically for this study",geology,"glaciers, streamflow/stream forecasting, river geomorphology and restoration, forest ecology, debris flows,temperature, precipitation, snow, glaciers, water quality, community resilience (human), management",NA,NA,NA
am,diversifying managed forests to increase resilience,170,adaptation,NA,point or plot scale,1500 km2 - 25000 km2 (huc 8 is 1800 km2; latah county is 2800 km2),"49.4148277,-120.5345231",forest: temperate,okanagan (canada),gridded or polygons,forestry,"temperature, precipitation,pests and disease, range shifts, timber production/silviculture, forest ecology, management",NA,NA,NA
cmc,an assessment of methods and remote-sensing derived covariates for regional predictions of 1 km daily maximum air temperature,172,impacts,climate change implications,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)",>1km2 - 10km2 (city of moscow is 2.6 km2),oregon,"alpine/tundra, grassland: temperate, forest: temperate, desert: semi-arid desert","0200 - upper columbia, 0501 - middle snake - boise, 0502 - middle snake - powder, 0601 - lower snake, 0701 - middle columbia, 0702 - john day, 0703 - deschutes, 0800 - lower columbia, 0900 - willamette","gridded or polygons, points in an observation network (e.g. snotel)",meteorology and climatology,"temperature, precipitation, snow, agriculture","great paper, so clearly a geography paper.",global historical climatology network assembled by the national oceanic and atmospheric administration,NA
cmc,behavior and nutritional condition buffer a large-bodied endotherm against direct and indirect effects of climate,173,impacts,climate change implications,point or plot scale,100 km2 - 500 km2 (huc 12 is 100 km2),"starkey; 45.130, -118.31 and  inl; 43.400, -112.410","forest: temperate, desert: semi-arid desert, grassland: temperate","0402 - upper snake, 0601 - lower snake","gridded or polygons, points in an observation network (e.g. snotel), point data collected specifically for this study",ecology,"temperature, terrestrial wildlife, animal behavior, range shifts",comparative study of two distinct sites in the crb,NA,NA
am,idiosyncratic responses of grizzly bear habitat to climate change based on projected food resource changes,174,impacts,"projected impacts, climate change implications",point or plot scale,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2)","50.4350248,-125.7946621","alpine/tundra, grassland: temperate, forest: temperate","kooteney (canada), columbia (canada)","gridded or polygons, point data not collected specifically for this study",ecology,"temperature, precipitation, terrestrial wildlife, forest ecology, range shifts",NA,NA,NA
