reviewer,title,paper_id,inclusion_IAM,impacts,resolution,extent,location,biome,huc6,data_type,discipline,topic,concerns,notes1,notes2
AM,Groundwater dynamics mediate low-flow response to global warming in snow-dominated alpine regions,6,Impacts,Projected impacts,1-900 m2 (1-30m; Landsat size or smaller),>10km2 - 100km2 (smaller than HUC 12),"44.3688436,-122.5568598",Alpine/tundra,0900 - Willamette,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Snow, Streamflow/stream forecasting, Groundwater",NA,NA,NA
SH,Groundwater dynamics mediate low-flow response to global warming in snow-dominated alpine regions,6,Impacts,Projected impacts,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"44.2243516,-122.1995577; 44.1542012,-122.8601981",Alpine/tundra,0900 - Willamette,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Snow, Streamflow/stream forecasting, Groundwater",NA,NA,NA
AM,Relative Abundance and Functional Role of Whitebark Pine at Treeline in the Northern Rocky Mountains,7,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","51.2056255,-116.0829526","Alpine/tundra, Forest: temperate","0102 - Pend Oreille, Kooteney (Canada)","Point data collected specifically for this study, Point data NOT collected specifically for this study",Biology,"Range Shifts, Forest Ecology, Pests and disease",NA,NA,NA
PE,Relative Abundance and Functional Role of Whitebark Pine at Treeline in the Northern Rocky Mountains,7,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","51.0770982,-118.2554909","Alpine/tundra, Forest: temperate","0102 - Pend Oreille, Kooteney (Canada)","Point data collected specifically for this study, Point data NOT collected specifically for this study",Biology,"Range Shifts, Forest Ecology, Pests and disease",NA,NA,NA
AM,Climate indices and mountain pine beetle-killing temperatures,8,Impacts,Climate change implications,Point or plot scale,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",British Columbia,Forest: temperate,"Columbia (Canada), Okanagan (Canada)",Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation, Snow, Species Invasion, Pests and disease, Range Shifts, Timber production/Silviculture, Forest Ecology",NA,NA,NA
DH,Climate indices and mountain pine beetle-killing temperatures,8,Impacts,Climate change implications,Point or plot scale,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)","British Columbia, 51.2990275,-116.9850559",Forest: temperate,"Columbia (Canada), Okanagan (Canada)",Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation, Snow, Species Invasion, Pests and disease, Range Shifts, Timber production/Silviculture, Forest Ecology",NA,NA,NA
AM,"Climate extreme and its linkage to regional drought over Idaho, USA.",9,Impacts,"Climate change implications, Observed impacts",Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Idaho,"Alpine tundra, Grassland: temperate, Forest: temperate","0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater",Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation, Drought",NA,NA,"""The result indicates that decreasing trends and increasing trends are identified for precipitation and temperature, respectively"""
CMC,"Climate extreme and its linkage to regional drought over Idaho, USA
",9,Impacts,"Climate change implications, Observed impacts",Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Idaho,"Alpine tundra, Grassland: temperate, Forest: temperate","0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater",Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation, Drought",A really nice one for Idaho specific climate questions.,NA,NA
DH,"Long-duration drought variability and impacts on ecosystem services: A case study from Glacier National Park, Montana",10,Impacts,Climate change implications,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)","48.7596128,-113.7870225","Alpine tundra, Forest: temperate",0102 - Pend Oreille,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Meteorology and Climatology,"Temperature, Precipitation, Snow, Salmon, Forest Ecology, Dendrochronology, Agriculture, Management, water quantity",Really close to getting disqualified as paleo.... I would almost nix it but decided to code in none the less to keep the peace,NA,NA
MF,"Long-duration drought variability and impacts on ecosystem services: A case study from Glacier National Park, Montana",10,Impacts,Climate change implications,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)","48.3833368,-113.6188487","Alpine tundra, Forest: temperate",0102 - Pend Oreille,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Meteorology and Climatology,"Temperature, Precipitation, Snow, Salmon, Forest Ecology, Dendrochronology, Agriculture, Management, water quantity",NA,NA,NA
MF,"Future Water Supply and Demand in the Okanagan Basin, British Columbia: A Scenario-Based Analysis of Multiple, Interacting Stressors",11,Impacts,Projected impacts,Point or plot scale,"100 km2 - 1,500 km2",NA,Forest: temperate,Okanagan (Canada),"Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study, Secondary social data (e.g., census data, existing survey data)",Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity, Aquatic habitat, Management, Groundwater",NA,NA,NA
PE,"Future Water Supply and Demand in the Okanagan Basin, British Columbia: A Scenario-Based Analysis of Multiple, Interacting Stressors",11,Impacts,Projected impacts,Point or plot scale,"100 km2 - 1,500 km2","49.8212294,-120.894469",Forest: temperate,Okanagan (Canada),"Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study, Secondary social data (e.g., census data, existing survey data)",Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity, Aquatic habitat, Management, Groundwater",NA,NA,NA
AM,Artificial amplification of warming trends across the mountains of the western United States,12,Impacts,"Observed impacts, Climate change implications",Point or plot scale,Western US and/or Western US plus Canada,Western United States,"Alpine tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert",NA,Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation, Snow",NA,NA,NA
MF,Artificial amplification of warming trends across the mountains of the western United States,12,Impacts,"Observed impacts, Climate change implications",Point or plot scale,Western US and/or Western US plus Canada,Western United States,"Alpine tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert",NA,Points in an observation network (e.g. SNOTEL),Meteorology and Climatology,"Temperature, Precipitation, Snow",NA,"""In the context of a warming climate, this artificial amplification of mountain climate trends has likely compromised our ability to accurately attribute climate change impacts across the mountainous western U.S.""",NA
AM,Ensemble projections of wildfire activity and carbonaceous aerosol concentrations over the western United States in the mid-21st century,13,Impacts,"Projected impacts, Climate change implications",1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2; 1 degree by 1 degree is also in this category),Western US and/or Western US plus Canada,Western United States,"Grassland: temperate, Forest: temperate, Desert: semi-arid desert",NA,Gridded or polygons,"Meteorology and Climatology, Ecology","Temperature, Precipitation, Wildfire",NA,NA,"""The median model results show consistent increases of 24–169% in area burned across much of the western United States in the warmer and drier future atmosphere, regardless of projection method."" - this includes an increase in projected area burned in the Pacific Northwest, though the model is relatively poor in the PNW."
CMC,Ensemble projections of wildfire activity and carbonaceous aerosol concentrations over the western United States in the mid-21st century,13,Impacts,"Projected impacts, Climate change implications",>10km2 - 100km2 (smaller than HUC 12),Western US and/or Western US plus Canada,Western United States,"Grassland: temperate, Forest: temperate, Desert: semi-arid desert",NA,Gridded or polygons,"Meteorology and Climatology, Ecology","Temperature, Precipitation, Wildfire",NA,Good paper to refer to for broad projections about wildfire activity in the western US.,NA
CMC,Coupled daily streamﬂow and water temperature modelling in large river basins,14,Impacts,Climate change implications,NA,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)",NA,N/A (not biome specific or all biomes - see codebook),"All CRB, both US and Canada",NA,Hydrology,"Streamflow/stream forecasting, Water quality, Aquatic habitat",big global modeling effort. Interesting for comparing the CRB to other areas around the world.,NA,NA
MF,Coupled daily streamflow and water temperature modelling in large river basins,14,Impacts,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2, SEVERAL STATES)",Columbia River Basin,N/A (not biome specific or all biomes - see codebook),"All CRB, both US and Canada",Point data NOT collected specifically for this study,Hydrology,"Streamflow/stream forecasting, Water quality, Aquatic habitat",NA,NA,NA
AM,"Evaluating the use of a gridded climate surface for modelling groundwater recharge in a semi-arid region (Okanagan Basin, Canada)",15,Impacts,Climate change implications,"Point or plot scale, 900m2 - 1km2",>10km2 - 100km2 (smaller than HUC 12),"50.2815808,-119.3460014",Forest: temperate,Okanagan (Canada),"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Meteorology and Climatology,"Temperature, Precipitation, Groundwater, Water quantity, Soils, Streamflow/stream forecasting",NA,NA,NA
SH,"Evaluating the use of a gridded climate surface for modelling groundwater recharge in a semi-arid region (Okanagan Basin, Canada)",15,Impacts,Climate change implications,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"50.2354869,-119.4802421",Forest: temperate,Okanagan (Canada),"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Meteorology and Climatology,"Temperature, Precipitation, Groundwater, Water quantity, Soils, Streamflow/stream forecasting",NA,NA,NA
AM,Proposed research on social perception of marker-assisted selection and its role in the forests of British Columbia,16,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,"proposed research only, tenuous or nonexistent climate change connection",NA,NA
PE,Proposed research on social perception of marker-assisted selection and its role in the forests of British Columbia,16,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,This is a proposed study with no specific location in BC,NA,NA
AM,Quantifying Recent Ecological Changes in Remote Lakes of North America and Greenland Using Sediment Diatom Assemblages,17,None of these or not in the CRB,NA,Point or plot scale,Western US and/or Western US plus Canada,"52.792747, -117.864582",NA,NA,"Point data collected specifically for this study, Point data NOT collected specifically for this study",Ecology,"Lacustrine Systems, diatoms, biodiversity",NA,NA,NA
DH,Quantifying Recent Ecological Changes in Remote Lakes of North America and Greenland Using Sediment Diatom Assemblages,17,None of these or not in the CRB,NA,NA,Western US and/or Western US plus Canada,NA,NA,NA,"Point data collected specifically for this study, Point data NOT collected specifically for this study",Ecology,"Lacustrine Systems, diatoms, biodiversity",Not in the CRB,NA,NA
AM,"Glacier change in western North America: influences on hydrology, geomorphic hazards and water quality",18,Impacts,"Observed impacts, Climate change implications",Point or plot scale,Western US and/or Western US plus Canada,Western United States,Alpine tundra,"All CRB, both US and Canada","Points in an observation network (e.g. SNOTEL), Review",Hydrology,"Temperature, Precipitation, Glaciers, Streamflow/stream forecasting, Water quality, Water quantity, Aquatic habitat, Geomorphic hazards",NA,NA,NA
CMC,"Glacier change in western North America: influences on hydrology, geomorphic hazards and water quality",18,Impacts,"Observed impacts, Climate change implications",Point or plot scale,Western US and/or Western US plus Canada,"Western United States, British Columbia, Really it includes glaciers/ glaciated areas across the USA including Alaska",Alpine/tundra,"All CRB, both US and Canada","Points in an observation network (e.g. SNOTEL), Review",Hydrology,"Temperature, Precipitation, Glaciers, Streamflow/stream forecasting, Water quality, Water quantity, Aquatic habitat, Geomorphic hazards",Extent is really large,"In southern BC and the US PNW, there is a tendency
for enhanced winter accumulation when the PNA is in a
negative phase or when ENSO or PDO are in the cold
phases, while reduced accumulation is associated with the
enhanced phase of PNA and the ENSO and PDO warm","The dominance
of negative mass balance conditions and volume loss over
the last few decades indicates that glaciers throughout
western North America are out of equilibrium with the
current climate and, barring a shift to cooler and/or wetter
conditions, will likely continue to retreat over at least
the next decade or so. --Hock et al. (2005) outlined the processes by which
mountain glacier discharge responds to climate warming
and a shift from near-neutral to negative mass balance.
They distinguished between a short-term response to
changes in climate and the extents of snow and firn, and a
long-term response, which includes the change in glacier
area within the catchment."
AM,GRACE storage-runoff hystereses reveal the dynamics of regional watersheds,19,Impacts,Climate change implications,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2; 1 degree by 1 degree is also in this category),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",Columbia River Basin,N/A (not biome specific or all biomes - see codebook),"All CRB, both US and Canada","Gridded, Points in an observation network (e.g. SNOTEL)",Hydrology,"Precipitation, Snow, Streamflow/stream forecasting, Groundwater, Water quantity",NA,NA,NA
MF,GRACE storage-runoff hystereses reveal the dynamics of regional watersheds,19,Impacts,Climate change implications,Point or plot scale,"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",Columbia River Basin,N/A (not biome specific or all biomes - see codebook),"All CRB, both US and Canada","Gridded, Points in an observation network (e.g. SNOTEL)",Hydrology,"Precipitation, Snow, Streamflow/stream forecasting, Groundwater, Water quantity",NA,NA,NA
AM,"Climate change, water rights, and water supply: The case of irrigated agriculture in Idaho",20,Impacts,"Projected impacts, Climate change implications",Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Idaho,Grassland: temperate,"0101 - Kootenai, 0102 - Pend Oreille, 0401 - Snake headwaters, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater","Gridded or polygons, Points in an observation network (e.g. SNOTEL), Secondary social data (e.g., census data, existing survey data), Policy data",Economics,"Temperature, Precipitation, Streamflow/stream forecasting, Agriculture, Policy, Management, Water quantity",Not clear that this is really about mountainous areas.,NA,NA
CMC,"Climate change, water rights, and water supply: The case of irrigated agriculture in Idaho",20,Impacts,"Projected impacts, Climate change implications",Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Idaho,Grassland: temperate,"0101 - Kootenai, 0102 - Pend Oreille, 0401 - Snake headwaters, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater","Gridded or polygons, Points in an observation network (e.g. SNOTEL), Secondary social data (e.g., census data, existing survey data), Policy data",Economics,"Temperature, Precipitation, Streamflow/stream forecasting, Agriculture, Policy, Management, Water quantity",NA,NA,"The increases in precipitation, therefore, may not increase the total water available to irrigated agriculture during the warm season. In addition, precipitation levels in the high-elevation mountain areas have become more variable, upon which much of the streamﬂow used by low elevation agricultural areas depend on during the warm season [Luce et al., 2013]. p9675 Since snowmelt from mountains is the main source of many regional water supplies [Cayan et al., 2001; Stewart et al., 2005; Bales et al., 2006;
"
AM,The influence of variation in host tree monoterpene composition on secondary attraction by an invasive bark beetle: Implications for range expansion and potential host shift by the mountain pine beetle,21,none of these or not in the CRB,NA,Point or plot scale,Point or plot scale,"49.11,-119.177",NA,NA,"Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Ecology,"Pests and disease, Range Shifts, Forest Ecology",It seems like a stretch to say that this paper is about climate change impacts... I'd be okay tossing it out if that's what another reviewer clicks.,NA,NA
SH,The influence of variation in host tree monoterpene composition on secondary attraction by an invasive bark beetle: Implications for range expansion and potential host shift by the mountain pine beetle,21,None of these or not in the CRB,NA,NA,Point or plot scale,NA,NA,NA,NA,Ecology,"Pests and disease, Range Shifts, Forest Ecology",beetles--not really about climate change,NA,NA
AM,Radiative forcing of natural forest disturbances.,22,Impacts,Climate change implications,"Point or plot scale, 900m2 - 1km2",900m2 - 1km2,"43.93,-122.0401514",Forest: temperate,0703 - Deschutes,"Gridded, Point data NOT collected specifically for this study","Forestry, Biology","Pests and disease, Wildfire, Timber production/Silviculture, Soils, Carbon Emissions, Forest Ecology, Climate feedbacks",NA,NA,NA
PE,Radiative forcing of natural forest disturbances.,22,Impacts,Climate change implications,>1km2 - 10km2 (city of Moscow is 2.6 km2),900m2 - 1km2,Oregon,Forest: temperate,0703 - Deschutes,"Gridded, Point data NOT collected specifically for this study","Forestry, Biology","Pests and disease, Wildfire, Timber production/Silviculture, Soils, Carbon Emissions, Forest Ecology, Climate feedbacks","No specification of location, can't provide coordinates, spatial extent, or watershed info",NA,NA
AM,Disruption of the 'disease triangle' by chemical and physical environmental change,23,Impacts,"Projected impacts, Climate change implications",No data,Western US and/or Western US plus Canada,Western United States,Forest: temperate,"All CRB, both US and Canada",No data (example: conceptual modeling only),Biology,"Temperature, Precipitation, Streamflow/stream forecasting, Pests and disease, Community resilience (human), Attitudes and Beliefs, Forest Ecology",Not sure such a conceptual paper really counts as being in the CRB.,NA,NA
DH,Disruption of the 'disease triangle' by chemical and physical environmental change,23,Impacts,"Projected impacts, Climate change implications",Western US and/or Western US plus Canada,Western US and/or Western US plus Canada,Western United States,Forest: temperate,"All CRB, both US and Canada",No data (example: conceptual modeling only),Biology,"Temperature, Precipitation, Streamflow/stream forecasting, Pests and disease, Community resilience (human), Attitudes and Beliefs, Forest Ecology",kinda a weird hypothetical climate change disease perspective,NA,NA
AM,Rapid increases and time-lagged declines in amphibian occupancy after wildfire.,24,Impacts,Climate change implications,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"48.5838247,-114.0040341","Forest: temperate, Freshwater: wetlands",0102 - Pend Oreille,"Gridded, Point data collected specifically for this study",Biology,"Temperature, Precipitation, Aquatic habitat, Range Shifts, Wildfire,Terrestrial wildlife",NA,NA,NA
CMC,Rapid Increases and Time-Lagged Declines in Amphibian Occupancy after Wildﬁre,24,Impacts,Climate change implications,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"48.614473, -114.012969","Forest: temperate, Freshwater: wetlands",0102 - Pend Oreille,"Gridded, Point data collected specifically for this study",Biology,"Temperature, Precipitation, Aquatic habitat, Range Shifts, Wildfire,Terrestrial wildlife",NA,NA,NA
AM,"Interactive effects of wildfire, forest management, and isolation on amphibian and parasite abundance.",25,Impacts,Climate change implications,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"48.6675611,-114.1138973",Forest: temperate,0102 - Pend Oreille,"Gridded, Point data collected specifically for this study",Ecology,"Aquatic habitat, Terrestrial wildlife, Wildfire, Forest Ecology","I think for the purposes of this form, this paper is essentially indistinguishable from another paper by the same author - but they are different papers.",NA,NA
MF,"Interactive effects of wildfire, forest management, and isolation on amphibian and parasite abundance.",25,Impacts,Climate change implications,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"48.6602627,-116.0870981",Forest: temperate,0102 - Pend Oreille,"Gridded, Point data collected specifically for this study",Ecology,"Aquatic habitat, Terrestrial wildlife, Wildfire, Forest Ecology",Amphibians are terrestrial and aquatic - maybe need new category?,NA,NA
AM,Consequences of climate change for biotic disturbances in North American forests.,26,none of these or not in the CRB,NA,NA,NA,NA,NA,NA,Review,Ecology,"Snow, Water quantity, Terrestrial wildlife, Species Invasion, Pests and disease, Wildfire, Forest Ecology, Economics",NA,NA,NA
CMC,Consequences of climate change for biotic disturbances in North American forests,26,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,Review,Ecology,"Snow, Water quantity, Terrestrial wildlife, Species Invasion, Pests and disease, Wildfire, Forest Ecology, Economics",lit review about bark beetles,NA,NA
AM,"Modeling cold tolerance in the mountain pine beetle, Dendroctonus ponderosae",27,Impacts,Climate change implications,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",Idaho,Forest: temperate,"0402 - Upper Snake, 0501 - Middle Snake - Boise","Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Ecology,"Temperature, Pests and disease, Timber production/Silviculture, Forest Ecology",NA,NA,NA
SH,"Modeling cold tolerance in the mountain pine beetle, Dendroctonus ponderosae",27,Impacts,Climate change implications,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)",Idaho,Forest: temperate,"0402 - Upper Snake, 0501 - Middle Snake - Boise","Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Ecology,"Temperature, Pests and disease, Timber production/Silviculture, Forest Ecology",I'm not sure about the extent of this paper or even whether or not to include,NA,NA
AM,Application of a land class hydrological model to climatic change.,28,Impacts,Projected impacts,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","50.1547841,-116.0882144",Forest: temperate,Kooteney (Canada),"Gridded, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity, Soils, Carbon Emissions, Forest Ecology",NA,NA,NA
PE,Application of a land class hydrological model to climatic change.,28,Impacts,Projected impacts,100 km2 - 500 km2 (HUC 12 is 100 km2),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","50.2337744,-115.9197164",Forest: temperate,Kooteney (Canada),"Gridded, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity, Soils, Carbon Emissions, Forest Ecology",Also addresses changes in evapotranspiration of vegetation,NA,NA
AM,"Relative impact of anthropogenic modifications versus climate change on the natural flow regimes of rivers in the Northern Rocky Mountains, United States.",29,Impacts,Observed impacts,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","46.44435,-114.2282207",N/A (not biome specific or all biomes - see codebook),"0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0501 - Middle Snake - Boise, 0602 - Salmon, 0603 - Clearwater","Gridded, Points in an observation network (e.g. SNOTEL), Secondary social data (e.g., census data, existing survey data)",Hydrology,"Temperature, Streamflow/stream forecasting, Water quantity, Agriculture, Dams and reservoirs, population density and urbanization",NA,NA,"""direct basin anthropogenic modifications such as damming, irrigation, and urbanization have caused a decrease in the difference between the minimum and maximum annual discharges and a decrease in the daily variations of flows across the Northern Rocky Mountains. In general, direct anthropogenic modifications of the river basins have altered the flow regimes to a much greater extent than climate change."""
DH,"Relative impact of anthropogenic modifications versus climate change on the natural flow regimes of rivers in the Northern Rocky Mountains, United States.",29,Impacts,Observed impacts,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Idaho, Wyoming, Montana",N/A (not biome specific or all biomes - see codebook),"0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0501 - Middle Snake - Boise, 0602 - Salmon, 0603 - Clearwater","Gridded, Points in an observation network (e.g. SNOTEL), Secondary social data (e.g., census data, existing survey data)",Hydrology,"Temperature, Streamflow/stream forecasting, Water quantity, Agriculture, Dams and reservoirs, population density and urbanization",NA,NA,NA
