reviewer,title,paper_id,inclusion_IAM,projected,observed,biome,extent,huc6,location,discipline,topic,concerns,notes1,notes2,new_data
tl,potential effects of climate change on streambed scour and risks to salmonid survival in snow-dominated mountain basins,283,impacts,yes,no,freshwater: streams and rivers,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),0602 - salmon (includes bitterroot mt.s),na/not appropriate for point data,"meteorology and climatology, hydrology, geology, biology, ecology","temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, salmon, non-anadromous fish, aquatic habitat, management",a little unclear whether just ecology or ecology and biology should be noted,from abstract: our approach can be used to prioritize management strategies according to relative risk to different species or spatial distributions of risk and can be used to predict temporal shifts in the spatial distribution of suitable spawning habitats.,"from abstract: a general framework is presented to examine this issue, using a series of physical models that link climate change, streamflow, and channel morphology to predict the magnitude and spatial distribution of streambed scour and consequent risk to salmonid embryos at basin scales. the approach is demonstrated for a mountain catchment in the northern rocky mountains, usa.",no
mf,potential effects of climate change on streambed scour and risks to salmonid survival in snow-dominated mountain basins,283,impacts,yes,no,freshwater: streams and rivers,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),0602 - salmon (includes bitterroot mt.s),na/not appropriate for point data,"meteorology and climatology, hydrology, geology, biology, ecology","temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, salmon, non-anadromous fish, aquatic habitat, management",NA,NA,NA,no
cc,oregon hydrologic landscapes: a classification framework,284,impacts,no,no,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all oregon,na/not appropriate for point data,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, lacustrine systems, groundwater, water quality, water quantity, river geomorphology and restoration, soils",NA,watershed classification scheme for oregon,NA,no
mf,oregon hydrologic landscapes: a classification framework,284,impacts,no,no,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all oregon,na/not appropriate for point data,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, lacustrine systems, groundwater, water quality, water quantity, river geomorphology and restoration, soils",NA,NA,NA,no
mf,"glacier change of the columbia icefield, canadian rocky mountains, 1919-2009",285,impacts,no,yes,alpine/tundra,"100 km2 - 1,500 km2",columbia (canada),"46.735751,-117.0095872","hydrology, geology","temperature, glaciers",NA,NA,NA,no
sh,"glacier change of the columbia icefield, canadian rocky mountains, 1919-2009",285,impacts,no,yes,alpine/tundra,"100 km2 - 1,500 km2",columbia (canada),"46.735751,-117.0095872","hydrology, geology","temperature, glaciers",NA,NA,NA,no
mf,climate and streamflow trends in the columbia river basin: evidence for ecological and engineering resilience to climate change,286,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0200 - upper columbia, 0402 - upper snake, 0501 - middle snake - boise (mica creek exp. for.), 0502 - middle snake - powder, 0601 - lower snake, 0602 - salmon (includes bitterroot mt.s), 0900 - willamette (hj andrews experimental forest)",this study includes a case study map with more than 5 study locations over large extent,"meteorology and climatology, hydrology, policy or management","temperature, precipitation, streamflow/stream forecasting",NA,NA,NA,no
sh,climate and streamflow trends in the columbia river basin: evidence for ecological and engineering resilience to climate change,286,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0200 - upper columbia, 0402 - upper snake, 0501 - middle snake - boise (mica creek exp. for.), 0502 - middle snake - powder, 0601 - lower snake, 0602 - salmon (includes bitterroot mt.s), 0900 - willamette (hj andrews experimental forest)",this study includes a case study map with more than 5 study locations over large extent,"meteorology and climatology, hydrology, policy or management","temperature, precipitation, streamflow/stream forecasting, community resilience (human), policy, management",NA,NA,NA,no
mf,landscape-scale analysis of aboveground tree carbon stocks affected by mountain pine beetles in idaho,287,impacts,no,no,forest: temperate,1-100 km2 (huc 12 is 100 km2),0602 - salmon (includes bitterroot mt.s),"44.3,-115.1021887","forestry, ecology","pests and disease, carbon sequestration; remote sensing",NA,NA,NA,yes
am,landscape-scale analysis of aboveground tree carbon stocks affected by mountain pine beetles in idaho,287,impacts,no,no,forest: temperate,1-100 km2 (huc 12 is 100 km2),0602 - salmon (includes bitterroot mt.s),"44.3,-115.1021887","forestry, ecology","pests and disease, carbon sequestration; remote sensing",NA,NA,NA,yes
tl,"climatic, landform, microtopographic, and overstory canopy controls of tree invasion in a subalpine meadow landscape, oregon cascades, usa",288,impacts,no,yes,forest: temperate,point or plot scale,0900 - willamette (hj andrews experimental forest),"jefferson park; 44.6889305,-121.8345545",ecology,"temperature, precipitation, snow, species invasion, forest ecology, soils",site is subalpine meadow-tundra alpine not really appropriate;,"from discussion: ""we propose that regional climate in the form of snow strongly influences temporal patterns of tree invasion in this system, while snow depth mediated by micro-topography and overstory vegetation within the land-scape context of larger landforms shapes the spatial patterns of tree invasion, resulting in complex tree invasion responses to climate over time.""","from abstract: ""the importance of snow, uncertain climate change impacts on snow, and mediation of snow by interacting and context depen-dent factors in complex mountain terrain poses substantial hurdles for understanding how these eco-tones may respond to future climate conditions.""",yes
mf,"climatic, landform, microtopographic, and overstory canopy controls of tree invasion in a subalpine meadow landscape, oregon cascades, usa",288,impacts,no,yes,forest: temperate,point or plot scale,0900 - willamette (hj andrews experimental forest),"jefferson park; 44.6889305,-121.8345545",ecology,"temperature, precipitation, snow, species invasion, forest ecology, soils",NA,NA,NA,yes
mf,"perspectives on climate change, mountain hydrology, and water resources in the oregon cascades, usa",289,adaptation,no,yes,n/a (not biome specific or all biomes - see codebook),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",0900 - willamette (hj andrews experimental forest),"willamette river; 44.8324362,-124.0572886","meteorology and climatology, hydrology, anthropology/sociology","temperature, precipitation, snow, streamflow/stream forecasting, water quality, water quantity, aquatic habitat, terrestrial wildlife, community resilience (human), policy, management",NA,NA,NA,no
cc,"perspectives on climate change, mountain hydrology, and water resources in the oregon cascades, usa",289,adaptation,no,yes,n/a (not biome specific or all biomes - see codebook),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",0900 - willamette (hj andrews experimental forest),"willamette river; 44.8324362,-124.0572886","meteorology and climatology, hydrology, anthropology/sociology","temperature, precipitation, snow, streamflow/stream forecasting, water quality, water quantity, aquatic habitat, terrestrial wildlife, community resilience (human), policy, management",envision framework; this is definitely worth revisiting in our analysis,NA,NA,no
mf,modeling interannual variability in snow-cover development and melt for a semiarid mountain catchment,290,impacts,no,yes,"forest: temperate, desert: semi-arid desert",1-100 km2 (huc 12 is 100 km2),0501 - middle snake - boise (mica creek exp. for.),"reynolds creek experimental watershed; 43.238183,-116.8531838",hydrology,"precipitation, snow, streamflow/stream forecasting, water quantity, soils",NA,NA,NA,no
mf,modeling interannual variability in snow-cover development and melt for a semiarid mountain catchment,290,impacts,no,yes,"forest: temperate, desert: semi-arid desert",1-100 km2 (huc 12 is 100 km2),"0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.)","reynolds creek experimental watershed; 43.238183,-116.8531838",hydrology,"precipitation, snow, streamflow/stream forecasting, water quantity, soils",NA,NA,NA,no
sh,modeling interannual variability in snow-cover development and melt for a semiarid mountain catchment,290,impacts,no,yes,"forest: temperate, desert: semi-arid desert",1-100 km2 (huc 12 is 100 km2),"0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.)","reynolds creek experimental watershed; 43.238183,-116.8531838",hydrology,"precipitation, snow, streamflow/stream forecasting, water quantity, soils",NA,NA,NA,no
mf,modeling interannual variability in snow-cover development and melt for a semiarid mountain catchment,290,impacts,no,yes,"forest: temperate, desert: semi-arid desert",1-100 km2 (huc 12 is 100 km2),"0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.)","reynolds creek experimental watershed; 43.238183,-116.8531838",hydrology,"precipitation, snow, streamflow/stream forecasting, water quantity, soils",NA,NA,NA,no
pe,small soil storage capacity limits benefit of winter snowpack to upland vegetation,291,impacts,no,no,"forest: temperate, desert: semi-arid desert",1-100 km2 (huc 12 is 100 km2),"0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.)","dry creek experimental watershed; 43.7302536,-116.8469864","hydrology, geology","temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, groundwater, water quantity, soils",NA,NA,NA,yes
mf,small soil storage capacity limits benefit of winter snowpack to upland vegetation,291,impacts,no,no,"forest: temperate, desert: semi-arid desert",1-100 km2 (huc 12 is 100 km2),"0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.)","dry creek experimental watershed; 43.7302536,-116.8469864","hydrology, geology","temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, groundwater, water quantity, soils",NA,NA,NA,yes
mf,"estimates of future flow, including extremes, of the columbia river headwaters",292,impacts,yes,yes,n/a (not biome specific or all biomes - see codebook),"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",columbia (canada),"donald, bc; 51.5053566,-117.2075727",hydrology,"temperature, precipitation, snow, glaciers, streamflow/stream forecasting, water quality, soils",NA,NA,NA,no
am,"estimates of future flow, including extremes, of the columbia river headwaters",292,impacts,yes,yes,n/a (not biome specific or all biomes - see codebook),"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)",columbia (canada),"donald, bc; 51.5053566,-117.2075727",hydrology,"temperature, precipitation, snow, glaciers, streamflow/stream forecasting, water quality, soils",NA,NA,"""we ﬁnd evidence that the projected changes are elevation dependent and relatively small scale, with decreasing signals with higher elevations. all models project a shift of the hydrograph toward a more rain-fed regime, with peak ﬂows occurring in june instead of july. annual peak ﬂow is projected to not increase, and august low ﬂow decreases in all four models. with nonshrinking (static) glaciers, relatively high melting rates are simulated for august andseptember that partly compensate for the shifted hydrograph; this enhanced glacier melt is also detected in simulated historic columbia headwater ﬂow.""",no
mf,changes in spring snowpack for selected basins in the united states for different climate-change scenarios,293,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,"0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0300 - yakima",study includes one case study point in the crb and many others across the country or international,"meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity","this option: ""study includes one case study point in the crb and many others across the country or international"" maybe should be moved to spatial extent?",NA,NA,no
am,changes in spring snowpack for selected basins in the united states for different climate-change scenarios,293,impacts,yes,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,"0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), 0300 - yakima","study includes one case study point in the crb and many others across the country or international, naches river; 46.8046512,-121.0946584; south fork flathead river; 48.3635597,-114.0859032","meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity",NA,NA,NA,no
mf,"climate determines upper, but not lower, altitudinal range limits of pacific northwest conifers",294,impacts,no,no,forest: temperate,1-100 km2 (huc 12 is 100 km2),0800 - lower columbia (southeast mount rainier),this study includes a case study map with more than 5 study locations over large extent,ecology,"temperature, precipitation, snow, species range shifts, forest ecology, dendrochronology",is about tree adaptation,NA,NA,yes
am,"climate determines upper, but not lower, altitudinal range limits of pacific northwest conifers",294,impacts,no,no,forest: temperate,1-100 km2 (huc 12 is 100 km2),0800 - lower columbia (southeast mount rainier),this study includes a case study map with more than 5 study locations over large extent,ecology,"temperature, precipitation, snow, species range shifts, forest ecology, dendrochronology",NA,NA,"climate constrains growth at treeline, will be more difficult to predict climate impacts within forests (due to more biotic interactions).",yes
cc,"climate determines upper, but not lower, altitudinal range limits of pacific northwest conifers",294,impacts,no,no,forest: temperate,"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)",0800 - lower columbia (southeast mount rainier),this study includes a case study map with more than 5 study locations over large extent,ecology,"temperature, precipitation, snow, species range shifts, forest ecology, dendrochronology",NA,considers an attitudinal gradient,NA,yes
mf,"influences of the biophysical environment on blister rust and mountain pine beetle, and their interactions, in whitebark pine forests",295,impacts,no,no,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0601 - lower snake, 0602 - salmon (includes bitterroot mt.s), 0703 - deschutes",NA,"forestry, ecology","temperature, precipitation, pests and disease, forest ecology, dendrochronology",NA,NA,NA,yes
sh,"influences of the biophysical environment on blister rust and mountain pine beetle, and their interactions, in whitebark pine forests",295,impacts,no,no,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)","0601 - lower snake, 0602 - salmon (includes bitterroot mt.s), 0703 - deschutes",NA,"forestry, ecology","temperature, precipitation, pests and disease, forest ecology, dendrochronology",NA,NA,NA,yes
mf,modeling the effects of developmental variation on insect phenology,296,impacts,no,no,forest: temperate,point or plot scale,0602 - salmon (includes bitterroot mt.s),"sawtooth national recreation area; 44.1274464,-122.8263493",biology,"temperature, pests and disease, entomology, timber production/silviculture, management, mathematics",about mountain pine beetle adaptation,NA,NA,yes
pe,modeling the effects of developmental variation on insect phenology,296,impacts,no,no,forest: temperate,point or plot scale,0602 - salmon (includes bitterroot mt.s),"sawtooth national recreation area; 44.1274464,-122.8263493",biology,"temperature, pests and disease, entomology, timber production/silviculture, management, mathematics",NA,NA,NA,yes
mf,effects of climate change and wildfire on stream temperatures and salmonid thermal habitat in a mountain river network,297,impacts,no,yes,freshwater: streams and rivers,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)","0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.)","north fork boise river; 44.1274464,-122.8263493",ecology,"temperature, snow, streamflow/stream forecasting, river geomorphology and restoration, water quality, water quantity, salmon/anadromous fish, aquatic habitat, wildfire, forest ecology",NA,NA,NA,yes
am,effects of climate change and wildfire on stream temperatures and salmonid thermal habitat in a mountain river network,297,impacts,no,yes,freshwater: streams and rivers,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)","0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.)","north fork boise river; 44.1274464,-122.8263493",ecology,"temperature, snow, streamflow/stream forecasting, river geomorphology and restoration, water quality, water quantity, salmon/anadromous fish, aquatic habitat, wildfire, forest ecology",NA,NA,NA,yes
am,on glacier retreat and drought cycles in the rocky mountains of montana and canada,298,impacts,no,yes,alpine/tundra,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)","0101 - kootenai, 0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), kooteney (canada)",na/not appropriate for point data,meteorology and climatology,"temperature, precipitation, glaciers, climate oscilations (enso, pdo)",NA,NA,NA,no
sh,on glacier retreat and drought cycles in the rocky mountains of montana and canada,298,impacts,no,yes,alpine/tundra,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)","0101 - kootenai, 0102 - pend oreille (glacier np; priest river experimental forest; bitterroot mt.s), kooteney (canada)",na/not appropriate for point data,meteorology and climatology,"temperature, precipitation, glaciers, climate oscilations (enso, pdo)",NA,NA,NA,no
mf,optimized flood control in the columbia river basin for a global warming scenario,299,adaptation,yes,no,n/a (not biome specific or all biomes - see codebook),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","all crb, both us and canada (if this is selected then do not select the states as well)",na/not appropriate for point data,"hydrology, policy or management","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, management",NA,NA,NA,no
am,optimized flood control in the columbia river basin for a global warming scenario,299,adaptation,yes,no,n/a (not biome specific or all biomes - see codebook),"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","all crb, both us and canada (if this is selected then do not select the states as well)",na/not appropriate for point data,"hydrology, policy or management","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, management",NA,NA,climate change will disrupt the balance between flood control and reservoir refill objectives; need to adapt rule curves.,no
sh,modeling tamarisk (tamarix spp.) habitat and climate change effects in the northwestern united states,300,impacts,yes,no,"grassland: temperate, forest: temperate, desert: semi-arid desert","pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,ecology,"temperature, precipitation, species invasion, species range shifts, forest ecology, management",NA,NA,NA,no
mf,modeling tamarisk (tamarix spp.) habitat and climate change effects in the northwestern united states,300,impacts,yes,no,"grassland: temperate, forest: temperate, desert: semi-arid desert","pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,ecology,"temperature, precipitation, species invasion, species range shifts, forest ecology, management",NA,NA,NA,no
mf,mountain pine beetle and forest carbon feedback to climate change,301,impacts,yes,no,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all in crb canada,na/not appropriate for point data,forestry,"temperature, pests and disease, species range shifts, wildfire, timber production/silviculture, management, carbon emissions, carbon cycle",NA,NA,NA,no
pe,mountain pine beetle and forest carbon feedback to climate change,301,impacts,yes,no,forest: temperate,"larger than 40,000km2 but less than the pacific northwest (e.g., idaho is 216,000 km2, several states)",all in crb canada,na/not appropriate for point data,forestry,"temperature, pests and disease, species range shifts, wildfire, timber production/silviculture, management, carbon emissions, carbon cycle",NA,NA,NA,no
am,anticipated climate warming effects on bull trout habitats and populations across the interior columbia river basin,302,impacts,yes,no,freshwater: streams and rivers,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"biology, ecology","temperature, streamflow/stream forecasting, water quality, non-anadromous fish, aquatic habitat, species range shifts",NA,NA,NA,no
mf,anticipated climate warming effects on bull trout habitats and populations across the interior columbia river basin,302,impacts,yes,no,freshwater: streams and rivers,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)",all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"biology, ecology","temperature, streamflow/stream forecasting, water quality, non-anadromous fish, aquatic habitat, species range shifts",NA,NA,NA,no
mf,mountain hydrology of the western united states,304,adaptation,no,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, groundwater, management",NA,NA,NA,no
am,mountain hydrology of the western united states,304,adaptation,no,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, groundwater, management",NA,NA,review/description of science needs in mountain hydrology of western us in modern conditions (including climate change),no
pe,flow regime alterations under changing climate in two river basins: implications for freshwater ecosystems,307,impacts,yes,no,freshwater: streams and rivers,"100 km2 - 1,500 km2",0300 - yakima,"47.1935566,-123.1729634","hydrology, ecology","temperature, precipitation, snow, streamflow/stream forecasting, water quality, water quantity, river geomorphology and restoration, salmon/anadromous fish, non-anadromous fish, aquatic habitat, management",NA,NA,NA,no
mf,flow regime alterations under changing climate in two river basins: implications for freshwater ecosystems,307,impacts,yes,no,freshwater: streams and rivers,"100 km2 - 1,500 km2",0300 - yakima,"47.1935566,-123.1729634","hydrology, ecology","temperature, precipitation, snow, streamflow/stream forecasting, water quality, water quantity, river geomorphology and restoration, salmon/anadromous fish, non-anadromous fish, aquatic habitat, management",NA,NA,NA,no
am,declining mountain snowpack in western north america,308,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,"all crb, both us and canada (if this is selected then do not select the states as well)",na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscilations (enso, pdo)",NA,NA,NA,no
mf,declining mountain snowpack in western north america,308,impacts,no,yes,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,"all crb, both us and canada (if this is selected then do not select the states as well)",na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscilations (enso, pdo)",NA,NA,NA,no
mf,fire-induced erosion and millennialscale climate change in northern ponderosa pine forests,309,impacts,no,yes,forest: temperate,"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)","0401 - snake headwaters (yellowstone np and tetons np), 0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.)","boise river, 43.8207316,-117.0960299; yellowstone, 44.3496074,-110.7519439","forestry, ecology","temperature, precipitation, wildfire, timber production/silviculture, forest ecology, dendrochronology",NA,NA,NA,yes
cc,fire-induced erosion and millennialscale climate change in northern ponderosa pine forests,309,impacts,no,yes,forest: temperate,"25,000 km2 - 40,000km2 (huc 6 is 27,443 km2)","0401 - snake headwaters (yellowstone np and tetons np), 0501 - middle snake - boise (reynolds cr. exp. ws., dry cr. exp. ws.)","boise river, 43.8207316,-117.0960299; yellowstone, 44.3496074,-110.7519439","forestry, ecology","temperature, precipitation, wildfire, timber production/silviculture, forest ecology, dendrochronology",NA,NA,NA,yes
mf,characteristics of the western united states snowpack from snowpack telemetry (snotel) data,310,impacts,no,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow",NA,NA,NA,no
am,characteristics of the western united states snowpack from snowpack telemetry (snotel) data,310,impacts,no,no,n/a (not biome specific or all biomes - see codebook),western us and/or western us plus canada,all in crb u.s. (if this is selected then do not select the states as well),na/not appropriate for point data,"meteorology and climatology, hydrology","temperature, precipitation, snow",NA,NA,NA,no
am,"carbon implications of current and future effects of drought, fire and management on pacific northwest forests",311,mitigation,no,no,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","all crb, both us and canada (if this is selected then do not select the states as well)",na/not appropriate for point data,"forestry, ecology","temperature, precipitation, timber production/silviculture, forest ecology, management, carbon emissions",NA,NA,NA,no
mf,"carbon implications of current and future effects of drought, fire and management on pacific northwest forests",311,mitigation,no,no,forest: temperate,"pacific northwest (e.g., idaho, washington, and oregon) - about huc 2 size (660,000 km2)","all crb, both us and canada (if this is selected then do not select the states as well)",na/not appropriate for point data,"forestry, ecology","temperature, precipitation, timber production/silviculture, forest ecology, management, carbon emissions",NA,NA,NA,no
mf,projected future vegetation changes for the northwest united states and southwest canada at a fine spatial resolution using a dynamic global vegetation model,312,impacts,yes,no,"alpine/tundra, grassland: temperate, forest: temperate, desert: semi-arid desert",western us and/or western us plus canada,"all crb, both us and canada (if this is selected then do not select the states as well)",na/not appropriate for point data,ecology,"temperature, precipitation, species range shifts, forest ecology, management, plant ecology",NA,NA,NA,no
