"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3DK7UQ56","journalArticle","2011","Maltby, Edward; Acreman, Mikec","Ecosystem services of wetlands: pathfinder for a new paradigm","Hydrological Sciences Journal","","0262-6667","10.1080/02626667.2011.631014","","Ecosystem services are natural assets produced by the environment and utilized by humans -- such as clean air, water, food and materials -- and contribute to social and cultural well-being. This concept, arguably, has been developed further in wetlands than any other ecosystem. Wetlands were historically important in producing the extensive coal deposits of the Carboniferous period; key steps in human development took place in communities occupying the wetland margins of rivers, lakes and the sea; and wetlands play a key role in the hydrological cycle influencing floods and river droughts. In this paper we examine three pillars that support the wetland research agenda: hydrology, wetland origins and development, and linkages to society. We investigate these through an overview of the evolution of wetland science and assessment of the wide range of topics relating to ecosystem services covered in this Special Issue. We explain the seminal change in how modern society values the benefits of natural ecosystems and highlight the pathfinder role that wetland research has played in the paradigm shift. D. Koutsoyiannis and Z.W. Kundzewicz Maltby, E. and Acreman, M.C., 2011. Ecosystem services of wetlands: pathfinder for a new paradigm. , 56 (8), 1341–1359.","2011","2016-04-27 03:48:43","2016-04-27 03:48:43","","1341–1359","","8","56","","","Ecosystem services of wetlands","","","","","","","","","","","","search.lib.uidaho.edu","","","","","","","Changement De Paradigme; Ecosystem Services; Fonctions Hydrologiques; Hydrological Functions; Paradigm Shift; Services Écosystémiques; Wetlands; Zones Humides","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3EJWP2HE","journalArticle","2005","Campbell, Lisa M.","Overcoming obstacles to interdisciplinary research","Conservation biology","","","","http://onlinelibrary.wiley.com/doi/10.1111/j.1523-1739.2005.00058.x/full","","2005","2016-06-09 20:30:04","2016-06-09 20:30:04","2016-06-09 20:30:04","574–577","","2","19","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\BPIMMRZU\full.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3R57NXGJ","journalArticle","1994","Reckhow, Kenneth H.","Water quality simulation modeling and uncertainty analysis for risk assessment and decision making","Ecological Modelling","","","","http://www.sciencedirect.com/science/article/pii/0304380094901430","","1994","2016-02-10 14:53:19","2016-02-10 14:53:19","2016-02-10 14:53:19","1–20","","1","72","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\K6QTFPKD\Reckhow - 1994 - Water quality simulation modeling and uncertainty .pdf; C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\WIZRE24B\0304380094901430.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3RBIPDT7","journalArticle","2010","Goodchild, Michael F.; Janelle, Donald G.","Toward critical spatial thinking in the social sciences and humanities","GeoJournal","","","","http://link.springer.com/article/10.1007/s10708-010-9340-3","","2010","2016-06-08 19:57:50","2016-06-08 19:57:50","2016-06-08 19:57:50","3–13","","1","75","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\4HT59U67\PMC2863328.html; C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\G8DMEPDK\s10708-010-9340-3.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3RISG5PB","book","2010","Douglas L. Grant; Gregory S. Weber","Cases and Materials on Water Law, 8th Edition (American Casebook)","","","","","","","2010-03-02","2016-02-24 03:31:24","2016-02-24 03:34:10","","","","","","","","","American Casebook","","","","West","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8th Edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3RXD6RGB","journalArticle","1990","Waggoner, Paul E.","Climate change and US water resources","","","","","http://www.osti.gov/scitech/biblio/5765798","","1990","2016-02-10 14:53:19","2016-02-10 14:53:19","2016-02-10 14:53:19","","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\9QPZWRZ7\5765798.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42BBK3SB","journalArticle","2000","Meretsky, Vicky J.","Balancing Endangered Species and Ecosystems: A Case Study of Adaptive Management in Grand Canyon","Environmental Management","","0364-152X, 1432-1009","10.1007/s002670010045","http://link.springer.com/10.1007/s002670010045","","2000-05-31","2016-10-12 01:59:03","2016-10-12 01:59:03","2016-10-12 01:59:03","579-586","","6","25","","","Balancing Endangered Species and Ecosystems","","","","","","","","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4E52FMC7","journalArticle","2014","Fogg, A M; Roberts, L J; Burnett, R D","Occurrence patterns of Black-backed Woodpeckers in green forest of the Sierra Nevada Mountains, California, USA","Avian Conservation and Ecology","","17126568","","http://ida.lib.uidaho.edu:2048/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ffw&AN=1096764&site=ehost-live&scope=site","Black-backed Woodpeckers ( Picoides arcticus ) are a rare habitat specialist typically found in moderate and high severity burned forest throughout its range. It also inhabits green forest but little is known about occurrence and habitat use patterns outside of burned areas, especially in the Sierra Nevada of California, USA. We used point count and playback surveys to detect Black-backed Woodpeckers during 2011 – 2013 on 460 transects on 10 national forest units. We defined green forest as areas that had not burned at moderate or high severity since 1991 and were more than 2 km from areas burned at moderate or high severity within the previous eight years (n = 386 transects). We used occupancy models to examine green forest habitat associations and found positive relationships with elevation, latitude, northern aspects, number of snags, tree diameter, lodgepole pine ( Pinus contorta ) forest, and a negative relationship with slope. Estimated occupancy in green forest was higher than previously understood (0.21). In addition site colonization and extinction probability in green forest were low (0.05 and 0.19, respectively) and suggest that many of the individuals detected in green forest were not just actively dispersing across the landscape in search of burned areas, but were occupying relatively stable home ranges. The association with high elevation and lodgepole pine forest may increase their exposure to climate change as these elevation forest types are predicted to decrease in extent over the next century. Although density is high in burned forest, green forest covers significantly more area in the Sierra Nevada and should be considered in efforts to conserve this rare species","2014-01-01","2017-02-21 22:50:26","2017-02-21 22:50:26","","","","2","9","","Avian Conservation and Ecology","","","","","","","","Language: English.","","","Fish, Fisheries & Aquatic Biodiversity Worldwide","","NISC South Africa","","","","","","Birds; Ecology; fieldwork / field experiments / monitoring; Forest environments; forest management; habitat specialisation; home ranges; occupancy modelling; secondary habitat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4FE4TSGE","journalArticle","2015","Jessop, Jordan; Spyreas, Greg; Pociask, Geoffrey; Benson, Thomas; Ward, Michael; Kent, Angela; Matthews, Jeffrey; Jessop, Jordan","Tradeoffs among ecosystem services in restored wetlands","Biological Conservation","","0006-3207","10.1016/j.biocon.2015.07.006","","Land management decisions frequently involve choices that reflect tradeoffs among ecosystem services. These tradeoffs are not always apparent, and land managers unknowingly may make decisions that diminish the value of some services while enhancing the value of others. Offset policies, such as wetland mitigation in the United States, rely on the assumption that ecosystems can be restored to provide a full suite of services. Wetlands provide many ecosystem services such as water quality maintenance, carbon storage, flood abatement, and biodiversity support. Our objectives were to describe tradeoffs among ecosystem services in mitigation wetlands and identify abiotic and biotic drivers underlying these tradeoffs. We measured denitrification potential, organic matter decomposition, herbaceous biomass, and soil organic content as indicators of nutrient storage and removal services in 30 mitigation wetlands in Illinois, USA. Additionally, we estimated surface-water storage potential, and, since wetlands provide valuable biodiversity support, we determined the species composition of plant, anuran, and avian communities. We found a positive relationship among biodiversity indicators for different taxa. Denitrification potential and surface-water storage potential were positively correlated. However, there was a tradeoff between biodiversity support and nutrient cycling processes; soil organic matter, biomass, decomposition rates, and potential denitrification were greater at less biodiverse sites. Our findings indicate that optimizing restored wetlands for nutrient storage and removal may come at the expense of biodiversity. It is unrealistic to expect all services to be maximized at a restoration site. Therefore, restoration practitioners should prioritize services based on needs and opportunities given local and watershed contexts.","2015","2016-04-27 03:48:43","2016-04-27 03:48:43","","341–348","","","191","","","","","","","","","","eng","","","","","search.lib.uidaho.edu","","","","","","","Anura; Biodiversity; Biological Diversity; Biomass; Carbon; Conservation; D 04060; Decision Making; Decomposition; Denitrification; Ecological Restoration; ENA 15; Floods; Issues in Sustainable Development; Landscape Context; M3 1010; Management and Conservation; Mitigation; Nutrients; Offset Policies; Organic Matter; Plant Communities; Renewable Resources-Terrestrial; Soil; Soils (Organic); Species Composition; Storage; Surface Water; USA, Illinois; Water Quality; Watersheds; Wetland Mitigation; Wetlands","","","","Jessop, Jordan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4FJ7V7NZ","journalArticle","1973","Rittel, Horst WJ; Webber, Melvin M.","Dilemmas in a general theory of planning","Policy sciences","","","","http://link.springer.com/article/10.1007/BF01405730","","1973","2016-06-08 19:49:33","2016-06-08 19:49:33","2016-06-08 19:49:33","155–169","","2","4","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\coope\AppData\Roaming\Zotero\Zotero\Profiles\istgp9md.default\zotero\storage\B6P6X56P\BF01405730.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4FRDDGS8","journalArticle","2011","Blackwell, Martins A.; Pilgrim, Emmas","Ecosystem services delivered by small-scale wetlands","Hydrological Sciences Journal","","0262-6667","10.1080/02626667.2011.630317","","The benefits of small-scale wetlands have been largely overlooked, primarily because (a) such areas are considered problematic to manage, and (b) small wetlands fall outside the remit of most wetland inventories. The subsequent paucity of information prevents a comprehensive investigation of their properties and this must be addressed. Here we examine the evidence for the potential significance of small wetlands with regard to delivery of ecosystem services (ESs) and conclude that small wetlands often have a positive effect on their delivery, especially water quality, water regulation and biodiversity conservation. However these benefits can be offset by the emission of greenhouse gases. We suggest that, in future, wetlands should not be assessed on size alone, but rather in the context of both their location in the landscape and interaction with hydrological pathways. Furthermore, tools need to be developed to assess the type and efficiency of ESs delivered from all wetlands. Z.W. Kundzewicz; M.C. Acreman Blackwell, M.S.A. and Pilgrim, E.S., 2011. Ecosystem services delivered by small-scale wetlands. , 56 (8), 1467–1484.","2011","2016-04-27 03:48:43","2016-04-27 03:48:43","","1467–1484","","8","56","","","","","","","","","","","","","","","search.lib.uidaho.edu","","","","","","","Biodiversité; Biodiversity; Ecosystem Services; Gaz À Effet De Serre; Greenhouse Gases; Qualité De L'Eau; Régulation De L'Eau; Services Écosystémiques; Water Quality; Water Regulation; Wetlands; Zones Humides","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4HHB76Z8","journalArticle","2012","Sivapalan, Murugesu; Savenije, Hubert H. G.; Blöschl, Günter","Socio-hydrology: A new science of people and water: INVITED COMMENTARY","Hydrological Processes","","08856087","10.1002/hyp.8426","http://doi.wiley.com/10.1002/hyp.8426","","2012-04-15","2016-10-12 01:59:03","2016-10-12 01:59:03","2016-10-12 01:59:03","1270-1276","","8","26","","","Socio-hydrology","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4ICRXK5A","webpage","","","Search Results - Water Resources Abstracts - ProQuest","","","","","http://ida.lib.uidaho.edu:2432/waterresources/results/E20310D3C1A04322PQ/1/$7b$22limiters$22:$5b$5d,$22mqlversion$22:$221.2$22,$22additionalnavs$22:$5b$5d,$22v$22:$221$22,$22sort$22:$22relevance$22,$22param$22:$7b$22NAVIGATORS$22:$22facetlist,sourcetype,decade$28filter$3d110$2f0$2f*,sort$3dname$2fascending$29,year$28filter$3d1100$2f0$2f*,sort$3dname$2fascending$29,yearmonth$28filter$3d120$2f0$2f*,sort$3dname$2fascending$29,month$28sort$3dname$2fascending$29,day$28sort$3dname$2fascending$29,pubTitle,objectype,language$22,$22LEMMATIZE$22:$22true$22,$22collapseDuplicates$22:$22$22,$22collection$22:$22MSTAR,Patents$22,$22qtf_synonym:use_dictionaries$22:$22short_spellvars.aut$22,$22RESUBMITFLAGS$22:$227984$22,$22ftblock$22:$22740842+1+660848+670831+194001+670829+194105+194000+660843+660840+105$22,$22removeDuplicates$22:$22true$22,$22ENCODING$22:$22utf-8$22,$22NAVIGATION$22:$22true$22,$22RS$22:$22OP$22,$22qtf_synonym:querysynonyms$22:$22true$22,$22SPELL$22:$22suggest$22,$22bundles$22:$221007492$22,$22chunkSize$22:$2250$22,$22DUPREM_SLOT1$22:$22bsumdupid$22,$22QT_PIPELINE$22:$22scopesearch$22,$22instance$22:$22prod.academic$22$7d,$22serializer$22:$22std1.5$22,$22searchterms$22:$5b$7b$22name$22:$22$22,$22qry$22:$22climate+change+AND+citizen+science$22,$22fld$22:$22citationBody$22,$22top$22:$22AND$22$7d$5d,$22navs$22:$5b$5d,$22meta$22:$7b$22UsageSearchMode$22:$22Basic$22,$22dbselections$22:$221007492$22,$22SEARCH_ID_TIMESTAMP$22:$221455117392656$22,$22fdbok$22:$22N$22$7d,$22querytype$22:$22basic:waterresources$22$7d?accountid=14551","","","2016-02-10 15:16:42","2016-02-10 15:16:42","2016-02-10 15:16:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
